DateTime,AddedIPs,RemovedIPs
1611220567,22,0
1611221295,4,0
1611227772,16,14
1611228495,2,0
1611234254,28,18
1611234966,2,0
1611239533,3,18
1611242406,0,2
1611243139,12,0
1611244625,6,0
1611246008,0,12
1611246734,6,0
1611247458,11,0
1611250364,5,17
1611251049,8,0
1611253448,9,0
1611254206,0,13
1611254887,13,0
1611255625,6,0
1611256326,0,20
1611257048,7,0
1611257769,7,0
1611261367,18,10
1611263533,0,3
1611264970,12,12
1611265688,6,0
1611268585,0,13
1611269290,0,31
1611271236,11,0
1611272677,10,5
1611274837,0,20
1611278436,18,0
1611282044,14,0
1611287079,51,66
1611287811,16,1
1611290203,0,46
1611293798,25,6
1611295249,9,0
1611298852,0,17
1611300284,11,0
1611302435,10,0
1611306759,0,10
1611307482,13,13
1611309651,7,0
1611314697,14,7
1611316847,0,13
1611318281,10,0
1611321398,13,6
1611324296,0,18
1611325720,5,0
1611328601,21,0
1611330756,2,26
1611332220,6,0
1611335809,0,4
1611337243,13,23
1611337965,11,0
1611338690,0,8
1611340843,9,0
1611343119,12,0
1611345163,0,3
1611346159,0,23
1611347054,22,0
1611350654,26,0
1611351370,0,6
1611352334,0,33
1611358091,19,0
1611358812,0,8
1611359549,0,24
1611363126,0,1
1611364811,29,0
1611365526,6,0
1611366271,0,26
1611372276,55,63
1611373925,6,0
1611380923,37,5
1611384523,6,32
1611386685,0,2
1611388161,13,0
1611389561,6,16
1611391004,0,22
1611393923,11,0
1611396058,9,0
1611396761,0,4
1611399667,0,24
1611401804,21,0
1611403962,14,0
1611406122,0,19
1611408344,19,0
1611411191,11,0
1611415486,16,0
1611420764,0,33
1611421488,24,0
1611422199,1,0
1611422935,5,0
1611423641,0,4
1611426527,17,0
1611427239,2,2
1611427958,0,24
1611430126,15,0
1611432285,8,0
1611434704,0,9
1611435404,10,0
1611438250,0,19
1611438966,13,0
1611439933,0,8
1611441372,0,23
1611444971,13,9
1611445689,11,0
1611448572,0,18
1611450046,18,0
1611452166,13,0
1611455787,0,16
1611457217,30,0
1611460817,26,64
1611464421,40,0
1611466567,13,22
1611472326,18,34
1611473769,7,0
1611479770,16,0
1611481209,8,16
1611486967,33,0
1611487689,0,1
1611488494,4,26
1611494200,27,0
1611495637,7,29
1611497092,1,0
1611500689,0,6
1611501420,28,0
1611502836,9,20
1611503561,2,0
1611504332,4,0
1611504998,0,1
1611507887,15,0
1611510038,22,12
1611511485,7,0
1611514089,0,17
1611514890,1,0
1611515772,0,11
1611517262,1,2
1611517928,6,0
1611519366,24,5
1611520809,2,2
1611522255,1,32
1611522975,0,3
1611525127,20,0
1611526566,9,0
1611528966,0,29
1611531848,14,0
1611535482,12,0
1611537605,0,33
1611539050,28,0
1611542169,11,64
1611547219,51,0
1611551525,19,58
1611554420,20,0
1611557319,10,29
1611560921,16,0
1611562615,0,1
1611564043,4,0
1611564758,0,31
1611568360,14,0
1611571237,7,6
1611571961,0,18
1611573397,0,6
1611576288,13,0
1611577724,0,3
1611578440,13,0
1611582040,0,19
1611583493,14,4
1611588520,8,29
1611589240,12,0
1611590693,2,0
1611592128,10,0
1611593618,4,0
1611594285,0,29
1611597414,17,0
1611598837,0,11
1611602446,12,0
1611604854,20,20
1611607731,8,8
1611612054,19,27
1611619253,24,36
1611626484,33,50
1611634361,58,60
1611641359,38,30
1611648528,30,29
1611655964,22,20
1611663161,22,26
1611670381,26,21
1611677563,22,0
1611684800,22,27
1611691249,23,24
1611691962,4,0
1611699165,34,36
1611706372,24,25
1611713560,30,29
1611721006,66,59
1611728211,38,59
1611735400,20,32
1611742598,17,11
1611749814,25,25
1611757000,10,24
1611757973,15,0
1611762293,9,16
1611764440,12,1
1611766601,0,10
1611769486,11,0
1611770946,7,0
1611771642,9,12
1611773082,1,0
1611780013,21,25
1611782891,0,10
1611786489,34,11
1611793688,21,33
1611800889,35,25
1611808093,47,48
1611815535,34,49
1611822732,22,46
1611829928,12,24
1611837138,27,1
1611844126,22,20
1611851564,32,23
1611858764,34,27
1611865973,37,27
1611873205,35,16
1611880382,27,38
1611887627,47,37
1611894791,52,61
1611902032,33,23
1611909653,14,19
1611916811,36,31
1611924254,20,18
1611931043,30,9
1611938407,33,32
1611945610,28,11
1611952828,24,37
1611960321,38,26
1611967524,34,29
1611974889,43,91
1611982177,49,0
1611989118,26,41
1611996323,25,29
1612003690,34,15
1612011126,29,18
1612017961,22,37
1612025547,32,12
1612032728,31,31
1612045926,1,57
1612049611,48,14
1612056492,25,32
1612063997,62,48
1612071245,35,61
1612078152,18,30
1612085598,28,30
1612092786,25,29
1612100021,32,22
1612107422,30,18
1612114136,22,53
1612121354,46,10
1612129244,33,72
1612135968,23,8
1612143887,27,60
1612151090,56,15
1612158308,36,87
1612165492,22,10
1612172712,30,27
1612179896,20,24
1612187094,26,18
1612194313,24,18
1612201248,32,40
1612208928,32,56
1612216126,25,30
1612223324,22,23
1612230766,37,43
1612237967,61,55
1612245162,31,37
1612249496,10,22
1612255245,16,23
1612255994,1,0
1612256696,1,0
1612259568,19,0
1612266787,31,13
1612271325,8,20
1612274204,1,0
1612275171,16,0
1612275883,1,19
1612280207,12,0
1612281652,17,0
1612283085,0,23
1612283804,1,0
1612284538,2,0
1612288124,22,0
1612296053,29,38
1612303252,24,20
1612310458,21,23
1612317894,32,37
1612324860,56,69
1612332293,35,33
1612339496,24,20
1612346691,24,19
1612353894,17,25
1612361158,27,19
1612369003,19,27
1612376207,27,34
1612383458,37,50
1612390602,27,24
1612397805,27,32
1612405005,36,39
1612412204,60,64
1612419404,41,37
1612426603,24,14
1612433837,28,29
1612441015,26,14
1612448217,31,25
1612449886,2,25
1612455403,21,0
1612462606,36,27
1612470046,25,23
1612477242,23,42
1612485177,19,27
1612488044,6,40
1612493323,43,64
1612500523,64,35
1612507719,32,26
1612513481,17,0
1612520720,31,21
1612527884,27,22
1612535092,21,25
1612542281,32,20
1612549483,28,26
1612556697,35,20
1612563881,31,31
1612571081,24,30
1612578281,31,30
1612585486,64,55
1612593432,38,31
1612600608,20,22
1612607845,30,16
1612615004,31,18
1612622204,23,29
1612629404,18,16
1612636337,28,30
1612643563,30,5
1612648822,26,0
1612651687,14,132
1612658918,18,24
1612666084,40,63
1612673527,65,40
1612680724,25,22
1612687927,31,17
1612695370,23,23
1612702598,35,20
1612709322,21,30
1612716771,30,28
1612718924,3,0
1612719647,0,27
1612723989,34,0
1612731162,20,37
1612738377,22,35
1612745565,18,24
1612752793,46,58
1612760696,60,34
1612767890,34,26
1612775093,22,29
1612782291,16,26
1612789488,26,14
1612796449,27,22
1612803649,45,22
1612811563,32,29
1612818521,33,32
1612825428,31,25
1612832572,29,42
1612833181,4,0
1612835164,1,0
1612836522,15,57
1612838204,16,0
1612839786,9,0
1612842340,26,0
1612842999,0,42
1612845162,39,0
1612845883,5,0
1612852361,36,0
1612853086,4,0
1612860520,22,17
1612867967,24,47
1612874686,28,0
1612882601,28,20
1612889327,34,32
1612896858,36,55
1612903686,31,28
1612911403,31,21
1612918624,33,36
1612925800,61,61
1612932726,50,27
1612939926,39,19
1612947128,32,16
1612954333,28,20
1612961770,36,28
1612969249,26,19
1612976694,26,16
1612983896,47,21
1612990609,32,29
1612998294,27,26
1613005459,40,35
1613012890,58,65
1613020090,60,38
1613027288,27,969
1613034508,24,27
1613041692,34,11
1613048887,27,8
1613056360,25,34
1613063802,38,29
1613071001,31,22
1613078204,38,34
1613085426,32,20
1613092600,23,7
1613094044,7,44
1613098362,34,63
1613101244,25,0
1613105565,0,39
1613107722,34,0
1613112284,21,0
1613116332,7,26
1613118728,0,20
1613122330,17,0
1613123292,21,0
1613124085,1,0
1613126892,19,12
1613129768,17,0
1613133370,0,21
1613135790,26,0
1613136487,3,0
1613137214,8,0
1613141088,0,18
1613142526,28,0
1613143969,5,0
1613144717,1,0
1613147576,10,20
1613152125,21,0
1613152928,2,0
1613155006,0,22
1613157884,5,0
1613158608,21,0
1613159567,19,0
1613161020,13,0
1613161724,0,56
1613162446,1,0
1613166771,11,0
1613167497,2,0
1613168202,14,0
1613169643,0,21
1613173241,16,0
1613175405,17,0
1613181164,42,38
1613188387,69,53
1613196288,35,41
1613203494,26,20
1613210932,34,19
1613217401,38,22
1613224602,18,15
1613231820,32,33
1613236125,0,21
1613238999,35,0
1613239961,1,0
1613243563,0,23
1613246448,34,0
1613253682,25,61
1613261091,24,24
1613268526,29,65
1613275725,62,36
1613282923,36,24
1613290127,31,16
1613297326,37,21
1613304525,32,22
1613311966,33,18
1613319165,34,14
1613326369,32,31
1613327811,4,0
1613333563,28,27
1613340763,26,26
1613347964,28,29
1613355161,41,47
1613363083,63,56
1613370286,34,32
1613377482,27,22
1613384685,32,42
1613391972,30,13
1613399085,21,27
1613401961,5,24
1613406282,26,0
1613413245,35,29
1613418284,5,19
1613420438,22,0
1613427644,33,37
1613435083,27,18
1613442281,37,52
1613449721,72,69
1613456684,39,42
1613464103,26,22
1613471285,37,23
