DateTime,AddedIPs,RemovedIPs
1611454327,78,84
1611455787,84,78
1611457217,128,346
1611457927,319,107
1611458650,107,319
1611460817,123,350
1611461546,350,123
1611462254,123,350
1611464421,551,77
1611465128,77,551
1611465850,551,77
1611466567,40,82
1611467321,82,40
1611468028,40,82
1611468726,82,40
1611469451,40,82
1611472326,117,90
1611473769,54,37
1611476653,37,54
1611478087,54,37
1611478944,37,54
1611479770,100,191
1611481209,154,41
1611482672,41,154
1611484807,154,41
1611485527,41,154
1611486254,154,41
1611486967,107,94
1611487689,94,107
1611488494,118,200
1611489128,147,52
1611492045,52,147
1611492758,147,52
1611494200,141,106
1611495637,78,49
1611497092,41,46
1611497798,46,41
1611499237,41,46
1611500689,46,41
1611501420,99,122
1611502836,82,118
1611503561,111,36
1611504332,79,139
1611504998,107,86
1611507159,82,118
1611507887,147,69
1611508599,70,112
1611509321,82,118
1611510038,183,104
1611511485,47,56
1611514890,74,69
1611515772,45,41
1611516491,47,56
1611517262,37,40
1611517928,61,79
1611519366,127,108
1611520809,85,248
1611522255,219,53
1611522975,36,82
1611523685,82,36
1611525127,115,147
1611526566,79,63
1611527289,63,79
1611528252,79,63
1611528966,63,79
1611531848,114,126
1611532566,97,69
1611534007,69,97
1611535482,58,343
1611537605,343,58
1611539050,110,122
1611542169,50,76
1611542887,76,50
1611545069,50,76
1611545767,76,50
1611546488,50,76
1611547219,119,127
1611551525,78,72
1611552256,72,78
1611552966,78,72
1611554420,79,119
1611557319,93,116
1611560921,145,132
1611562615,132,145
1611564043,172,106
1611564758,73,126
1611566198,126,73
1611568360,112,71
1611569797,71,112
1611571237,125,134
1611571961,106,56
1611573397,56,106
1611574837,106,56
1611576288,90,133
1611577724,117,124
1611578440,151,119
1611579905,85,110
1611582040,110,85
1611582790,85,110
1611583493,137,138
1611588520,125,87
1611589240,72,119
1611589957,155,146
1611590693,114,64
1611591397,94,153
1611592128,126,133
1611593618,125,46
1611594285,69,70
1611596683,43,121
1611597414,168,139
1611598837,139,168
1611599557,168,139
1611602446,111,69
1611603162,69,111
1611603883,111,69
1611604854,100,131
1611607731,88,70
1611608447,70,88
1611612054,123,327
1611619253,319,106
1611626484,106,145
1611634361,135,139
1611641359,116,117
1611648528,103,196
1611655964,192,140
