DateTime,AddedIPs,RemovedIPs
1612560872,6,6
1612562979,3,9
1612564862,6,10
1612567527,22,5
1612568786,7,11
1612570487,4,4
1612571667,8,9
1612573023,25,5
1612574289,18,3
1612575824,12,19
1612578870,23,24
1612582472,35,26
1612586074,25,21
1612587197,7,5
1612588431,7,7
1612589670,5,10
1612593265,58,26
1612596046,87,14
1612596872,27,14
1612598610,30,13
1612600471,22,18
1612604066,24,27
1612607671,54,20
1612611268,55,24
1612614875,20,21
1612616008,7,4
1612617929,12,10
1612618467,6,3
1612620360,6,10
1612621527,7,0
1612623017,0,1845
1612624496,1833,0
1612625669,7,13
1612627593,8,15
1612629268,12,9
1612632858,0,1823
1612634014,1835,0
1612635129,20,8
1612636465,15,10
1612638570,11,12
1612641046,16,19
1612642789,7,10
1612643668,9,9
1612645490,8,13
1612646733,5,0
1612648037,11,8
1612650328,22,3
1612653931,16,11
1612655429,18,11
1612657529,29,12
1612658689,0,1896
1612661668,1863,0
1612662836,3,2
1612665269,15,15
1612668332,49,6
1612669830,63,18
1612672471,41,12
1612676068,14,31
1612677383,4,6
1612679133,3,7
1612680626,4,14
1612682329,18,5
1612683268,9,4
1612684631,15,4
1612686869,11,16
1612689148,11,7
1612691428,12,16
1612693450,6,6
1612695025,6,21
1612697666,27,30
1612699154,14,12
1612700726,23,2
1612701268,4,25
1612702680,7,7
1612704326,8,28
1612704869,3,78
1612706575,6,11
1612707928,5,0
1612708468,4,8
1612710106,7,6
1612712067,6,16
1612713610,9,21
1612715127,13,3
1612715664,6,9
1612719267,14,37
1612721142,6,34
1612722868,6,28
1612725927,19,35
1612727350,25,23
1612728573,11,10
1612730069,20,11
1612732471,19,6
1612734628,8,18
1612737269,7,28
1612740869,30,19
1612742850,7,23
1612744471,6,16
1612746154,4,10
1612748074,3,14
1612749570,7,18
1612751133,22,0
1612752628,6,20
1612754735,10,7
1612756327,7,12
1612758873,19,23
1612762470,18,48
1612764586,93,55
1612766067,19,37
1612768454,17,37
1612769811,10,17
1612771847,15,15
1612773251,13,10
1612775081,9,16
1612776867,19,24
1612777988,5,11
1612779104,8,41
1612780846,5,25
1612782821,10,12
1612784066,7,9
1612786357,37,8
1612787666,5,14
1612789791,10,10
1612791279,5,25
1612793604,12,9
1612794868,11,9
1612796346,10,8
1612797927,14,1
1612798468,4,10
1612800858,29,12
1612802470,7,16
1612803771,11,32
1612806624,34,31
1612808555,10,14
1612809267,11,9
1612810789,29,10
1612813320,26,14
1612815778,19,13
1612821026,29,41
1612823665,23,15
1612827766,11,59
1612830330,8,5
1612830870,3,10
1612835303,40,25
1612838069,9,19
1612842371,25,90
1612844655,20,9
1612846229,23,5
1612848871,25,13
1612850701,11,7
1612851928,6,0
1612853427,9,29
1612855197,26,18
1612856734,24,9
1612858220,9,4
1612859665,10,7
1612860892,13,4
1612862370,13,5
1612863264,8,8
1612864506,8,4
1612865883,9,4
1612866866,6,20
1612868384,9,17
1612870468,23,21
1612872141,8,6
1612874070,15,13
1612875977,14,5
1612877127,60,0
1612880469,70,17
1612881268,3,7
1612883203,12,13
1612884886,15,11
1612887129,15,7
1612888468,13,11
1612889633,10,2
1612890799,7,10
1612893174,8,6
1612894429,4,7
1612895669,5,21
1612897604,14,40
1612899269,11,35
1612901194,24,34
1612902326,17,0
1612902854,0,1669
1612905037,1678,0
1612906470,4,9
1612907874,3,7
1612909536,7,14
1612910067,3,8
1612913668,20,12
1612917270,13,6
1612918531,6,2
1612920328,8,6
1612920866,1,18
1612922338,6,8
1612923933,7,0
1612924473,1,5
1612926840,0,1662
1612931131,1679,0
1612931668,3,7
1612933989,10,49
1612935720,9,41
1612938328,11,13
1612939664,7,16
1612941491,9,7
1612942463,4,14
1612945529,18,13
1612946974,9,24
1612949666,21,20
1612952444,24,3
1612953279,19,9
1612955005,11,40
1612956866,18,12
1612958907,16,8
1612960469,10,10
1612961875,15,0
1612963528,10,4
1612964780,11,15
1612966167,10,11
1612967671,8,9
1612970273,8,21
1612971269,3,4
1612973773,17,10
1612974865,29,5
1612977412,5,23
1612978469,8,16
1612981348,12,41
1612982740,10,28
1612985128,21,11
1612986626,9,15
1612988222,3,10
1612990230,7,9
1612991632,7,15
1612992866,6,21
1612994193,15,3
1612995930,7,3
1612997426,10,12
1613000069,13,7
1613001200,1,2
1613003104,0,1542
1613004264,1520,0
1613007276,16,16
1613008745,7,7
1613010330,6,0
1613010871,2,8
1613012107,18,0
1613013933,14,8
1613015404,0,1544
1613018074,1504,0
1613019357,21,4
1613021133,15,12
1613021674,10,11
1613025245,0,1523
1613026607,1484,0
1613027785,10,18
1613028867,9,13
1613032467,19,29
1613033855,0,1462
1613035527,1462,0
1613036071,4,11
1613039672,13,20
1613041178,12,7
1613042282,7,1
1613043423,10,11
1613046112,29,18
1613047241,5,101
1613048509,10,33
1613050461,0,1350
1613054067,1366,0
1613055536,3,19
1613057127,10,2
1613058635,15,19
1613059838,67,12
1613061322,10,16
1613063030,18,14
1613064327,17,0
1613064868,14,12
1613067929,26,20
1613068467,5,13
1613070293,30,24
1613072064,20,19
1613073195,6,4
1613075128,10,13
1613075667,1,3
1613077574,8,11
1613079273,8,4
1613080784,7,8
1613082327,7,1
1613082866,1,12
1613084831,10,11
1613086476,11,11
1613089287,9,8
1613090072,1,5
1613092129,9,16
1613093672,3,3
1613097269,11,24
1613099381,8,16
1613100873,6,21
1613103932,12,12
1613106189,18,18
1613108073,8,7
1613110733,0,1377
1613112231,1368,0
1613113846,8,8
1613115268,7,15
1613116482,7,2
1613118031,4,7
1613119410,2,21
1613121120,3,16
1613122901,13,31
1613124770,10,7
1613127028,10,17
1613128384,6,10
1613129669,6,9
1613132728,16,27
1613135192,13,25
1613136872,11,11
1613139926,16,8
1613141428,6,13
1613142888,10,9
1613145008,10,36
1613146677,12,4
1613147669,22,4
1613150142,8,17
1613151269,7,7
1613152986,3,10
1613154157,9,0
1613155467,15,20
1613157434,17,12
1613158469,6,7
1613160457,13,10
1613162867,8,16
1613164554,7,16
1613165673,4,8
1613168091,12,9
1613169280,8,6
1613171894,29,8
1613172850,0,1280
1613174404,1308,0
1613175925,0,1308
1613177426,1311,0
1613179147,20,5
1613180074,14,6
1613183129,24,13
1613183675,5,15
1613184811,6,5
1613186433,14,9
1613187273,7,12
1613189399,23,33
1613190875,15,18
1613192739,12,18
1613193936,2,0
1613195429,6,11
1613196832,9,4
1613198066,0,1319
1613200892,1334,0
1613201667,10,6
1613204030,32,10
1613205273,11,11
1613206594,15,4
1613208138,15,6
1613209814,18,10
1613212475,24,30
1613213744,6,5
1613215435,8,9
1613216069,5,19
1613218055,6,16
1613219666,11,8
1613223265,29,40
1613224645,17,3
1613225840,14,5
1613226870,8,9
1613230471,17,76
1613234068,19,47
1613235564,15,30
1613237128,14,1
1613237670,1,6
1613240081,21,23
1613241270,7,23
1613244330,12,14
1613245845,7,11
1613247676,10,8
1613248470,2,7
1613251535,15,16
1613252715,2,9
1613254094,7,6
1613255667,5,7
1613256814,5,0
1613258859,14,8
1613259268,5,3
1613261341,14,9
1613265756,22,15
1613267432,8,8
1613270076,7,14
1613272920,6,5
1613273674,3,4
1613276158,8,15
1613277267,5,7
1613279329,4,5
1613280632,4,3
1613281829,4,3
1613284466,6,19
1613288065,36,16
1613291671,67,10
1613293574,25,9
1613295269,26,15
1613297220,13,9
1613298315,0,1347
1613299835,1371,0
1613301595,23,5
1613302471,8,6
1613303582,7,3
1613305527,5,6
1613306065,3,11
1613308451,12,15
1613309678,7,5
1613311026,8,3
1613312303,20,9
1613313472,9,1
1613315163,12,13
1613316327,4,1
1613319160,21,22
1613320456,0,1410
1613323021,1421,0
1613324071,18,5
1613327129,20,13
1613328630,17,11
1613330396,12,6
1613331751,3,12
1613333372,0,1444
1613334873,1457,0
1613337148,8,6
1613338467,6,9
1613342069,21,49
1613345133,6,20
1613346443,3,7
1613349266,15,32
1613351999,10,22
1613353703,16,16
1613355452,16,8
1613356473,9,16
1613358403,9,22
1613360071,3,19
1613363015,17,9
1613366515,23,18
1613367266,7,16
1613369691,16,10
1613371827,16,21
1613373930,19,22
1613375060,16,20
1613376573,13,10
1613378072,8,16
1613379887,14,12
1613381668,21,24
1613383735,24,14
1613386229,14,11
1613387936,6,12
1613389170,12,12
1613390597,11,8
1613392942,15,27
1613395166,4,17
1613396484,12,21
1613397944,6,5
1613400144,10,5
1613402407,16,5
1613403264,4,13
1613404576,8,0
1613407195,22,31
1613409753,31,13
1613410465,8,5
1613411808,9,6
1613415032,20,17
1613417127,10,9
1613419031,7,14
1613420323,8,12
1613422226,9,13
1613424872,9,16
1613426241,0,1334
1613429431,1346,0
1613432072,12,25
1613434630,13,11
1613436082,0,1335
1613438632,1358,0
1613440993,21,8
1613443227,14,1
1613444841,20,9
1613448326,16,9
1613450118,10,10
1613453132,24,3
1613453672,3,7
1613455593,14,7
1613458223,0,1426
1613460870,1395,0
1613462876,34,23
1613464466,14,18
1613465758,13,0
1613467531,30,13
1613468064,0,1432
1613469803,1440,0
1613471668,29,31
1613472807,26,9
