DateTime,Entries,UniqueIPs
1612550083,1393,1393
1612551258,1417,1417
1612553143,1445,1445
1612553680,1449,1449
1612557282,1485,1485
1612559435,1488,1488
1612560890,1487,1487
1612562996,1482,1482
1612564884,1478,1478
1612567544,1492,1492
1612568811,1489,1489
1612570508,1488,1488
1612571683,1488,1488
1612573045,1505,1505
1612574315,1520,1520
1612575838,1513,1513
1612578888,1517,1517
1612582491,1523,1523
1612586090,1527,1527
1612587230,1529,1529
1612588449,1530,1530
1612589686,1526,1526
1612593280,1558,1558
1612596065,1632,1632
1612596886,1644,1644
1612598635,1660,1660
1612600486,1665,1665
1612604082,1664,1664
1612607686,1697,1697
1612611282,1727,1727
1612614890,1726,1726
1612616022,1727,1727
1612617943,1730,1730
1612618482,1733,1733
1612620374,1730,1730
1612621542,1735,1735
1612623037,1727,1727
1612624521,1722,1722
1612625684,1717,1717
1612627613,1712,1712
1612629283,1715,1715
1612632878,1708,1708
1612634028,1727,1727
1612635146,1739,1739
1612636481,1744,1744
1612638586,1742,1742
1612641060,1739,1739
1612642803,1738,1738
1612643687,1735,1735
1612646750,1737,1737
1612648065,1741,1741
1612650345,1759,1759
1612653948,1764,1764
1612655447,1771,1771
1612657551,1789,1789
1612658727,1784,1784
1612661684,1759,1759
1612662861,1760,1760
1612665284,1762,1762
1612668349,1804,1804
1612669847,1849,1849
1612672489,1881,1881
1612676085,1867,1867
1612677398,1864,1864
1612679148,1861,1861
1612680640,1851,1851
1612682343,1863,1863
1612683283,1866,1866
1612684651,1879,1879
1612686889,1874,1874
1612689175,1876,1876
1612691443,1873,1873
1612693467,1874,1874
1612695040,1860,1860
1612697680,1858,1858
1612699176,1859,1859
1612700740,1880,1880
1612701283,1859,1859
1612702745,1838,1838
1612704340,1836,1836
1612704885,1763,1763
1612706605,1757,1757
1612707942,1763,1763
1612708482,1757,1757
1612710142,1758,1758
1612712081,1748,1748
1612713892,1744,1744
1612715678,1751,1751
1612719283,1726,1726
1612721155,1698,1698
1612722883,1677,1677
1612725941,1661,1661
1612727365,1663,1663
1612728587,1665,1665
1612730085,1675,1675
1612734644,1673,1673
1612737284,1650,1650
1612740887,1662,1662
1612742865,1649,1649
1612744486,1639,1639
1612746179,1633,1633
1612748090,1623,1623
1612749597,1614,1614
1612751149,1637,1637
1612752646,1623,1623
1612754750,1627,1627
1612756352,1623,1623
1612758892,1617,1617
1612762495,1585,1585
1612764600,1625,1625
1612766083,1605,1605
1612768472,1584,1584
1612769825,1577,1577
1612771860,1580,1580
1612773268,1582,1582
1612775096,1575,1575
1612776882,1568,1568
1612778002,1562,1562
1612779118,1529,1529
1612780874,1510,1510
1612782849,1505,1505
1612784083,1504,1504
1612786372,1533,1533
1612787683,1523,1523
1612789813,1521,1521
1612791295,1503,1503
1612793619,1506,1506
1612794882,1507,1507
1612796378,1511,1511
1612797941,1523,1523
1612798483,1517,1517
1612800876,1535,1535
1612802486,1528,1528
1612803791,1507,1507
1612806639,1510,1510
1612808574,1507,1507
1612809282,1511,1511
1612811677,1546,1546
1612813345,1541,1541
1612815799,1546,1546
1612821040,1528,1528
1612823681,1537,1537
1612827793,1486,1486
1612830889,1483,1483
1612833939,1509,1509
1612835320,1500,1500
1612838084,1487,1487
1612842404,1421,1421
1612844672,1435,1435
1612846244,1452,1452
1612848886,1462,1462
1612850781,1464,1464
1612851942,1469,1469
1612853441,1450,1450
1612855219,1460,1460
1612856761,1474,1474
1612858237,1479,1479
1612859679,1484,1484
1612860907,1491,1491
1612862384,1499,1499
1612863278,1498,1498
1612864533,1501,1501
1612865898,1505,1505
1612866881,1490,1490
1612869942,1496,1496
1612870482,1482,1482
1612872164,1485,1485
1612874085,1488,1488
1612875995,1496,1496
1612877142,1555,1555
1612880497,1605,1605
1612881282,1602,1602
1612883225,1600,1600
1612884900,1606,1606
1612887158,1615,1615
1612888489,1617,1617
1612889647,1626,1626
1612890815,1623,1623
1612893188,1624,1624
1612894443,1623,1623
1612895683,1607,1607
1612897619,1580,1580
1612899283,1557,1557
1612901209,1547,1547
1612902340,1563,1563
1612902873,1564,1564
1612905055,1574,1574
1612906486,1572,1572
1612907945,1556,1556
1612909552,1563,1563
1612910084,1556,1556
1612913687,1558,1558
1612917286,1566,1566
1612918545,1570,1570
1612920343,1572,1572
1612920883,1555,1555
1612922372,1552,1552
1612923948,1557,1557
1612924488,1553,1553
1612926854,1559,1559
1612928084,1557,1557
1612931687,1572,1572
1612934007,1533,1533
1612935744,1502,1502
1612938343,1503,1503
1612939680,1494,1494
1612941519,1495,1495
1612942478,1482,1482
1612945544,1486,1486
1612946988,1474,1474
1612949680,1476,1476
1612952458,1498,1498
1612953291,1509,1509
1612955024,1479,1479
1612956340,1492,1492
1612956883,1485,1485
1612958927,1492,1492
1612960484,1493,1493
1612961932,1503,1503
1612963543,1513,1513
1612964815,1509,1509
1612966181,1508,1508
1612967688,1507,1507
1612970303,1495,1495
1612971283,1494,1494
1612973803,1499,1499
1612974879,1523,1523
1612977435,1505,1505
1612978486,1498,1498
1612981362,1468,1468
1612982768,1448,1448
1612985143,1459,1459
1612986642,1453,1453
1612988256,1450,1450
1612990245,1450,1450
1612991654,1441,1441
1612992883,1426,1426
1612994208,1434,1434
1612995955,1438,1438
1612997441,1435,1435
1613000087,1442,1442
1613001216,1441,1441
1613003127,1441,1441
1613004282,1419,1419
1613007293,1419,1419
1613008781,1422,1422
1613010346,1428,1428
1613010888,1423,1423
1613012124,1441,1441
1613013950,1447,1447
1613015440,1431,1431
1613018091,1409,1409
1613019378,1427,1427
1613021149,1431,1431
1613021692,1431,1431
1613025272,1392,1392
1613026621,1392,1392
1613027800,1384,1384
1613028881,1377,1377
1613032482,1368,1368
1613033861,1370,1370
1613035541,1371,1371
1613036086,1366,1366
1613039687,1362,1362
1613041208,1367,1367
1613042307,1375,1375
1613043445,1373,1373
1613046127,1383,1383
1613047258,1288,1288
1613048543,1268,1268
1613050473,1269,1269
1613054085,1282,1282
1613055565,1267,1267
1613057145,1274,1274
1613058653,1271,1271
1613059854,1326,1326
1613061353,1320,1320
1613063059,1322,1322
1613064341,1340,1340
1613064882,1342,1342
1613067944,1347,1347
1613068484,1340,1340
1613070321,1346,1346
1613072079,1348,1348
1613073212,1350,1350
1613075144,1347,1347
1613077591,1342,1342
1613079290,1346,1346
1613081087,1350,1350
1613082882,1346,1346
1613084850,1346,1346
1613086500,1346,1346
1613089303,1347,1347
1613090092,1344,1344
1613092144,1339,1339
1613093689,1340,1340
1613097286,1327,1327
1613099399,1320,1320
1613100890,1315,1315
1613103950,1315,1315
1613106209,1315,1315
1613108091,1317,1317
1613110761,1317,1317
1613112247,1306,1306
1613113861,1308,1308
1613115283,1301,1301
1613118047,1302,1302
1613119424,1284,1284
1613121135,1272,1272
1613122915,1254,1254
1613124798,1257,1257
1613127047,1250,1250
1613128405,1247,1247
1613129684,1243,1243
1613132743,1234,1234
1613135207,1221,1221
1613136887,1220,1220
1613139941,1225,1225
1613141443,1217,1217
1613142905,1217,1217
1613145026,1192,1192
1613146699,1201,1201
1613147683,1218,1218
1613150159,1208,1208
1613151284,1208,1208
1613153008,1207,1207
1613154173,1211,1211
1613155483,1207,1207
1613157449,1211,1211
1613158483,1210,1210
1613160472,1210,1210
1613162901,1203,1203
1613164586,1194,1194
1613165688,1190,1190
1613168107,1191,1191
1613169296,1193,1193
1613171915,1212,1212
1613172875,1228,1228
1613175934,1243,1243
1613177442,1239,1239
1613179170,1255,1255
1613180089,1262,1262
1613183144,1270,1270
1613183689,1260,1260
1613184827,1261,1261
1613186450,1267,1267
1613187288,1261,1261
1613189429,1249,1249
1613190894,1244,1244
1613192755,1236,1236
1613193952,1238,1238
1613195444,1233,1233
1613196844,1237,1237
1613198076,1234,1234
1613200907,1257,1257
1613201682,1261,1261
1613204046,1278,1278
1613205287,1276,1276
1613206609,1286,1286
1613208156,1295,1295
1613209830,1303,1303
1613212489,1298,1298
1613213759,1297,1297
1613215457,1298,1298
1613216084,1283,1283
1613218070,1273,1273
1613219682,1277,1277
1613223280,1265,1265
1613224659,1276,1276
1613225855,1285,1285
1613226886,1282,1282
1613230486,1224,1224
1613234082,1195,1195
1613237143,1191,1191
1613237686,1186,1186
1613240097,1183,1183
1613241284,1166,1166
1613244345,1164,1164
1613245860,1162,1162
1613247691,1163,1163
1613248487,1159,1159
1613251553,1157,1157
1613252752,1150,1150
1613254110,1150,1150
1613255682,1148,1148
1613256830,1152,1152
1613258873,1156,1156
1613259284,1157,1157
1613261362,1159,1159
1613265772,1165,1165
1613267449,1165,1165
1613270093,1157,1157
1613272943,1158,1158
1613273690,1157,1157
1613276184,1149,1149
1613277283,1147,1147
1613279346,1146,1146
1613280669,1148,1148
1613281844,1149,1149
1613284480,1135,1135
1613288081,1151,1151
1613291686,1206,1206
1613293589,1220,1220
1613295284,1218,1218
1613297251,1222,1222
1613298405,1227,1227
1613299850,1247,1247
1613301618,1263,1263
1613302487,1264,1264
1613303602,1267,1267
1613305542,1265,1265
1613306080,1256,1256
1613308471,1251,1251
1613309699,1254,1254
1613311046,1259,1259
1613312318,1273,1273
1613313495,1280,1280
1613315179,1279,1279
1613316342,1283,1283
1613319192,1282,1282
1613320477,1283,1283
1613323043,1291,1291
1613324087,1303,1303
1613327144,1308,1308
1613328644,1315,1315
1613330433,1322,1322
1613331768,1312,1312
1613333387,1316,1316
1613334887,1323,1323
1613337165,1326,1326
1613338483,1323,1323
1613342083,1292,1292
1613345149,1280,1280
1613346460,1275,1275
1613349285,1256,1256
1613352026,1246,1246
1613353720,1250,1250
1613355468,1258,1258
1613356488,1251,1251
1613358419,1237,1237
1613360088,1220,1220
1613363034,1232,1232
1613366533,1238,1238
1613367281,1233,1233
1613369706,1238,1238
1613371842,1232,1232
1613373944,1228,1228
1613375076,1228,1228
1613376600,1231,1231
1613378089,1224,1224
1613380055,1227,1227
1613381683,1221,1221
1613383758,1232,1232
1613386245,1236,1236
1613387963,1232,1232
1613389184,1230,1230
1613390619,1232,1232
1613392957,1220,1220
1613395201,1208,1208
1613396564,1198,1198
1613397958,1199,1199
1613400159,1201,1201
1613402425,1210,1210
1613403278,1205,1205
1613404592,1212,1212
1613405891,1211,1211
1613407210,1202,1202
1613409767,1218,1218
1613410480,1220,1220
1613411823,1222,1222
1613415046,1223,1223
1613417142,1223,1223
1613419058,1216,1216
1613420338,1213,1213
1613422241,1209,1209
1613424889,1203,1203
1613426265,1213,1213
1613429446,1217,1217
1613432090,1205,1205
1613434648,1206,1206
1613436110,1204,1204
1613438648,1224,1224
1613441019,1240,1240
1613443254,1252,1252
1613444929,1265,1265
1613448345,1271,1271
1613450467,1276,1276
1613453148,1293,1293
1613453689,1290,1290
1613455607,1296,1296
1613458234,1307,1307
1613460886,1268,1268
1613462902,1280,1280
1613464482,1276,1276
1613465783,1289,1289
1613467546,1305,1305
1613468074,1304,1304
1613469828,1313,1313
1613471683,1312,1312
1613472830,1330,1330
