DateTime,AddedIPs,RemovedIPs
1612571643,34,78
1612573002,69,31
1612574265,57,52
1612575805,60,104
1612578844,109,143
1612582444,126,202
1612586045,125,151
1612587174,34,25
1612588411,38,68
1612589645,35,83
1612593243,168,194
1612596025,164,139
1612596847,57,137
1612598586,90,182
1612600443,85,147
1612604044,125,278
1612607648,180,242
1612611243,152,280
1612614844,131,184
1612615988,45,35
1612617904,71,63
1612618443,20,65
1612620327,55,103
1612621504,51,0
1612623003,50,140
1612624475,59,103
1612625645,45,156
1612627574,62,154
1612629244,57,127
1612632848,137,501
1612633995,62,43
1612635109,46,91
1612636444,50,105
1612638550,76,99
1612641024,97,106
1612642770,64,66
1612643643,33,78
1612645468,73,91
1612646704,61,1
1612647983,53,112
1612650305,86,52
1612653905,112,149
1612655405,61,120
1612657503,104,65
1612658688,38,156
1612661644,89,163
1612662817,28,26
1612665244,79,132
1612668304,107,88
1612669804,93,110
1612672443,113,138
1612676045,108,181
1612677358,27,28
1612679103,40,61
1612680606,33,116
1612682309,75,63
1612683244,32,76
1612684607,49,24
1612686843,84,169
1612689122,106,76
1612691405,119,106
1612693430,150,90
1612695004,69,133
1612697643,165,190
1612699128,89,116
1612700703,115,5
1612701243,36,132
1612702661,57,25
1612704303,98,46
1612704844,100,131
1612706551,320,91
1612708444,143,63
1612710081,76,81
1612712043,134,60
1612713586,119,77
1612715103,106,10
1612715643,55,78
1612719244,346,160
1612721119,93,131
1612722847,108,95
1612725903,202,104
1612727331,168,96
1612728553,106,46
1612730044,94,79
1612732423,139,111
1612734603,121,130
1612737243,197,128
1612740844,245,171
1612742830,103,90
1612744445,86,83
1612746120,93,64
1612748045,87,86
1612749541,80,71
1612751106,104,4
1612752603,72,92
1612754704,109,54
1612756288,93,81
1612758844,139,126
1612762444,219,160
1612764566,194,116
1612766044,86,101
1612768430,117,108
1612769791,84,96
1612771824,129,70
1612773229,74,63
1612775061,69,87
1612776843,105,77
1612777966,52,25
1612779084,77,80
1612780806,91,109
1612782789,109,58
1612784043,44,69
1612786336,127,73
1612787643,90,70
1612789771,139,67
1612791259,249,60
1612793581,115,77
1612794844,64,77
1612796280,80,11
1612797372,42,46
1612798445,53,60
1612800832,124,61
1612802450,74,93
1612803750,80,72
1612806603,194,98
1612808535,91,51
1612809243,51,74
1612810760,89,61
1612813280,134,80
1612815758,108,83
1612821003,266,247
1612823644,128,124
1612827732,153,200
1612830303,115,64
1612830844,44,62
1612833787,150,63
1612835276,71,87
1612837503,90,53
1612838044,26,73
1612842344,177,220
1612844630,151,68
1612846203,87,92
1612848848,133,114
1612850680,76,77
1612851904,57,0
1612853403,81,124
1612855176,112,68
1612856728,0,21822
1612858193,21822,0
1612859643,75,111
1612860872,125,43
1612861973,62,135
1612863243,77,117
1612864485,56,41
1612865862,83,90
1612866843,45,137
1612868356,73,116
1612870443,144,134
1612872103,0,21638
1612874044,21626,0
1612875955,107,147
1612877104,117,1
1612880445,230,163
1612881243,50,53
1612883183,98,80
1612884866,99,91
1612887107,139,102
1612888444,82,89
1612889613,71,23
1612890775,50,49
1612893153,100,85
1612893629,0,21886
1612895644,21887,0
1612897583,103,143
1612899243,76,107
1612901173,90,100
1612902303,60,0
1612902844,33,72
1612905012,102,69
1612906444,63,82
1612907837,48,39
1612909514,94,67
1612910044,31,68
1612913643,160,158
1612917246,191,162
1612918510,58,15
1612920304,84,60
1612920843,22,110
1612922271,67,21
1612923906,80,62
1612924446,20,90
1612926823,124,88
1612928044,57,83
1612931103,138,98
1612931644,27,128
1612933967,107,123
1612935699,119,145
1612938303,126,59
1612939641,52,135
1612941452,98,66
1612942443,94,102
1612945505,150,71
1612946950,75,122
1612949643,191,167
1612952423,206,68
1612953243,64,84
1612954956,69,114
1612956843,106,95
1612958865,104,96
1612960444,91,124
1612961854,91,27
1612963504,67,69
1612964756,51,109
1612966144,60,69
1612967646,72,79
1612969219,90,79
1612970703,70,8
1612971244,26,90
1612973743,121,101
1612974843,79,80
1612977378,118,124
1612978444,62,96
1612981325,127,128
1612982713,53,110
1612985103,121,77
1612986603,66,97
1612988173,78,70
1612990203,86,115
1612991609,61,74
1612992843,59,90
1612994167,55,35
1612995904,86,52
1612997404,67,85
1613000044,119,144
1613001173,38,38
1613003103,73,59
1613004238,45,115
1613007249,132,142
1613008676,63,31
1613010305,80,28
1613010846,24,72
1613012085,60,25
1613013905,79,85
1613015403,63,145
1613018049,147,181
1613019333,68,29
1613021104,91,58
1613021643,28,85
1613025243,180,254
1613026587,57,33
1613027756,63,79
1613028843,104,104
1613032444,156,286
1613033840,64,43
1613035503,82,83
1613036044,35,95
1613039644,174,206
1613041138,82,91
1613042259,57,3
1613043402,60,83
1613046092,116,108
1613047220,54,453
1613048486,54,85
1613050443,87,116
1613054044,192,198
1613055474,108,42
1613057104,275,96
1613058598,82,148
1613059817,123,68
1613061281,113,81
1613063002,91,112
1613064843,101,87
1613067903,131,108
1613068443,26,82
1613070274,109,94
1613072043,92,96
1613073171,54,23
1613075103,85,64
1613075644,22,65
1613077548,73,89
1613079246,77,73
1613080758,72,79
1613082303,54,3
1613082843,21,71
1613084801,76,78
1613086452,58,85
1613089265,103,81
1613090043,22,81
1613092109,281,80
1613093644,55,68
1613097245,125,188
1613099355,77,66
1613100846,55,86
1613103904,126,92
1613106159,79,185
1613108045,65,87
1613110724,105,86
1613112211,58,175
1613113825,55,64
1613115245,115,81
1613116462,57,28
1613118010,58,87
1613119390,67,150
1613121096,54,100
1613122882,66,176
1613124749,75,66
1613127004,103,125
1613128363,70,87
1613129644,61,86
1613132703,123,119
1613135171,119,141
1613136848,123,91
1613139056,107,106
1613140394,62,80
1613141955,70,95
1613143503,57,5
1613144985,87,155
1613146656,114,62
1613147644,52,95
1613150121,108,82
1613151243,81,69
1613152959,92,74
1613154137,74,0
1613155442,77,134
1613157413,114,71
1613158443,46,88
1613160437,152,103
1613162840,119,108
1613164529,98,52
1613165644,49,75
1613168063,117,96
1613169245,55,78
1613171870,142,78
1613172843,76,68
1613174378,66,69
1613175904,88,4
1613177404,119,104
1613179124,86,57
1613180047,46,83
1613183104,154,77
1613183646,32,84
1613184790,48,30
1613186410,81,58
1613187244,42,77
1613189374,111,110
1613190845,76,96
1613192717,80,88
1613193905,45,0
1613195404,51,108
1613196812,90,53
1613198044,76,139
1613200870,141,87
1613201645,49,74
1613204010,167,81
1613205246,55,93
1613206574,78,32
1613208116,91,65
1613209792,106,115
1613212451,158,173
1613213723,73,28
1613215416,116,62
1613216044,24,76
1613218035,88,91
1613219644,90,72
1613223244,161,204
1613224622,71,25
1613225815,50,98
1613226846,52,252
1613230444,182,247
1613234044,130,206
1613235535,73,94
1613237103,71,10
1613237644,25,74
1613240061,97,104
1613241247,53,92
1613244303,109,99
1613245812,56,98
1613247650,81,42
1613248445,29,73
1613251507,136,95
1613252672,38,156
1613254070,50,58
1613255644,66,60
1613256792,40,21
1613258836,96,47
1613259245,20,58
1613261320,93,64
1613265735,158,138
1613267407,56,89
1613270045,86,119
1613272898,95,67
1613273646,30,76
1613276132,96,81
1613277244,41,71
1613279309,75,75
1613280542,44,0
1613281805,32,95
1613284444,82,175
1613288045,157,147
1613291645,247,130
1613293551,98,78
1613295244,94,92
1613297194,100,87
1613298305,48,0
1613299806,96,90
1613301575,116,49
1613302443,38,82
1613303561,37,27
1613305503,70,58
1613306043,18,112
1613308428,89,99
1613309650,41,83
1613311005,44,23
1613312279,54,57
1613313433,49,79
1613315129,155,123
1613316304,218,0
1613319135,364,178
1613320444,126,101
1613322989,146,96
1613324046,64,95
1613327105,268,127
1613328606,151,293
1613330353,188,77
1613331730,121,122
1613333368,114,68
1613334845,72,101
1613337122,139,89
1613338444,115,78
1613342044,270,179
1613345106,191,93
1613346418,64,150
1613349243,179,151
1613351974,163,85
1613353676,97,130
1613355423,87,55
1613356446,42,76
1613358380,84,101
1613360047,84,80
1613362993,137,77
1613366494,188,155
1613367244,65,108
1613369671,134,82
1613371803,132,115
1613373905,114,78
1613375037,74,149
1613376550,83,63
1613378044,92,112
1613379861,99,113
1613381644,99,91
1613383714,112,110
1613386204,116,136
1613387898,66,62
1613389147,69,95
1613390569,0,21484
1613392918,21472,0
1613395128,82,101
1613396442,48,98
1613397924,45,69
1613400117,143,107
1613402383,173,44
1613403244,28,89
1613404556,39,0
1613405848,68,92
1613407132,189,90
1613409732,319,69
1613410444,31,61
1613411781,41,32
1613412887,54,52
1613415005,82,76
1613417103,84,81
1613419006,80,96
1613420301,222,67
1613422204,58,107
1613424844,120,137
1613426238,60,28
1613429405,133,145
1613432045,87,161
1613434594,87,60
1613436013,49,97
1613438611,110,35
1613440969,84,128
1613442973,77,69
1613445904,135,85
1613448270,91,141
1613449687,63,0
1613451005,47,72
1613453104,79,62
1613453644,27,66
1613455490,67,74
1613458204,164,137
1613460844,308,254
1613462856,219,100
1613464443,158,98
1613465737,76,0
1613467503,93,96
1613468043,41,115
1613469773,99,121
1613471643,103,116
1613472781,80,29
