DateTime,AddedIPs,RemovedIPs
1612313857,3,0
1612316077,1,2
1612318115,0,2
1612319675,2,2
1612322486,1,5
1612324186,1,3
1612326876,2,4
1612328150,1,0
1612330476,1,2
1612331726,0,1
1612333536,4,1
1612334076,1,8
1612336073,2,5
1612337433,2,1
1612339541,1,1
1612340723,1,0
1612342233,1,0
1612344876,5,2
1612346936,5,1
1612348476,1,1
1612351045,5,1
1612352234,0,2
1612353591,2,0
1612356640,1,1
1612358748,2,4
1612359281,1,0
1612365227,1,2
1612369106,1,0
1612370077,1,1
1612371402,2,0
1612373172,2,0
1612374636,1,1
1612376027,0,1
1612380874,2,0
1612383576,0,1
1612384478,0,1
1612387537,1,0
1612389796,0,2
1612391675,1,0
1612392849,1,0
1612395281,0,1
1612398133,1,1
1612398876,0,5
1612400996,3,2
1612402475,2,1
1612406075,2,2
1612409680,8,3
1612413277,6,2
1612415371,1,2
1612416882,3,1
1612419933,1,0
1612420476,0,2
1612422984,1,3
1612424076,2,1
1612427138,3,2
1612430741,5,1
1612431277,1,1
1612432464,3,1
1612434339,0,3
1612436211,1,0
1612438481,1,1
1612441382,1,1
1612442076,0,2
1612443210,2,0
1612444595,0,2
1612445787,1,0
1612449277,1,2
1612451777,2,0
1612452873,0,3
1612454027,1,0
1612455948,1,1
1612457473,1,3
1612458914,1,0
1612460076,0,1
1612461878,0,2
1612463680,1,2
1612465483,2,0
1612467279,0,3
1612470877,1,0
1612472628,2,0
1612476577,0,1
1612480527,2,1
1612485267,0,3
1612488879,3,1
1612491263,3,1
1612493438,1,2
1612496081,3,0
1612499683,1,4
1612501561,0,1
1612504238,0,3
1612506334,2,2
1612509939,3,3
1612513538,2,3
1612515072,1,3
1612519015,0,1
1612520737,1,2
1612522251,0,1
1612524877,2,1
1612528473,2,3
1612529988,1,0
1612535138,1,1
1612538735,2,1
1612541775,1,4
1612542877,0,1
1612544825,1,1
1612548360,1,2
1612550076,1,0
1612551247,0,1
1612553136,0,2
1612559423,2,1
1612560882,0,3
1612562989,1,1
1612564873,0,1
1612567535,3,0
1612568794,2,2
1612570496,0,2
1612571675,0,1
1612573033,1,1
1612575831,2,0
1612578880,5,6
1612582483,1,5
1612586081,1,5
1612587218,3,0
1612588440,1,2
1612589678,2,0
1612593273,0,2
1612596055,2,6
1612596880,1,3
1612598618,0,3
1612600479,1,3
1612604075,1,5
1612607679,2,4
1612611276,3,0
1612614882,1,3
1612620367,1,0
1612623030,0,2
1612624508,0,1
1612625677,2,0
1612627606,2,0
1612629276,0,3
1612632870,1,13
