DateTime,Entries,UniqueIPs
1612564858,12256,12256
1612567522,12252,12252
1612568778,12230,12230
1612570482,12223,12223
1612571662,12205,12205
1612573018,12215,12215
1612574283,12206,12206
1612575819,12181,12181
1612578864,12165,12165
1612582466,12131,12131
1612586067,12103,12103
1612587193,12104,12104
1612588427,12096,12096
1612589665,12077,12077
1612593260,12029,12029
1612596041,11976,11976
1612596868,11925,11925
1612598603,11882,11882
1612600466,11852,11852
1612604061,11745,11745
1612607667,11673,11673
1612611262,11564,11564
1612614869,11521,11521
1612616003,11522,11522
1612617924,11517,11517
1612618460,11493,11493
1612620355,11468,11468
1612621522,11495,11495
1612623017,7967,7967
1612624490,11369,11369
1612625663,11272,11272
1612627589,11197,11197
1612629263,11130,11130
1612632858,7967,7967
1612634010,10777,10777
1612635124,10738,10738
1612636461,10691,10691
1612638566,10681,10681
1612641041,10669,10669
1612642785,10659,10659
1612643663,10634,10634
1612645486,10615,10615
1612646727,10625,10625
1612648019,10589,10589
1612650323,10594,10594
1612653926,10573,10573
1612655424,10530,10530
1612657523,10541,10541
1612658689,7967,7967
1612661663,10439,10439
1612662832,10434,10434
1612665264,10412,10412
1612668326,10385,10385
1612669825,10345,10345
1612672466,10327,10327
1612676063,10297,10297
1612677377,10295,10295
1612679122,10281,10281
1612680622,10250,10250
1612682324,10260,10260
1612683263,10245,10245
1612684622,10254,10254
1612686863,10240,10240
1612689141,10279,10279
1612691423,10336,10336
1612693445,10350,10350
1612695020,10327,10327
1612697661,10328,10328
1612699146,10312,10312
1612700721,10374,10374
1612701263,10340,10340
1612702676,10358,10358
1612704322,10407,10407
1612704863,10418,10418
1612706570,10441,10441
1612707923,10474,10474
1612708463,10457,10457
1612710101,10441,10441
1612712063,10448,10448
1612713602,10436,10436
1612715122,10446,10446
1612715659,10429,10429
1612719261,10439,10439
1612721136,10432,10432
1612722864,10429,10429
1612725922,10427,10427
1612727346,10426,10426
1612728568,10431,10431
1612730064,10414,10414
1612732460,10384,10384
1612734623,10356,10356
1612737264,10367,10367
1612740865,10369,10369
1612742845,10362,10362
1612744466,10377,10377
1612746145,10381,10381
1612748068,10382,10382
1612749565,10386,10386
1612751128,10397,10397
1612752623,10396,10396
1612754730,10413,10413
1612756303,10404,10404
1612758868,10398,10398
1612762465,10424,10424
1612764582,10438,10438
1612766063,10437,10437
1612768448,10444,10444
1612769806,10447,10447
1612771842,10461,10461
1612773245,10468,10468
1612775076,10471,10471
1612776862,10480,10480
1612777983,10497,10497
1612779099,10512,10512
1612780837,10508,10508
1612782810,10514,10514
1612784061,10506,10506
1612786352,10522,10522
1612787661,10525,10525
1612789786,10573,10573
1612791274,10770,10770
1612793598,10807,10807
1612794862,10799,10799
1612796340,10814,10814
1612797921,10830,10830
1612798464,10823,10823
1612800854,10848,10848
1612802466,10859,10859
1612803766,10868,10868
1612806619,10918,10918
1612808550,10936,10936
1612809261,10914,10914
1612810784,10920,10920
1612813313,10934,10934
1612815774,10951,10951
1612821021,10982,10982
1612823660,10980,10980
1612827755,10975,10975
1612830324,10995,10995
1612830864,11005,11005
1612835297,11015,11015
1612838064,11012,11012
1612842366,11019,11019
1612844648,11046,11046
1612846224,11041,11041
1612848865,11050,11050
1612850696,11045,11045
1612851922,11062,11062
1612853421,11061,11061
1612855192,11095,11095
1612856728,7967,7967
1612858215,11104,11104
1612859660,11076,11076
1612860888,11076,11076
1612862366,11056,11056
1612863259,11046,11046
1612864501,11061,11061
1612865877,11056,11056
1612866861,11016,11016
1612868379,10981,10981
1612870463,10953,10953
1612872136,10929,10929
1612874064,10903,10903
1612875972,10872,10872
1612877122,10896,10896
1612880462,10885,10885
1612881261,10885,10885
1612883199,10889,10889
1612884882,10915,10915
1612887122,10940,10940
1612888462,10944,10944
1612889628,10956,10956
1612890792,10963,10963
1612893169,10967,10967
1612894424,11014,11014
1612895664,11029,11029
1612897599,11040,11040
1612899263,11035,11035
1612901189,11036,11036
1612902322,11049,11049
1612902854,7967,7967
1612905032,11042,11042
1612906465,11046,11046
1612907866,11058,11058
1612909532,11073,11073
1612910060,11072,11072
1612913663,11080,11080
1612917265,11092,11092
1612918526,11102,11102
1612920323,11112,11112
1612920862,11105,11105
1612922333,11122,11122
1612923928,11138,11138
1612924467,11118,11118
1612926840,11140,11140
1612928067,11130,11130
1612931126,11146,11146
1612931663,11136,11136
1612933982,11134,11134
1612935715,11146,11146
1612938324,11167,11167
1612939658,11152,11152
1612941481,11161,11161
1612942458,11143,11143
1612945525,11169,11169
1612946969,11157,11157
1612949661,11189,11189
1612952439,11239,11239
1612953269,11226,11226
1612954988,11224,11224
1612956861,11229,11229
1612958893,11226,11226
1612960465,11185,11185
1612961870,11201,11201
1612963523,11183,11183
1612964775,11159,11159
1612966162,11155,11155
1612967665,11165,11165
1612970267,11202,11202
1612971264,11179,11179
1612973764,11185,11185
1612974860,11163,11163
1612977408,11158,11158
1612978465,11156,11156
1612981343,11172,11172
1612982731,11168,11168
1612985122,11174,11174
1612986622,11172,11172
1612988206,11176,11176
1612990224,11176,11176
1612991627,11178,11178
1612992861,11176,11176
1612994187,11187,11187
1612995925,11208,11208
1612997421,11210,11210
1613000064,11187,11187
1613001192,11178,11178
1613003104,7967,7967
1613004259,11167,11167
1613007269,11173,11173
1613008740,11176,11176
1613010324,11193,11193
1613010866,11187,11187
1613012102,11189,11189
1613013926,11184,11184
1613015404,7967,7967
1613018069,11169,11169
1613019352,11176,11176
1613021128,11188,11188
1613021668,11174,11174
1613025244,7967,7967
1613026602,11142,11142
1613027780,11137,11137
1613028861,11132,11132
1613032462,11121,11121
1613033855,7967,7967
1613035522,11110,11110
1613036064,11081,11081
1613039665,11053,11053
1613041160,11054,11054
1613042277,11067,11067
1613043418,11060,11060
1613046108,11044,11044
1613047236,10810,10810
1613048504,10808,10808
1613050461,7967,7967
1613054062,10808,10808
1613055532,10791,10791
1613057123,10807,10807
1613058630,10781,10781
1613059834,10769,10769
1613061313,10763,10763
1613063023,10737,10737
1613064321,10756,10756
1613064863,10722,10722
1613067923,10726,10726
1613068461,10713,10713
1613070289,10713,10713
1613072058,10707,10707
1613073187,10719,10719
1613075122,10733,10733
1613075662,10716,10716
1613077568,10707,10707
1613079267,10700,10700
1613080777,10703,10703
1613082322,10712,10712
1613082862,10697,10697
1613084824,10700,10700
1613086472,10698,10698
1613089282,10706,10706
1613090067,10691,10691
1613092125,10885,10885
1613093666,10884,10884
1613097263,10878,10878
1613099374,10882,10882
1613100866,10885,10885
1613103925,10905,10905
1613106182,10860,10860
1613108069,10861,10861
1613110733,7967,7967
1613112226,10850,10850
1613113841,10849,10849
1613115262,10852,10852
1613116478,10858,10858
1613118027,10856,10856
1613119405,10816,10816
1613121116,10800,10800
1613122897,10762,10762
1613124765,10770,10770
1613127023,10769,10769
1613128379,10776,10776
1613129664,10760,10760
1613132723,10779,10779
1613135188,10781,10781
1613136867,10833,10833
1613139920,10835,10835
1613141422,10822,10822
1613142883,10816,10816
1613145001,10821,10821
1613146673,10863,10863
1613147664,10828,10828
1613150137,10849,10849
1613151263,10860,10860
1613152981,10877,10877
1613154152,10907,10907
1613155460,10898,10898
1613157429,10920,10920
1613158463,10914,10914
1613160452,10967,10967
1613162858,10974,10974
1613164548,11016,11016
1613165666,11011,11011
1613168085,11011,11011
1613169271,11001,11001
1613171888,11041,11041
1613172850,7967,7967
1613174398,11041,11041
1613175925,7967,7967
1613177422,11111,11111
1613179142,11113,11113
1613180068,11104,11104
1613183124,11148,11148
1613183670,11139,11139
1613184806,11156,11156
1613186428,11164,11164
1613187267,11157,11157
1613189393,11168,11168
1613190868,11168,11168
1613192733,11180,11180
1613193931,11194,11194
1613195424,11191,11191
1613196827,11209,11209
1613198063,11211,11211
1613200887,11219,11219
1613201662,11206,11206
1613204026,11238,11238
1613205267,11233,11233
1613206589,11255,11255
1613208131,11277,11277
1613209808,11277,11277
1613212469,11282,11282
1613213740,11305,11305
1613215431,11349,11349
1613216064,11338,11338
1613218051,11337,11337
1613219662,11357,11357
1613223261,11354,11354
1613224639,11363,11363
1613225833,11358,11358
1613226866,11356,11356
1613230464,11371,11371
1613234063,11373,11373
1613235556,11380,11380
1613237124,11404,11404
1613237664,11401,11401
1613240076,11407,11407
1613241265,11401,11401
1613244323,11396,11396
1613245841,11382,11382
1613247669,11403,11403
1613248465,11396,11396
1613251529,11421,11421
1613252706,11413,11413
1613254088,11410,11410
1613255662,11404,11404
1613256809,11404,11404
1613258854,11423,11423
1613259263,11414,11414
1613261337,11423,11423
1613265751,11428,11428
1613267427,11416,11416
1613270071,11405,11405
1613272915,11426,11426
1613273667,11412,11412
1613276152,11433,11433
1613277263,11433,11433
1613279325,11432,11432
1613280623,11429,11429
1613281823,11437,11437
1613284462,11439,11439
1613288060,11448,11448
1613291666,11479,11479
1613293567,11486,11486
1613295265,11484,11484
1613297211,11495,11495
1613298315,7967,7967
1613299829,11512,11512
1613301590,11524,11524
1613302466,11508,11508
1613303577,11512,11512
1613305522,11514,11514
1613306060,11465,11465
1613308446,11449,11449
1613309671,11443,11443
1613311020,11452,11452
1613312298,11444,11444
1613313462,11447,11447
1613315157,11416,11416
1613316320,11437,11437
1613319150,11403,11403
1613320456,7967,7967
1613323017,11361,11361
1613324065,11345,11345
1613327125,11322,11322
1613328624,11109,11109
1613330388,11080,11080
1613331746,11059,11059
1613333371,7967,7967
1613334865,11017,11017
1613337142,11008,11008
1613338462,11006,11006
1613342060,10981,10981
1613345128,10997,10997
1613346438,10935,10935
1613349261,10929,10929
1613351994,10937,10937
1613353695,10894,10894
1613355446,10892,10892
1613356468,10879,10879
1613358397,10863,10863
1613360065,10859,10859
1613363010,10878,10878
1613366510,10872,10872
1613367261,10834,10834
1613369686,10834,10834
