DateTime,AddedIPs,RemovedIPs
1612532074,1,10
1612533342,2,1
1612535138,4,10
1612538735,8,11
1612541779,19,14
1612542877,4,5
1612544826,2,13
1612546476,3,6
1612548361,12,17
1612550076,12,3
1612551250,1,5
1612553136,65,10
1612553674,0,3
1612557275,23,24
1612559426,14,17
1612560882,5,16
1612562989,2,12
1612564874,6,15
1612567536,49,13
1612568795,2,7
1612570496,1,14
1612571676,3,5
1612573036,7,4
1612574302,8,11
1612575832,2,5
1612578881,2,12
1612582484,6,17
1612586082,45,14
1612587220,3,5
1612588440,2,3
1612589678,2,12
1612593274,6,17
1612596056,58,10
1612596880,1,3
1612598619,15,17
1612600479,18,19
1612604075,8,29
1612607679,7,25
1612611276,14,17
1612614883,19,18
1612616015,5,8
1612617937,12,8
1612618475,6,5
1612620368,8,8
1612621535,1,10
1612623030,2,1
1612624510,3,7
1612625677,0,5
1612627607,25,7
1612629276,0,8
1612632871,2,17
1612634022,2,8
1612635140,6,6
1612636474,2,9
1612638579,6,10
1612641054,7,9
1612642797,4,5
1612643681,2,3
1612645499,22,9
1612646742,15,6
1612648051,11,12
1612650338,4,14
1612653941,10,19
1612655439,3,3
1612657544,6,6
1612658712,1,4
1612661677,16,17
1612662848,1,3
1612665278,1,7
1612668341,14,9
1612669839,3,5
1612672481,2,12
1612676078,1,8
1612677392,10,2
1612679141,0,5
1612680634,1,2
1612682337,5,4
1612683276,3,2
1612684645,5,3
1612686883,10,4
1612689163,25,9
1612691437,3,13
1612693461,8,4
1612695034,2,5
1612697674,1,5
1612699169,0,2
1612700734,13,4
1612701276,0,1
1612702734,1,0
1612704334,2,1
1612704878,0,1
1612706592,1,8
1612707936,2,1
1612708476,1,0
1612710122,5,1
1612712075,3,3
1612713884,9,4
1612715672,10,4
1612719276,8,12
1612721149,4,2
1612722876,4,3
1612725935,10,6
1612727359,0,7
1612728581,6,5
1612730078,2,4
1612732486,6,5
1612734637,1,3
1612737278,10,7
1612740878,25,14
1612742858,6,5
1612744479,3,2
1612746170,1,4
1612748083,1,5
1612749589,3,6
1612751141,11,3
1612752639,3,4
1612754743,7,7
1612756337,10,4
1612758884,12,10
1612762482,9,16
1612764594,12,7
1612766076,6,7
1612768464,4,6
1612769819,4,4
1612773262,18,9
1612775089,6,10
1612776875,7,7
1612777996,9,3
1612779112,7,6
1612780863,8,12
1612782836,14,10
1612784074,1,3
1612786365,3,6
1612787674,3,7
1612789799,8,6
1612791289,0,7
1612793612,1,5
1612794875,7,7
1612796361,2,2
1612797935,4,5
1612798477,1,1
1612800870,5,6
1612802480,5,9
1612803781,5,4
1612806632,5,9
1612808563,9,1
1612809275,2,4
1612810799,4,6
1612813331,6,4
1612815792,4,8
1612821034,12,12
1612823674,11,7
1612827783,8,18
1612830881,10,6
1612835314,8,11
1612838077,6,9
1612842385,3,5
1612844665,10,4
1612846237,3,7
1612848879,7,6
1612850763,7,3
1612851936,6,2
1612853435,5,4
1612855207,26,4
1612856755,2,6
1612858231,6,8
1612859673,3,8
1612860900,7,1
1612862378,1,6
1612863271,5,4
1612864519,2,4
1612865892,3,3
1612866874,2,3
1612868393,8,5
1612870476,29,3
1612872152,1,8
1612874078,4,3
1612875989,36,5
1612877135,2,12
1612880486,8,14
1612881276,4,3
1612883218,5,9
1612884894,4,6
1612887146,1,10
1612888482,4,7
1612889640,3,1
1612890808,2,5
1612893182,4,8
1612894437,2,5
1612895677,2,4
1612897613,8,4
1612899277,4,8
1612901202,4,3
1612902334,1,2
1612902867,1,2
1612905048,9,5
1612906480,4,4
1612907933,2,8
1612909545,3,6
1612910077,5,1
1612913678,26,9
1612917279,4,12
1612918538,5,1
1612920336,3,12
1612920876,0,1
1612922346,4,1
1612923941,3,6
1612924481,2,4
1612931140,9,23
1612931679,3,0
1612934001,1,5
1612935733,3,4
1612938336,4,2
1612939672,11,3
1612941506,9,7
1612942470,10,2
1612945537,11,8
1612946981,3,6
1612949674,28,12
1612952452,9,10
1612955014,12,10
1612956334,8,9
1612956873,4,4
1612958912,4,9
1612960478,2,6
1612963536,10,6
1612964796,2,5
1612966174,4,4
1612967681,8,6
1612970290,8,4
1612971276,0,3
1612973791,14,10
1612974873,4,3
1612977424,8,3
1612978479,1,4
1612981356,2,3
1612982753,7,7
1612985137,5,7
1612986635,1,1
1612988240,4,5
1612990239,4,4
1612991641,2,2
1612992877,5,6
1612994201,2,7
1612995944,1,5
1612997434,2,6
1613000077,25,5
1613001209,4,6
1613004274,12,6
1613007284,19,7
1613008768,3,8
1613010339,4,4
1613010880,1,4
1613012118,1,7
1613013943,26,6
1613015431,4,10
1613018083,11,14
1613019367,5,2
1613021142,2,9
1613021683,1,2
1613025266,16,10
1613026614,3,6
1613027794,8,3
1613028874,9,3
1613032475,6,8
1613035535,7,7
1613036079,0,1
1613039680,11,17
1613041193,6,5
1613042295,10,5
1613043437,4,4
1613046120,5,5
1613047250,5,6
1613048523,3,10
1613050465,10,8
1613054078,28,15
1613055544,3,5
1613057139,5,3
1613058644,5,7
1613059846,4,6
1613061338,9,4
1613063043,38,7
1613064335,19,14
1613064876,2,6
1613067938,10,25
1613068477,1,4
1613070301,8,6
1613072072,6,14
1613073205,3,7
1613075138,6,10
1613075675,1,0
1613077584,63,2
1613079283,8,40
1613080795,6,10
1613082336,1,10
1613082875,1,8
1613084843,107,10
1613086485,3,48
1613089296,6,22
1613090084,4,6
1613092137,7,12
1613093681,6,8
1613097278,5,18
1613099391,7,4
1613100881,4,6
1613103941,4,11
1613106201,3,13
1613108083,5,13
1613110751,3,11
1613112239,5,7
1613113854,2,5
1613115277,6,5
1613118040,8,8
1613119418,5,12
1613121129,5,7
1613122909,1,6
1613124788,35,8
1613127037,3,16
1613128398,7,12
1613129678,10,4
1613132736,13,6
1613135200,7,12
1613136881,3,9
1613139935,2,11
1613141437,2,4
1613142896,1,3
1613145018,6,13
1613146690,6,11
1613147677,0,10
1613150150,14,5
1613151277,2,5
1613153000,6,5
1613154166,1,3
1613155476,4,7
1613157443,7,6
1613158477,3,4
1613160465,38,12
1613162882,12,22
1613164564,6,7
1613165681,3,4
1613168099,41,7
1613169289,4,10
1613171907,13,19
1613172868,1,4
1613177436,21,17
1613179162,3,7
1613180082,4,6
1613183137,8,13
1613183683,4,3
1613184820,5,4
1613186443,4,6
1613187282,2,5
1613189415,12,10
1613190887,6,8
1613192747,3,5
1613193945,0,7
1613195438,2,2
1613198069,14,5
1613200901,9,12
1613201675,1,1
1613204038,10,4
1613205281,2,6
1613206602,4,4
1613208149,10,5
1613209823,5,7
1613212483,23,11
1613213753,5,4
1613215444,1,12
1613216077,0,4
1613218063,41,6
1613219675,5,18
1613223273,3,14
1613224653,3,2
1613225849,3,7
1613226878,2,4
1613230479,7,20
1613234076,2,9
1613235577,1,3
1613237137,1,3
1613237680,0,3
1613240091,6,5
1613241278,10,1
1613244339,26,4
1613245854,4,11
1613247685,3,13
1613248481,1,4
1613251545,14,7
1613252733,2,6
1613254104,2,6
1613255675,6,7
1613256824,2,8
1613258867,2,4
1613259277,1,2
1613261355,4,6
1613265765,13,12
1613267442,1,6
1613270085,9,6
1613272932,8,3
1613273683,0,4
1613277276,5,5
1613279337,6,3
1613280645,5,4
1613281838,4,2
1613284474,5,12
1613288073,4,6
1613291679,6,10
1613293582,6,3
1613295277,0,6
1613297235,5,3
1613298398,3,4
1613299843,10,5
1613301607,1,12
1613302480,1,1
1613303595,6,6
1613305536,5,2
1613306073,1,0
1613308465,9,4
1613309686,5,1
1613311038,0,2
1613312312,0,2
1613313487,1,1
1613315171,1,4
1613316335,9,9
1613319179,27,11
1613320470,3,6
1613323033,3,2
1613324079,1,1
1613327137,13,19
1613328638,1,5
1613330415,16,5
1613331760,3,6
1613334881,11,9
1613337157,37,6
1613338476,8,17
1613342076,14,23
1613345142,27,11
1613346454,1,9
1613349278,6,24
1613352017,32,10
1613353712,2,11
1613355462,11,2
1613356481,3,3
1613358411,0,6
1613360081,0,6
1613363024,27,8
1613366525,10,13
1613367274,6,5
1613369699,6,8
1613371836,7,8
1613373938,4,5
1613375068,3,9
1613376588,15,6
1613378080,2,12
1613379896,6,10
1613381676,7,13
1613383747,9,7
1613386239,8,4
1613387954,3,3
1613389178,5,2
1613390613,5,3
1613392950,0,6
1613395186,6,9
1613396516,3,4
1613400153,19,7
1613402419,6,5
1613403272,15,8
1613404585,1,9
1613405884,12,4
1613407204,2,3
1613409760,18,8
1613410473,3,6
1613411817,0,5
1613415040,7,14
1613417135,9,16
1613419046,2,5
1613420332,76,4
1613422235,3,24
1613424881,6,19
1613426254,3,5
1613429439,15,14
1613432083,20,12
1613436103,6,21
1613438640,2,10
1613443245,2,16
1613444864,4,5
1613448337,5,10
1613450442,3,12
1613453141,8,10
1613453681,3,4
1613455601,2,7
1613458228,4,7
1613460879,10,12
1613462894,2,5
1613464476,9,8
1613465768,0,6
1613467539,6,11
1613468067,3,5
1613469812,13,8
1613471677,9,5
1613472817,1,4
