DateTime,AddedIPs,RemovedIPs
1612541748,86,97
1612542860,34,40
1612544811,63,37
1612546460,54,37
1612548341,64,55
1612550058,42,56
1612551232,37,19
1612553118,54,105
1612553658,8,38
1612557259,97,99
1612559406,45,60
1612560862,57,42
1612562973,49,54
1612564856,61,50
1612567519,72,67
1612568773,48,55
1612570481,61,34
1612571659,23,45
1612573016,29,24
1612574281,38,36
1612575818,41,54
1612578861,73,77
1612582460,87,124
1612586061,85,114
1612587191,20,15
1612588425,23,43
1612589660,30,46
1612593258,96,96
1612596040,71,110
1612596864,24,61
1612598600,65,125
1612600459,59,91
1612604060,88,104
1612607665,99,107
1612611259,83,132
1612614865,73,84
1612616002,26,19
1612617919,40,33
1612618457,11,36
1612620353,34,55
1612621519,27,1
1612624489,66,59
1612625659,20,25
1612627587,35,66
1612629259,39,33
1612634008,121,92
1612635123,19,34
1612636459,28,38
1612638565,43,51
1612641039,51,44
1612642783,47,35
1612643658,20,37
1612645484,55,60
1612646721,47,18
1612648009,37,63
1612650319,56,36
1612653921,85,96
1612655421,35,58
1612657519,52,39
1612661080,75,99
1612661658,13,33
1612662830,20,13
1612665261,44,70
1612668320,56,53
1612669821,35,54
1612672463,54,79
1612676060,70,88
1612677373,16,22
1612679119,23,21
1612680619,21,58
1612682323,36,50
1612683260,18,51
1612684620,22,19
1612686859,48,122
1612689136,40,72
1612691420,39,69
1612693444,86,43
1612695017,19,43
1612697658,54,75
1612699142,30,44
1612700717,33,16
1612701257,10,52
1612702674,20,10
1612704318,34,12
1612704859,69,34
1612706567,272,53
1612707919,79,1
1612708460,20,36
1612710095,61,54
1612712058,109,32
1612713600,94,27
1612715118,80,13
1612715657,44,48
1612719258,291,87
1612721133,72,78
1612722861,84,47
1612725919,169,58
1612727344,129,52
1612728566,86,31
1612730061,63,38
1612732457,98,51
1612734618,95,67
1612737260,156,78
1612740862,192,146
1612742843,83,48
1612744463,59,59
1612746137,76,44
1612748063,72,56
1612749562,63,43
1612751123,71,14
1612752619,56,60
1612754722,77,42
1612756317,80,59
1612758862,105,83
1612762462,162,90
1612764580,77,56
1612766060,55,55
1612768445,76,57
1612769805,55,64
1612771839,86,51
1612773243,44,45
1612775074,52,63
1612776858,57,31
1612777981,30,21
1612779097,51,38
1612780834,68,56
1612782804,76,36
1612784059,27,39
1612786350,57,43
1612787658,59,32
1612789784,58,42
1612791273,49,31
1612793595,53,54
1612794860,42,48
1612796294,39,4
1612797916,43,31
1612798460,12,32
1612800847,55,33
1612802463,41,57
1612803765,46,28
1612806617,91,44
1612808548,51,33
1612809259,32,33
1612810778,39,35
1612813308,81,55
1612815772,65,60
1612821017,161,161
1612823658,81,89
1612827750,125,109
1612830320,72,52
1612830860,15,36
1612835292,132,87
1612837520,63,42
1612838059,19,39
1612842365,109,91
1612844646,96,57
1612846218,46,64
1612848864,84,85
1612850694,50,51
1612851917,32,5
1612853417,56,79
1612855190,39,56
1612858206,103,125
1612859658,53,58
1612860886,84,17
1612862364,46,86
1612863257,23,74
1612864500,23,25
1612865876,39,45
1612866857,21,58
1612868373,51,51
1612870460,71,63
1612872130,44,27
1612874060,57,30
1612875969,58,105
1612877118,45,3
1612880460,125,96
1612881257,37,36
1612883197,67,50
1612884881,45,63
1612887120,81,71
1612888459,53,61
1612889626,35,15
1612890789,33,32
1612895122,123,102
1612895662,10,55
1612897597,58,87
1612899259,57,55
1612901188,48,50
1612902318,33,1
1612905029,87,99
1612906461,40,56
1612907863,32,26
1612909529,65,41
1612910058,19,51
1612913659,102,134
1612917262,142,123
1612918524,36,11
1612920318,65,45
