DateTime,Entries,UniqueIPs
1612541748,15534,15534
1612542860,15528,15528
1612544811,15554,15554
1612546460,15571,15571
1612548341,15580,15580
1612550058,15566,15566
1612551232,15584,15584
1612553118,15533,15533
1612553658,15503,15503
1612557259,15501,15501
1612559406,15486,15486
1612560862,15501,15501
1612562973,15496,15496
1612564856,15507,15507
1612567519,15512,15512
1612568773,15505,15505
1612570481,15532,15532
1612571659,15510,15510
1612573016,15515,15515
1612574281,15517,15517
1612575818,15504,15504
1612578861,15500,15500
1612582460,15463,15463
1612586061,15434,15434
1612587191,15439,15439
1612588425,15419,15419
1612589660,15403,15403
1612593258,15403,15403
1612596040,15364,15364
1612596864,15327,15327
1612598600,15267,15267
1612600459,15235,15235
1612604060,15219,15219
1612607665,15211,15211
1612611259,15162,15162
1612614865,15151,15151
1612616002,15158,15158
1612617919,15165,15165
1612618457,15140,15140
1612620353,15119,15119
1612621519,15145,15145
1612624489,15152,15152
1612625659,15147,15147
1612627587,15116,15116
1612629259,15122,15122
1612634008,15151,15151
1612635123,15136,15136
1612636459,15126,15126
1612638565,15118,15118
1612641039,15125,15125
1612642783,15137,15137
1612643658,15120,15120
1612645484,15115,15115
1612646721,15144,15144
1612648009,15118,15118
1612650319,15138,15138
1612653921,15127,15127
1612655421,15104,15104
1612657519,15117,15117
1612661080,15093,15093
1612661658,15073,15073
1612662830,15080,15080
1612665261,15054,15054
1612668320,15057,15057
1612669821,15038,15038
1612672463,15013,15013
1612676060,14995,14995
1612677373,14989,14989
1612679119,14991,14991
1612680619,14954,14954
1612682323,14940,14940
1612683260,14907,14907
1612684620,14910,14910
1612686859,14836,14836
1612689136,14804,14804
1612691420,14774,14774
1612693444,14817,14817
1612695017,14793,14793
1612697658,14772,14772
1612699142,14758,14758
1612700717,14775,14775
1612701257,14733,14733
1612702674,14743,14743
1612704318,14765,14765
1612704859,14800,14800
1612706567,15019,15019
1612707919,15097,15097
1612708460,15081,15081
1612710095,15088,15088
1612712058,15165,15165
1612713600,15232,15232
1612715118,15299,15299
1612715657,15295,15295
1612719258,15499,15499
1612721133,15493,15493
1612722861,15530,15530
1612725919,15641,15641
1612727344,15718,15718
1612728566,15773,15773
1612730061,15798,15798
1612732457,15845,15845
1612734618,15873,15873
1612737260,15951,15951
1612740862,15997,15997
1612742843,16032,16032
1612744463,16032,16032
1612746137,16064,16064
1612748063,16080,16080
1612749562,16100,16100
1612751123,16157,16157
1612752619,16153,16153
1612754722,16188,16188
1612756317,16209,16209
1612758862,16231,16231
1612762462,16303,16303
1612764580,16324,16324
1612766060,16324,16324
1612768445,16343,16343
1612769805,16334,16334
1612771839,16369,16369
1612773243,16368,16368
1612775074,16357,16357
1612776858,16383,16383
1612777981,16392,16392
1612779097,16405,16405
1612780834,16417,16417
1612782804,16457,16457
1612784059,16445,16445
1612786350,16459,16459
1612787658,16486,16486
1612789784,16502,16502
1612791273,16520,16520
1612793595,16519,16519
1612794860,16513,16513
1612796294,16548,16548
1612797916,16560,16560
1612798460,16540,16540
1612800847,16562,16562
1612802463,16546,16546
1612803765,16564,16564
1612806617,16611,16611
1612808548,16629,16629
1612809259,16628,16628
1612810778,16632,16632
1612813308,16658,16658
1612815772,16663,16663
1612821017,16663,16663
1612823658,16655,16655
1612827750,16671,16671
1612830320,16691,16691
1612830860,16670,16670
1612835292,16715,16715
1612837520,16736,16736
1612838059,16716,16716
1612842365,16734,16734
1612844646,16773,16773
1612846218,16755,16755
1612848864,16754,16754
1612850694,16753,16753
1612851917,16780,16780
1612853417,16757,16757
1612855190,16740,16740
1612858206,16718,16718
1612859658,16713,16713
1612860886,16780,16780
1612862364,16740,16740
1612863257,16689,16689
1612864500,16687,16687
1612865876,16681,16681
1612866857,16644,16644
1612868373,16644,16644
1612870460,16652,16652
1612872130,16669,16669
1612874060,16696,16696
1612875969,16649,16649
1612877118,16691,16691
1612880460,16720,16720
1612881257,16721,16721
1612883197,16738,16738
1612884881,16720,16720
1612887120,16730,16730
1612888459,16722,16722
1612889626,16742,16742
1612890789,16743,16743
1612895122,16764,16764
1612895662,16719,16719
1612897597,16690,16690
1612899259,16692,16692
1612901188,16690,16690
1612902318,16722,16722
1612905029,16710,16710
1612906461,16694,16694
1612907863,16700,16700
1612909529,16724,16724
1612910058,16692,16692
1612913659,16660,16660
1612917262,16679,16679
1612918524,16704,16704
1612920318,16724,16724
1612920858,16664,16664
1612922285,16680,16680
1612923924,16688,16688
1612924465,16647,16647
1612926838,16660,16660
1612928062,16650,16650
1612931122,16660,16660
1612931660,16572,16572
1612933981,16598,16598
1612935713,16600,16600
1612938321,16649,16649
1612939657,16589,16589
1612941479,16607,16607
1612942457,16622,16622
1612945519,16665,16665
1612946968,16649,16649
1612949657,16629,16629
1612952438,16694,16694
1612953265,16678,16678
1612954973,16661,16661
1612956859,16666,16666
1612958892,16671,16671
1612960461,16680,16680
1612961869,16710,16710
1612963520,16717,16717
1612964770,16693,16693
1612966159,16690,16690
1612967661,16670,16670
1612970719,16709,16709
1612971261,16677,16677
1612973761,16679,16679
1612974859,16678,16678
1612977393,16691,16691
1612978460,16670,16670
1612981342,16687,16687
1612982729,16653,16653
1612985117,16681,16681
1612986619,16658,16658
1612988204,16670,16670
1612990219,16643,16643
1612991625,16636,16636
1612992859,16625,16625
1612994183,16629,16629
1612995920,16640,16640
1612997419,16627,16627
1613000062,16599,16599
1613001189,16610,16610
1613004254,16588,16588
1613007265,16559,16559
1613008691,16584,16584
1613010318,16622,16622
1613010862,16586,16586
1613012100,16606,16606
1613013922,16580,16580
1613017521,16553,16553
1613018065,16526,16526
1613019350,16536,16536
1613021124,16558,16558
1613021664,16519,16519
1613026601,16535,16535
1613027775,16531,16531
1613028857,16534,16534
1613032460,16439,16439
1613033853,16463,16463
1613035517,16481,16481
1613036060,16458,16458
1613039661,16468,16468
1613041157,16453,16453
1613042276,16482,16482
1613043417,16468,16468
1613046106,16481,16481
1613047234,16426,16426
1613048502,16426,16426
1613050460,16392,16392
1613054060,16362,16362
1613055487,16422,16422
1613057119,16618,16618
1613058625,16591,16591
1613059832,16604,16604
1613061310,16645,16645
1613063018,16618,16618
1613064317,16644,16644
1613064860,16623,16623
1613067919,16645,16645
1613068457,16617,16617
1613070287,16626,16626
1613072057,16633,16633
1613073185,16652,16652
1613075118,16665,16665
1613075659,16641,16641
1613077566,16573,16573
1613079262,16614,16614
1613080773,16612,16612
1613082317,16655,16655
1613082859,16639,16639
1613084822,16534,16534
1613086469,16562,16562
1613089279,16588,16588
1613090061,16553,16553
1613092123,16557,16557
1613093661,16548,16548
1613097260,16518,16518
1613099371,16532,16532
1613100863,16515,16515
1613103920,16538,16538
1613106181,16489,16489
1613108065,16475,16475
1613112225,16411,16411
1613113839,16406,16406
1613115260,16443,16443
1613116476,16466,16466
1613118025,16439,16439
1613119403,16423,16423
1613121110,16408,16408
1613122895,16362,16362
1613124763,16332,16332
1613127018,16331,16331
