DateTime,AddedIPs,RemovedIPs
1612400912,6,14
1612402861,14,7
1612404733,4,0
1612406657,9,14
1612408633,11,10
1612410500,4,8
1612412705,8,16
1612414584,6,0
1612416542,17,5
1612418495,9,14
1612420342,14,0
1612422322,10,0
1612424178,6,11
1612426098,12,7
1612428066,9,11
1612429965,19,9
1612431881,21,0
1612433835,7,12
1612435717,20,18
1612438574,5,17
1612440502,18,8
1612442461,7,9
1612444359,13,13
1612446271,10,3
1612448214,13,12
1612450368,9,7
1612452274,16,10
1612454213,6,7
1612456161,7,14
1612458068,16,10
1612459942,10,13
1612461916,14,12
1612463786,7,10
1612465959,8,13
1612467869,7,5
1612470782,12,24
1612472676,12,7
1612474589,9,4
1612476554,14,7
1612481319,19,19
1612483258,14,5
1612485175,8,10
1612487071,8,6
1612488990,9,8
1612491198,9,8
1612493068,12,7
1612495015,12,10
1612496936,14,12
1612498877,12,11
1612501708,10,24
1612503622,14,2
1612505598,21,12
1612507458,12,9
1612509380,15,11
1612511333,14,9
1612513213,16,13
1612515133,22,13
1612517150,18,13
1612518982,13,12
1612523069,16,21
1612525027,11,0
1612526896,12,12
1612530784,14,17
1612532677,10,15
1612534592,13,13
1612536533,15,8
1612538460,6,10
1612543227,12,25
1612545178,6,0
1612547084,11,16
1612550944,9,22
1612552843,5,10
1612554766,14,14
1612556694,7,6
1612558607,14,8
1612560744,6,12
1612562699,11,7
1612564613,11,12
1612566524,15,8
1612568435,9,13
1612570389,10,12
1612574187,8,17
1612576166,11,0
1612579024,10,23
1612580910,10,14
1612582827,14,10
1612584778,12,16
1612586689,15,20
1612589552,9,9
1612591472,13,19
1612593430,16,12
1612595291,12,11
1612597219,10,8
1612599163,11,7
1612601052,8,16
1612602984,10,13
1612604926,14,9
1612606820,11,8
1612609980,12,24
1612613786,19,17
1612615739,12,9
1612617641,12,12
1612619546,13,12
1612621485,12,10
1612623388,9,0
1612625324,13,15
1612628178,15,13
1612631102,10,29
1612633039,11,11
1612634915,6,7
1612636823,12,16
1612639733,10,15
1612641720,10,4
1612643561,9,14
1612646437,10,9
1612648388,10,17
1612650276,11,6
1612652178,16,3
1612654142,12,6
1612656061,11,0
1612658915,12,12
1612660837,11,12
1612663043,7,7
1612664920,11,9
1612666898,20,8
1612668781,12,11
1612670670,2,8
1612674768,17,15
1612676714,7,3
1612678595,12,11
1612680498,13,0
1612682479,17,10
1612684339,14,14
1612687233,13,29
1612689176,15,11
1612691067,12,12
1612693002,3,18
1612694968,6,16
1612696846,22,26
1612698752,11,0
1612700709,15,15
1612703547,10,27
1612705477,10,14
1612707672,11,0
1612709553,8,11
1612711484,6,22
1612713389,17,15
1612715344,11,10
1612720125,8,21
1612722098,11,14
1612723987,11,0
1612725860,10,0
1612727800,5,14
1612729749,8,20
1612732610,10,26
1612734504,7,11
1612736422,12,9
1612738374,8,5
1612740260,15,14
1612742180,7,14
1612744131,13,0
1612746039,15,9
1612747962,10,11
1612752790,12,39
1612754671,11,9
1612757544,11,12
1612759463,16,12
1612761421,7,14
1612764315,15,13
1612766193,12,15
1612768343,19,18
1612771317,11,11
1612773147,18,13
1612775091,14,6
1612777007,11,13
1612780174,15,28
1612783957,11,18
1612785927,6,15
1612788786,11,15
1612790679,9,18
1612793576,20,20
1612795467,8,0
1612797391,11,12
1612799322,13,7
1612801228,12,19
1612803141,15,11
1612805096,11,0
1612807981,11,17
1612810793,15,6
1612813003,10,0
1612814914,13,19
1612816861,9,6
1612818756,12,0
1612820643,11,8
1612822613,7,11
1612824547,17,7
1612826454,18,10
1612828369,10,7
1612831235,11,9
1612833178,10,10
1612835161,4,9
1612836997,17,10
1612839782,18,7
1612842337,10,16
1612844167,12,12
1612846367,14,0
1612848284,7,11
1612850212,15,9
1612852100,16,13
1612854033,18,9
1612856039,12,13
1612857893,13,6
1612859820,8,10
1612861719,23,16
1612864612,8,38
1612866524,14,0
1612869440,22,28
1612871311,13,11
1612874179,10,21
1612876134,11,10
1612879021,7,31
1612880900,10,18
1612882862,17,14
1612884786,9,10
1612886681,13,18
1612888645,11,15
1612890524,6,12
1612892435,12,11
1612895311,12,0
1612898218,10,19
1612900125,4,9
1612902074,10,11
1612905182,8,4
1612907101,10,9
1612909014,9,0
1612912870,15,20
1612914742,10,10
1612916695,12,14
1612918622,13,10
1612920534,9,9
1612922416,14,8
1612925286,12,20
1612927280,8,9
1612929151,10,0
1612931064,8,19
1612933024,12,0
1612934922,10,10
1612936831,10,12
1612938766,7,6
1612940684,8,8
1612942581,12,8
1612944537,11,11
1612947414,15,12
1612949311,13,14
1612951233,5,13
1612953171,13,0
1612957939,12,41
1612960824,17,14
1612962789,14,10
1612964686,11,16
1612966584,20,7
1612968562,17,11
1612970431,10,16
1612973819,17,25
1612975716,18,11
1612977660,16,12
1612979583,11,0
1612982530,10,22
1612985345,11,6
1612987236,17,12
1612989206,8,10
1612991077,8,0
1612993041,7,12
1612994922,7,8
1612996878,9,9
1612998743,12,11
1613000667,14,4
1613002581,14,11
1613004530,9,5
1613006443,13,16
1613008382,15,9
1613010311,11,6
1613012224,12,9
1613014100,12,8
1613016081,13,10
1613017942,17,0
1613019923,11,8
1613022737,15,26
1613024728,19,16
1613026580,25,13
1613028507,16,0
1613030542,16,12
1613032602,15,18
1613034505,18,22
1613036420,11,11
1613038369,9,19
1613040305,15,13
1613044176,8,29
1613046006,13,19
1613047958,13,11
1613049903,13,13
1613052776,13,18
1613054685,10,14
1613057571,16,31
1613059515,17,11
1613062376,10,14
1613064280,11,11
1613066175,8,11
1613068139,19,13
1613070021,15,3
1613071946,7,13
1613073936,12,12
1613075827,7,12
1613077701,10,14
1613079697,8,9
1613081560,5,11
1613083466,14,12
1613085423,11,8
1613087331,8,14
1613089248,14,9
1613091212,15,7
1613093065,10,14
1613094995,10,9
1613096957,8,14
1613098843,11,17
1613100760,7,8
1613102729,12,15
1613104584,12,0
1613106741,6,19
1613108687,12,13
1613110603,18,14
1613112729,13,19
1613114668,13,23
1613116663,6,22
1613118496,10,11
1613120472,16,25
1613122327,18,18
1613125272,6,13
1613127136,9,14
1613130034,14,17
1613131954,10,13
1613133902,15,16
1613135788,16,13
1613138947,13,14
1613140824,15,15
1613142758,13,17
1613144714,13,13
1613147574,16,13
1613149477,12,14
1613151406,12,9
1613153312,9,5
1613155241,9,10
1613157209,16,18
1613159092,9,0
1613161017,11,15
1613162911,11,7
1613164836,8,4
1613166768,13,9
1613168659,6,10
1613170899,8,13
1613172749,18,10
1613174734,14,11
1613176570,16,13
1613178745,10,8
1613180659,13,16
1613182612,10,13
1613184508,11,14
1613186445,7,19
1613188384,15,13
1613190267,21,19
1613192196,14,0
1613194168,13,24
1613196105,10,23
1613198919,13,38
1613201780,7,15
1613203967,15,11
1613205867,13,15
1613207815,10,13
1613209699,9,15
1613211657,11,17
1613216423,12,24
1613218352,7,12
1613220307,10,7
1613224124,14,15
1613226049,9,12
1613227946,17,0
1613229861,17,17
1613231817,9,12
1613233717,13,0
1613235662,16,18
1613237598,15,0
1613239494,17,9
1613241437,13,17
1613243316,10,5
1613245738,10,2
1613247637,8,12
1613249549,10,6
1613251583,11,14
1613253679,9,11
1613255542,14,6
1613257715,4,8
1613259659,11,7
1613261564,17,10
1613263547,11,8
1613265390,7,0
1613267326,8,8
1613269269,14,8
1613271142,17,11
1613273086,13,0
1613275021,10,12
1613276909,14,16
1613278844,12,17
1613280780,14,12
1613282675,10,12
1613284575,10,14
1613286533,14,0
1613288417,10,15
1613290362,16,20
1613292283,18,6
1613294166,15,13
1613296088,15,7
1613298053,8,16
1613299931,10,10
1613301875,15,0
1613304781,9,17
1613306708,15,9
1613308596,11,14
1613310549,9,12
1613313422,7,16
1613315295,6,14
1613318202,12,21
1613320129,8,8
1613322071,21,17
1613323952,14,16
1613326828,9,12
1613328739,14,13
1613330701,13,8
1613332597,12,4
1613335464,7,7
1613337398,13,17
1613341498,12,21
1613343386,14,8
1613345303,6,7
1613347292,8,4
1613349151,10,7
1613351066,4,5
1613353032,7,5
1613354940,16,7
1613356817,9,5
1613358808,7,12
1613360673,14,9
1613363549,14,11
1613365478,8,11
1613369298,7,12
1613371235,7,15
1613373171,11,9
1613375060,7,0
1613377004,12,10
1613380827,13,31
1613383061,12,7
1613387111,15,17
1613389957,7,25
1613391970,12,12
1613394149,19,15
1613396212,10,14
1613398397,7,16
1613400268,13,20
1613402196,17,18
1613404130,14,0
1613406017,19,7
1613408909,15,9
1613412772,11,10
1613414701,11,7
1613416603,8,7
1613418746,11,10
1613420681,8,7
1613422578,10,11
1613424538,10,6
1613426429,9,8
1613429551,9,11
1613432426,11,13
1613434376,9,0
1613436267,9,0
1613438664,10,12
1613440845,11,21
1613442883,14,14
1613445836,20,11
1613447778,11,15
1613449718,15,15
1613451665,16,11
1613454538,14,15
1613456466,12,11
1613458327,16,12
1613462215,12,23
1613464100,10,11
1613466048,11,14
1613467951,20,20
1613470820,16,15
1613472775,11,9
1613474688,15,18
