DateTime,AddedIPs,RemovedIPs
1612400912,29,29
1612402861,37,29
1612404733,23,34
1612406657,32,26
1612408633,45,34
1612410500,35,42
1612412705,33,36
1612414584,33,32
1612416542,42,35
1612418495,33,39
1612420342,50,41
1612422322,47,49
1612424178,47,48
1612426098,44,46
1612428066,44,46
1612429965,55,46
1612431881,54,52
1612433835,29,52
1612435717,47,28
1612438574,29,46
1612440502,37,32
1612442461,31,39
1612444359,36,29
1612446271,40,35
1612448214,37,41
1612450368,35,38
1612452274,37,33
1612454213,29,37
1612456161,30,29
1612458068,29,33
1612459942,34,29
1612461916,36,32
1612463786,25,35
1612465959,27,24
1612467869,28,28
1612470782,30,32
1612472676,27,25
1612474589,40,31
1612476554,39,39
1612481319,49,38
1612483258,42,47
1612485175,39,46
1612487071,25,25
1612488990,50,37
1612491198,50,50
1612493068,52,50
1612495015,40,51
1612496936,36,37
1612498877,47,40
1612501708,41,45
1612503622,51,44
1612505598,39,52
1612507458,47,38
1612509380,47,47
1612511333,56,47
1612513213,56,56
1612515133,53,58
1612517150,55,53
1612518982,41,54
1612523069,37,42
1612525027,53,38
1612526896,38,50
1612530784,44,40
1612532677,35,40
1612534592,43,38
1612536533,45,42
1612538460,37,44
1612543227,41,38
1612545178,37,38
1612547084,39,40
1612550944,36,39
1612552843,24,33
1612554766,37,28
1612556694,42,34
1612558607,48,44
1612560744,38,47
1612562699,39,31
1612564613,42,43
1612566524,37,40
1612568435,37,41
1612570389,43,39
1612574187,34,42
1612576166,55,33
1612579024,37,55
1612580910,25,23
1612582827,45,32
1612584778,41,48
1612586689,42,39
1612589552,36,42
1612591472,30,25
1612593430,40,47
1612595291,44,38
1612597219,45,49
1612599163,46,42
1612601052,44,46
1612602984,36,42
1612604926,44,41
1612606820,34,44
1612609980,39,33
1612613786,39,39
1612615739,40,35
1612617641,41,44
1612619546,42,43
1612621485,44,38
1612623388,44,48
1612625324,40,41
1612628178,37,41
1612631102,37,38
1612633039,40,35
1612634915,29,39
1612636823,36,31
1612639733,46,35
1612641720,36,47
1612643561,44,31
1612646437,47,47
1612648388,36,43
1612650276,41,36
1612652178,49,42
1612654142,39,51
1612656061,46,42
1612658915,48,45
1612660837,46,47
1612663043,44,47
1612664920,41,41
1612666898,51,42
1612668781,47,48
1612670670,25,32
1612674768,41,39
1612676714,30,43
1612678595,36,32
1612680498,48,38
1612682479,47,48
1612684339,45,44
1612687233,48,50
1612689176,44,45
1612691067,45,45
1612693002,47,42
1612694968,47,48
1612696846,63,45
1612698752,49,69
1612700709,49,48
1612703547,42,49
1612705477,33,38
1612707672,44,37
1612709553,32,44
1612711484,35,31
1612713389,45,35
1612715344,44,44
1612720125,45,47
1612722098,44,44
1612723987,44,44
1612725860,37,40
1612727800,35,38
1612729749,41,34
1612732610,39,42
1612734504,35,41
1612736422,43,33
1612738374,46,44
1612740260,38,46
1612742180,30,36
1612744131,37,29
1612746039,46,37
1612747962,44,44
1612752790,40,45
1612754671,47,41
1612757544,42,46
1612759463,54,46
1612761421,36,51
1612764315,56,39
1612766193,43,56
1612768343,55,43
1612771317,49,57
1612773147,50,47
1612775091,54,50
1612777007,40,50
1612780174,36,45
1612783957,39,38
1612785927,32,36
1612788786,41,34
1612790679,37,41
1612793576,54,35
1612795467,45,57
1612797391,42,41
1612799322,44,42
1612801228,40,45
1612803141,38,42
1612805096,42,39
1612807981,43,44
1612810793,45,40
1612813003,41,40
1612814914,42,43
1612816861,38,42
1612818756,47,39
1612820643,39,45
1612822613,38,40
1612824547,54,41
1612826454,52,46
1612828369,32,50
1612831235,52,38
1612833178,32,45
1612835161,44,40
1612836997,42,41
1612839782,50,44
1612842337,39,52
1612844167,48,39
1612846367,48,50
1612848284,42,42
1612850212,49,41
1612852100,39,55
1612854033,43,42
1612856039,38,41
1612857893,54,36
1612859820,43,50
1612861719,54,47
1612864612,46,57
1612866524,46,45
1612869440,57,48
1612871311,41,52
1612874179,40,44
1612876134,47,42
1612879021,42,44
1612880900,44,45
1612882862,42,45
1612884786,37,43
1612886681,50,37
1612888645,46,46
1612890524,37,29
1612892435,41,55
1612895311,38,38
1612898218,38,43
1612900125,32,31
1612902074,35,34
1612905182,35,31
1612907101,40,35
1612909014,35,36
1612912870,49,42
1612914742,45,45
1612916695,40,46
1612918622,44,40
1612920534,44,45
1612922416,38,44
1612925286,40,42
1612927280,37,34
1612929151,33,40
1612931064,44,33
1612933024,41,39
1612934922,32,40
1612936831,39,36
1612938766,46,49
1612940684,37,32
1612942581,45,44
1612944537,50,45
1612947414,53,54
1612949311,46,47
1612951233,33,48
1612953171,61,37
1612957939,49,64
1612960824,53,46
1612962789,45,51
1612964686,46,48
1612966584,46,43
1612968562,53,45
1612970431,41,58
1612973819,58,39
1612975716,50,57
1612977660,45,50
1612979583,35,44
1612982530,56,37
1612985345,41,55
1612987236,50,43
1612989206,36,50
1612991077,39,31
1612993041,41,38
1612994922,39,32
1612996878,46,50
1612998743,40,44
1613000667,47,43
1613002581,47,43
1613004530,44,52
1613006443,44,41
1613008382,45,43
1613010311,47,45
1613012224,43,47
1613014100,45,45
1613016081,33,42
1613017942,43,36
1613019923,20,20
1613022737,46,44
1613024728,64,50
1613026580,48,63
1613028507,51,47
1613030542,40,49
1613032602,47,45
1613034505,43,39
1613036420,46,49
1613038369,31,40
1613040305,39,34
1613044176,39,40
1613046006,42,37
1613047958,50,46
1613049903,39,49
1613052776,49,40
1613054685,36,48
1613057571,42,34
1613059515,39,33
1613062376,42,47
1613064280,49,42
1613066175,44,49
1613068139,46,43
1613070021,47,50
1613071946,30,46
1613073936,45,18
1613075827,36,53
1613077701,37,39
1613079697,41,35
1613081560,37,35
1613083466,45,39
1613085423,41,46
1613087331,49,42
1613089248,42,46
1613091212,57,48
1613093065,48,55
1613094995,48,47
1613096957,49,51
1613098843,39,51
1613100760,47,40
1613102729,41,33
1613104584,42,47
1613106741,48,45
1613108687,52,46
1613110603,46,55
1613112729,58,51
1613114668,51,55
1613116663,38,45
1613118496,45,45
1613120472,57,43
1613122327,54,56
1613125272,36,52
1613127136,48,39
