DateTime,AddedIPs,RemovedIPs
1611676953,7,8
1611680555,12,9
1611684153,5,4
1611687753,8,8
1611691355,4,10
1611694953,10,8
1611698556,23,8
1611702155,6,5
1611705757,36,19
1611709358,47,3
1611712958,29,7
1611716559,22,10
1611720162,26,3
1611723761,37,9
1611727365,24,4
1611730965,31,3
1611734565,21,4
1611738166,13,3
1611741766,22,11
1611745366,19,2
1611748968,19,10
1611752566,15,18
1611756167,22,13
1611759770,18,11
1611763369,23,13
1611766968,30,18
1611770570,17,30
1611774171,30,28
1611777767,23,36
1611781368,37,22
1611784968,25,11
1611788569,29,15
1611792171,33,20
1611795770,34,42
1611799372,32,13
1611802973,31,9
1611806575,26,14
1611810174,24,17
1611813773,24,19
1611817374,29,15
1611820973,22,2
1611824576,44,1
1611828178,16,2
1611831780,11,2
1611835379,25,3
1611838982,15,2
1611842582,12,3
1611846182,2,1
1611849782,2,18
1611853379,3,17
1611856982,5,23
1611860581,8,17
1611864180,8,8
1611867779,3,11
1611871378,1,18
1611875027,1,14
1611878578,2,12
1611882178,5,12
1611885776,5,19
1611889374,7,8
1611892973,9,6
1611896575,0,25
1611900173,4,22
1611903796,11,16
1611907374,2,7
1611910971,3,8
1611914571,6,7
1611918173,8,10
1611921772,5,7
1611925370,5,13
1611928971,10,8
1611932571,2,10
1611936172,12,6
1611939772,4,8
1611943371,4,11
1611946970,7,13
1611950569,2,24
1611954168,12,27
1611957767,4,22
1611961367,10,23
1611964968,24,19
1611968566,6,20
1611972165,5,36
1611975763,3,26
1611979363,4,21
1611982962,5,13
1611986561,2,17
1611990161,4,25
1611993761,8,10
1611997359,4,9
1612000962,6,12
1612004561,5,15
1612008161,3,6
1612011759,3,5
1612015358,2,9
1612018961,4,7
1612022560,1,14
1612026160,2,7
1612029756,5,15
1612033358,12,13
1612036955,6,20
1612040554,5,32
1612044155,9,18
1612047755,14,16
1612051355,4,10
1612054954,8,21
1612058552,12,16
1612062154,16,31
1612065752,15,23
1612069351,17,23
1612072951,5,15
1612076551,4,16
1612080151,2,8
1612083751,14,11
1612087353,13,10
1612090950,4,4
1612094549,7,6
1612098151,4,14
1612101751,3,11
1612105350,3,9
1612108949,4,3
1612112550,8,4
1612116152,8,10
1612119750,6,8
1612123351,4,5
1612126950,4,3
1612130549,4,3
1612134152,8,4
1612137752,1,17
1612141352,15,2
1612144951,8,2
1612148552,11,3
1612152156,5,2
1612155762,4,3
1612159361,6,12
1612162958,4,17
1612166560,3,10
1612170158,0,24
1612173757,3,17
1612177356,19,11
1612180956,2,5
1612184555,11,24
1612188156,22,10
1612191760,6,13
1612195357,16,13
1612198959,2,20
1612202406,4,11
1612206007,6,15
1612209624,4,20
1612213230,5,26
1612216804,9,16
1612220409,9,16
1612224031,7,18
1612227616,4,23
1612231218,4,19
1612234805,8,24
1612238406,9,13
1612242031,3,17
1612245631,6,3
1612249205,6,2
1612252805,2,5
1612256436,1,3
1612260004,4,2
1612263612,21,1
1612267205,3,0
1612270805,6,4
1612274408,5,4
1612278018,7,2
1612281607,8,7
1612285212,4,13
1612288806,1,4
1612292405,3,6
1612296008,1,4
1612299610,7,10
1612303218,6,22
1612306804,4,6
1612310410,8,31
1612314006,3,44
1612317608,5,30
1612321215,52,20
1612324830,38,28
1612328429,55,31
1612332033,42,22
1612335612,23,31
1612339206,14,25
1612342812,13,14
1612346437,15,27
1612350034,19,24
1612353615,27,16
1612357206,22,16
1612360810,21,24
1612364436,33,18
1612368011,26,24
1612371607,24,33
1612375214,20,18
1612378812,22,30
1612382413,39,31
1612386011,39,42
1612389629,43,30
1612393236,31,26
1612396806,37,40
1612400432,52,37
1612404006,47,39
1612407605,48,38
1612411233,62,28
1612414806,40,31
1612418436,16,22
1612422031,22,27
1612425636,19,27
1612429207,14,44
1612432829,11,17
1612436415,22,12
1612440014,30,23
1612443607,9,16
1612447229,18,12
1612450835,24,5
1612454433,34,4
1612458026,36,2
1612461607,43,3
1612465211,49,6
1612468809,42,7
1612472409,45,3
1612476032,39,1
1612479615,58,2
1612483227,55,1
1612486805,58,5
1612490433,63,4
1612494018,57,5
1612497612,69,9
1612501210,62,1
1612504813,58,5
1612508412,36,7
1612512005,40,1
1612515606,29,4
1612519206,38,6
1612522831,19,5
1612526416,25,6
1612530006,15,5
1612533607,25,9
1612537235,35,3
1612540821,35,10
1612544440,29,4
1612548006,43,4
1612551636,49,6
1612555211,57,1
1612558808,49,8
1612562412,41,20
1612566008,11,10
1612569606,3,26
1612573238,5,7
1612576813,3,4
1612580437,4,3
1612584037,3,4
1612587606,5,3
1612591223,5,3
1612594806,4,4
1612598436,8,8
1612602006,7,5
1612605639,4,6
1612609207,4,3
1612612826,4,2
1612616408,18,2
1612620021,5,3
1612623617,5,4
1612627225,3,3
