DateTime,Entries,UniqueIPs
1611651726,1931,1931
1611655326,1930,1930
1611658927,1933,1933
1611662526,1931,1931
1611666125,1935,1935
1611669726,1931,1931
1611673326,1933,1933
1611676925,1932,1932
1611680526,1934,1934
1611684125,1934,1934
1611687725,1936,1936
1611691325,1931,1931
1611694926,1932,1932
1611698527,1948,1948
1611702127,1952,1952
1611705729,1983,1983
1611709331,2025,2025
1611712931,2045,2045
1611716532,2059,2059
1611720134,2079,2079
1611723735,2102,2102
1611727335,2113,2113
1611730935,2139,2139
1611734537,2155,2155
1611738137,2165,2165
1611741735,2172,2172
1611745338,2189,2189
1611748939,2198,2198
1611752538,2195,2195
1611756139,2204,2204
1611759743,2212,2212
1611763338,2220,2220
1611766940,2233,2233
1611770540,2230,2230
1611774142,2237,2237
1611777739,2231,2231
1611781339,2244,2244
1611784940,2259,2259
1611788541,2274,2274
1611792144,2290,2290
1611795744,2300,2300
1611799346,2319,2319
1611802946,2343,2343
1611806546,2356,2356
1611810147,2365,2365
1611813746,2371,2371
1611817348,2386,2386
1611820947,2407,2407
1611824551,2434,2434
1611828151,2449,2449
1611831752,2458,2458
1611835351,2480,2480
1611838954,2494,2494
1611842552,2505,2505
1611846156,2506,2506
1611849756,2504,2504
1611853352,2489,2489
1611856952,2475,2475
1611860553,2467,2467
1611864153,2465,2465
1611867751,2458,2458
1611871352,2441,2441
1611874992,2428,2428
1611878550,2418,2418
1611882152,2409,2409
1611885748,2411,2411
1611889350,2413,2413
1611892948,2417,2417
1611896549,2407,2407
1611900149,2392,2392
1611907349,2384,2384
1611910947,2378,2378
1611914548,2376,2376
1611918146,2373,2373
1611921747,2372,2372
1611925346,2363,2363
1611928947,2364,2364
1611932548,2356,2356
1611936146,2362,2362
1611939745,2360,2360
1611943347,2353,2353
1611946946,2344,2344
1611950545,2321,2321
1611954143,2306,2306
1611957744,2285,2285
1611961342,2271,2271
1611964941,2264,2264
1611968542,2252,2252
1611972140,2220,2220
1611975739,2196,2196
1611979338,2181,2181
1611982937,2172,2172
1611986537,2157,2157
1611990134,2137,2137
1611993733,2133,2133
1611997336,2128,2128
1612000935,2117,2117
1612004534,2104,2104
1612008132,2099,2099
1612011733,2097,2097
1612015334,2091,2091
1612018935,2087,2087
1612022531,2073,2073
1612026132,2070,2070
1612029732,2060,2060
1612033330,2057,2057
1612036928,2042,2042
1612040529,2028,2028
1612044129,2016,2016
1612047728,2010,2010
1612051330,2004,2004
1612054929,1986,1986
1612058527,1978,1978
1612062128,1964,1964
1612065725,1953,1953
1612069323,1934,1934
1612072925,1924,1924
1612076526,1913,1913
1612080123,1905,1905
1612083724,1906,1906
1612087326,1907,1907
1612090924,1907,1907
1612094524,1908,1908
1612098123,1899,1899
1612101725,1892,1892
1612105322,1884,1884
1612108923,1886,1886
1612112524,1889,1889
1612116124,1886,1886
1612119723,1882,1882
1612123322,1881,1881
1612126922,1883,1883
1612130523,1883,1883
1612134124,1888,1888
1612137724,1888,1888
1612141326,1901,1901
1612144924,1906,1906
1612148524,1912,1912
1612152130,1914,1914
1612155733,1915,1915
1612159331,1905,1905
1612162930,1890,1890
1612166532,1883,1883
1612170132,1862,1862
1612173730,1847,1847
1612177330,1842,1842
1612180928,1841,1841
1612184528,1827,1827
1612188129,1821,1821
1612191730,1814,1814
1612195329,1805,1805
1612198813,1788,1788
1612202423,1781,1781
1612206029,1774,1774
1612209605,1758,1758
1612213208,1739,1739
1612216806,1733,1733
1612220419,1725,1725
1612224006,1711,1711
1612227607,1694,1694
1612231209,1680,1680
1612234804,1670,1670
1612238408,1666,1666
1612242032,1663,1663
1612245630,1666,1666
1612249229,1672,1672
1612252833,1671,1671
1612256411,1670,1670
1612260005,1672,1672
1612263634,1678,1678
1612267209,1680,1680
1612270828,1681,1681
1612274413,1683,1683
1612278010,1688,1688
1612281614,1689,1689
1612285228,1682,1682
1612288811,1680,1680
1612292415,1676,1676
1612296005,1673,1673
1612299615,1671,1671
1612303234,1657,1657
1612306809,1655,1655
1612310419,1632,1632
1612314005,1594,1594
1612317614,1570,1570
1612321208,1603,1603
1612324807,1618,1618
1612328430,1639,1639
1612332009,1664,1664
1612335628,1658,1658
1612339236,1647,1647
1612342813,1645,1645
1612346419,1639,1639
1612350019,1634,1634
1612353632,1644,1644
1612357209,1650,1650
1612360811,1645,1645
1612364405,1645,1645
1612368007,1647,1647
1612371608,1638,1638
1612375207,1640,1640
1612378829,1631,1631
1612382431,1636,1636
1612386016,1633,1633
1612389611,1648,1648
1612393217,1652,1652
1612396810,1649,1649
1612400406,1665,1665
1612404007,1676,1676
1612407631,1686,1686
1612411208,1720,1720
1612414806,1727,1727
1612418437,1722,1722
1612422006,1716,1716
1612425609,1706,1706
1612429206,1690,1690
1612432806,1685,1685
1612436436,1695,1695
1612440008,1701,1701
1612443605,1694,1694
1612447221,1699,1699
1612450813,1718,1718
1612454409,1749,1749
1612458005,1781,1781
1612461605,1819,1819
1612465231,1853,1853
1612468805,1887,1887
1612472405,1931,1931
1612476033,1968,1968
1612479613,2024,2024
1612483206,2075,2075
1612486828,2130,2130
1612490415,2189,2189
1612494008,2241,2241
1612497619,2302,2302
1612501218,2362,2362
1612504805,2417,2417
1612508414,2443,2443
1612512034,2482,2482
1612515632,2509,2509
1612519207,2541,2541
1612522806,2557,2557
1612526406,2576,2576
1612530033,2584,2584
1612533620,2601,2601
1612537211,2634,2634
1612540814,2659,2659
1612544406,2683,2683
1612548015,2723,2723
1612551606,2768,2768
1612555238,2823,2823
1612558838,2862,2862
1612562407,2885,2885
1612566006,2882,2882
1612569607,2873,2873
1612573206,2872,2872
1612576806,2870,2870
1612580405,2872,2872
1612584040,2870,2870
1612587618,2871,2871
1612591228,2874,2874
1612594830,2875,2875
1612598418,2878,2878
1612602031,2880,2880
1612605613,2883,2883
1612609211,2885,2885
1612612806,2886,2886
1612616414,2886,2886
1612620012,2888,2888
1612623626,2889,2889
1612627235,2889,2889
1612630807,2886,2886
1612634406,2886,2886
1612638006,2883,2883
1612641630,2879,2879
1612645214,2880,2880
