DateTime,AddedIPs,RemovedIPs
1611543671,1,7
1611547271,1,40
1611550870,4,1
1611554471,0,2
1611558075,1,2
1611561676,2,0
1611565271,0,3
1611568871,32,1
1611572476,13,1
1611576076,1,0
1611579671,1,3
1611583270,1,1
1611586871,0,2
1611590476,0,3
1611594076,1,0
1611597670,1,4
1611601270,3,3
1611604870,0,1
1611608475,0,3
1611612076,2,4
1611615671,4,4
1611619271,1,6
1611622876,1,4
1611626471,1,2
1611630072,2,3
1611637271,0,37
1611640876,2,7
1611644476,0,2
1611648076,0,1
1611651671,0,2
1611655271,3,2
1611658877,2,2
1611662476,1,2
1611666072,35,1
1611669677,3,2
1611673276,3,1
1611676871,2,0
1611680476,2,2
1611684076,4,1
1611687676,3,1
1611691271,4,2
1611694871,7,0
1611698477,5,0
1611702076,5,2
1611705672,2,1
1611709277,1,4
1611712871,2,2
1611716476,5,0
1611720077,0,1
1611723672,2,3
1611727276,1,2
1611730871,0,1
1611734472,1,3
1611738076,1,42
1611741676,0,3
1611745272,1,1
1611748872,1,0
1611752471,41,1
1611756071,8,1
1611759676,1,0
1611763271,4,1
1611766871,3,1
1611770471,1,1
1611774071,0,2
1611781276,5,1
1611784876,3,1
1611788471,3,1
1611792072,3,3
1611795671,1,4
1611799272,2,3
1611802891,2,2
1611806477,2,3
1611810072,2,0
1611813679,1,0
1611820871,0,2
1611824477,0,17
1611828077,2,15
1611835277,3,1
1611838872,1,0
1611842477,2,0
1611846077,0,1
1611849677,2,1
1611853272,0,1
1611856872,35,10
1611860482,2,0
1611864092,6,0
1611867683,0,1
1611871275,2,1
1611874891,5,0
1611878491,1,1
1611882072,10,2
1611885693,7,4
1611889279,2,5
1611892878,3,1
1611896479,3,5
1611900079,4,2
1611903697,3,1
1611907284,2,0
1611910887,3,1
1611914480,0,1
1611918088,1,0
1611921685,2,2
1611925292,1,1
1611928878,1,3
1611932478,3,1
1611936093,0,1
1611939692,3,1
1611943292,1,4
1611946871,0,1
1611950492,1,1
1611954078,2,1
1611957672,2,2
1611961277,6,1
1611964891,4,2
1611968474,2,1
1611975682,2,3
1611979271,2,31
1611982877,1,7
1611986477,0,2
1611990075,2,0
1611993676,0,4
1612000877,2,0
1612004473,49,1
1612008083,0,2
1612011692,1,2
1612015278,0,1
1612018880,2,1
1612022475,3,0
1612026084,1,2
1612029692,1,1
1612033292,3,2
1612036887,1,2
1612040490,5,0
1612044092,3,5
1612047692,2,3
1612051292,2,0
1612054873,0,1
1612058492,1,1
1612062089,2,2
1612065672,3,2
1612069271,2,41
1612072871,1,2
1612076476,1,2
1612080076,0,1
1612083676,1,1
1612087277,1,0
1612090871,0,1
1612094471,1,0
1612098076,0,1
1612101672,1,2
1612105277,49,5
1612108891,0,3
1612116080,1,1
1612123277,0,2
1612126891,6,6
1612130490,38,29
1612134092,3,2
1612137692,4,1
1612141292,2,1
1612144890,1,3
1612148492,19,1
1612152086,47,2
1612155691,38,2
1612159304,10,0
1612162902,2,1
1612166491,1,0
1612170103,0,1
1612173693,4,30
1612177291,3,9
1612180891,1,2
1612184500,1,2
1612188101,2,2
1612191704,0,1
1612195304,0,3
1612198900,1,1
1612202501,3,1
1612206103,38,1
1612209606,4,5
1612213237,3,1
1612216809,6,0
1612220415,1,0
1612224008,6,3
1612227629,2,4
1612231205,4,2
1612234834,6,3
1612238410,1,0
1612242018,1,1
1612245622,2,2
1612249206,1,1
1612252805,1,0
1612256427,1,0
1612260012,0,2
1612263636,1,3
1612267213,0,1
1612270829,1,25
1612274410,0,7
1612285220,2,0
1612288810,2,0
1612292416,0,2
1612296034,1,2
1612299605,35,4
1612303213,3,2
1612306805,3,3
1612310405,2,2
1612314029,3,1
1612317609,1,5
1612321205,0,2
1612324834,0,1
1612328405,2,0
1612332022,2,2
1612335614,1,2
1612339237,1,1
1612342804,0,2
1612346438,2,9
1612350008,1,1
1612353607,1,3
1612357210,3,31
1612360837,4,5
1612364437,1,1
1612368006,2,3
1612371611,0,2
1612375210,2,1
1612378822,1,0
1612382405,2,5
1612386028,0,2
1612389605,1,1
1612393237,5,3
1612396810,4,2
1612400432,2,1
1612404012,5,3
1612407606,38,1
1612411209,1,1
1612414809,1,4
1612418405,2,2
1612422007,21,2
1612425636,13,0
1612429232,3,1
1612432813,3,2
1612440010,0,3
1612443606,2,1
1612447205,2,1
1612450838,2,0
1612454430,1,1
1612458036,2,1
1612461630,2,36
1612465209,1,5
1612468830,2,6
1612472406,3,0
1612476016,4,0
1612479609,0,3
1612483231,1,2
1612486806,0,1
1612490437,1,2
1612494011,0,2
1612497611,3,0
1612501211,40,3
1612504806,1,2
1612508429,2,1
1612512006,3,2
1612515612,1,1
1612519209,4,1
1612522829,1,0
1612530006,1,0
1612533630,0,1
1612537206,0,5
1612540805,2,1
1612544413,1,2
1612548020,0,1
1612555213,1,0
1612558805,1,3
1612562434,2,0
1612566018,5,2
1612569630,3,4
1612573235,3,3
1612580436,1,1
1612584006,1,1
1612587633,1,2
1612594830,1,2
1612598410,1,1
1612602011,2,1
1612605639,2,3
1612609210,1,49
1612612831,1,1
1612616411,1,0
1612620032,1,0
1612623611,4,1
1612627212,1,2
1612630834,0,1
1612634434,1,1
1612638036,1,0
1612641606,4,1
1612645230,2,0
1612648816,11,2
1612652437,36,1
1612656025,6,4
1612663218,0,1
1612666831,2,1
1612670409,1,3
1612674006,0,2
1612681237,1,2
1612688409,2,4
1612692014,1,0
1612695636,1,0
1612702809,0,3
1612706423,0,3
1612710034,0,40
1612713605,1,0
1612720811,5,1
1612724406,2,0
1612728011,1,1
1612731615,6,5
1612735213,40,38
1612738806,1,4
1612742424,1,3
1612746016,32,4
1612749631,2,1
1612753238,6,12
