DateTime,AddedIPs,RemovedIPs
1611674656,87,94
1611678267,160,78
1611681860,106,99
1611685467,140,85
1611689065,117,81
1611692678,97,74
1611696266,126,120
1611699871,102,86
1611703472,85,100
1611707162,66,91
1611710670,74,77
1611714270,100,107
1611717874,64,70
1611721459,72,100
1611725068,65,88
1611728659,78,88
1611732265,86,74
1611735860,93,92
1611739459,81,71
1611743057,70,82
1611746664,97,71
1611750266,80,67
1611753863,86,68
1611757468,90,72
1611761070,81,71
1611764675,72,59
1611768271,93,49
1611771882,60,64
1611775482,75,54
1611779076,77,60
1611782681,70,58
1611786281,62,65
1611789883,91,71
1611793574,76,72
1611797074,61,69
1611800681,89,96
1611804287,66,59
1611807867,77,107
1611811477,102,71
1611815064,79,73
1611818672,79,74
1611822266,92,80
1611825873,70,97
1611829472,79,82
1611833074,63,79
1611836678,98,78
1611840280,110,54
1611843891,76,58
1611847486,75,66
1611851096,69,64
1611854688,66,68
1611858293,79,70
1611861911,59,54
1611865502,71,60
1611869089,63,77
1611872698,69,63
1611880000,139,139
1611883524,74,69
1611887090,99,85
1611890701,73,128
1611894284,59,100
1611897883,85,86
1611901494,77,90
1611905096,72,78
1611908687,71,103
1611912273,82,106
1611915869,62,54
1611919473,77,53
1611923075,80,80
1611926683,57,58
1611930278,74,69
1611933879,82,74
1611937481,79,75
1611941081,76,49
1611944686,74,47
1611948285,41,62
1611951884,75,85
1611955484,70,70
1611959074,72,66
1611962673,40,86
1611966370,56,54
1611969873,42,64
1611973470,82,80
1611977081,62,54
1611980674,90,59
1611984271,74,72
1611987875,91,70
1611991469,58,64
1611995077,78,74
1611998673,80,61
1612002275,73,55
1612005879,113,54
1612009481,118,69
1612013078,110,52
1612016691,86,55
1612020287,54,54
1612023893,68,74
1612027490,56,46
1612031093,80,61
1612034698,59,57
1612038285,57,47
1612041882,66,56
1612045482,83,79
1612049081,60,90
1612052777,70,61
1612056285,63,71
1612059881,87,69
1612063502,74,76
1612067088,70,64
1612070682,76,68
1612074293,87,56
1612077886,59,57
1612081491,97,73
1612085088,64,71
1612088692,99,89
1612092286,88,78
1612095879,81,88
1612099487,68,69
1612103098,58,86
1612106690,73,65
1612110298,38,58
1612113892,66,92
1612117494,32,87
1612121090,48,105
1612124681,72,131
1612128291,80,144
1612131878,97,106
1612135478,96,96
1612139173,66,91
1612142684,78,86
1612146279,92,85
1612149897,105,91
1612152050,84,90
1612155635,69,91
1612159232,68,79
1612162834,74,84
1612166436,65,107
1612170064,78,87
1612173651,81,97
1612177264,81,84
1612180835,70,177
1612184434,192,65
1612188035,287,92
1612191656,201,77
1612195233,202,56
1612198864,190,56
1612202435,150,64
1612206066,167,47
1612209665,125,53
1612213266,167,71
1612216854,162,59
1612220466,130,98
1612224054,94,106
1612227637,107,177
1612231265,130,132
1612234865,128,142
1612238436,100,156
1612242058,93,155
1612245654,87,114
1612249265,83,135
1612252835,127,139
1612256435,94,129
1612260065,73,101
1612263636,96,140
1612267253,112,154
1612270835,121,122
1612274436,131,69
1612278036,88,85
1612281652,90,133
1612285236,104,104
1612288866,137,120
1612292437,116,93
1612296052,124,91
1612299637,97,110
1612303257,101,96
1612306833,103,79
1612310464,78,86
1612314037,73,68
1612317665,84,114
1612321237,86,68
1612324837,99,78
1612328465,90,82
1612332033,60,88
1612335636,155,95
1612339237,212,109
1612342835,120,104
1612346457,103,79
1612350037,102,106
1612353637,88,97
1612357237,123,98
1612360837,80,83
1612364434,103,93
1612368033,131,73
1612371650,104,86
1612375254,145,62
1612378833,103,71
1612382455,67,79
1612386066,66,73
1612389637,101,73
1612393258,77,89
1612396837,78,77
1612400467,72,51
1612404033,79,73
1612407633,102,69
1612411233,76,69
1612414836,111,107
1612418456,87,92
1612422066,106,85
1612425653,100,93
1612429238,64,89
1612432857,70,83
1612436437,75,75
1612440066,85,94
1612443666,87,127
1612447266,71,77
1612450837,73,75
1612454437,91,63
1612458066,81,65
1612461637,61,71
1612465236,94,67
1612468854,98,68
1612472433,139,75
1612476064,106,66
1612479657,77,74
1612483233,63,66
1612486867,87,76
1612490437,77,90
1612494034,89,60
1612497637,129,72
1612501264,88,77
1612504837,79,94
1612508434,104,67
1612512055,89,68
1612515638,81,82
1612519267,82,65
1612522838,84,94
1612526466,86,88
1612530038,102,67
1612533668,96,64
1612537234,99,95
1612540867,83,90
1612544464,74,85
1612548068,78,80
1612551668,76,52
1612555236,85,64
1612558834,143,74
1612562463,106,57
1612566038,81,44
1612569668,87,50
1612573238,72,38
1612576838,106,78
1612580468,71,55
1612584038,86,86
1612587638,83,71
1612591233,100,72
1612594869,132,57
1612598435,78,65
1612602067,78,77
1612605638,46,95
1612609239,101,106
1612612868,100,117
1612616438,94,103
1612620034,109,96
1612623635,94,62
1612627268,119,71
1612630859,78,63
1612634456,92,65
1612638069,102,73
1612641668,91,64
1612645269,99,58
1612648868,97,93
1612652435,88,65
1612656037,70,63
1612659635,79,70
1612663268,64,87
1612666864,94,80
1612670434,55,69
1612674039,71,75
1612677635,50,83
1612681234,66,51
1612684834,88,96
1612688438,45,69
1612692069,87,114
1612695668,88,95
1612699239,91,72
1612702861,92,77
1612706435,227,63
1612710069,128,74
1612713635,135,57
1612717239,166,67
1612720840,127,33
1612724436,148,57
1612728070,413,70
1612731635,258,88
1612735263,147,93
1612738836,169,91
1612742436,123,75
1612746037,111,82
1612749640,161,92
1612753240,113,95
1612756834,135,94
1612760459,139,87
1612764039,127,69
1612767659,112,95
1612771260,134,84
1612774839,123,85
1612778436,123,99
1612782040,150,108
1612785661,130,73
1612789239,126,83
1612792840,152,172
1612796469,92,113
1612800052,112,116
1612803660,120,123
1612807267,104,101
1612810868,137,95
1612814435,116,58
1612818038,126,104
1612821640,156,106
1612825268,117,91
1612828870,109,71
1612832459,133,84
1612836070,143,105
1612839670,99,102
1612843237,98,108
1612846839,106,76
1612850439,99,84
1612854038,119,88
1612857637,129,120
1612861268,118,84
1612864840,118,74
1612868440,112,92
1612872070,154,88
1612875638,113,112
1612879270,103,129
1612882870,128,104
1612886470,94,92
1612890069,123,99
1612893639,100,101
1612897270,117,108
1612900871,98,96
1612904470,102,90
1612908070,121,83
1612911670,116,80
1612915271,105,100
1612918840,97,69
1612922469,127,97
1612926038,102,90
1612929663,145,93
1612933261,126,91
1612936868,130,75
1612940439,112,127
1612944071,114,199
1612947640,106,161
1612951239,129,102
1612954840,119,114
1612958439,105,88
1612962035,131,126
1612965663,122,94
1612969270,161,115
1612972859,124,123
1612976469,120,113
1612980070,102,117
1612983635,107,98
1612987262,108,81
1612990865,91,82
1612994470,105,91
1612998069,105,67
1613001635,78,75
1613005256,99,70
1613008840,110,96
1613012470,103,104
1613016040,97,75
1613019668,151,78
1613023239,116,94
1613026840,101,95
1613030458,110,93
1613034039,106,84
1613037638,59,84
1613041270,124,91
1613044839,156,85
1613048470,70,86
1613052039,100,76
1613055636,461,92
1613059238,223,94
1613062838,190,74
1613066439,129,60
1613070039,107,101
1613073653,104,97
1613077270,115,107
1613080839,121,107
1613084470,79,91
1613088058,100,70
1613091664,80,79
1613095236,151,134
1613098859,69,91
1613102470,77,100
1613106069,100,84
1613109668,84,69
1613113235,106,114
1613116870,135,89
1613120457,143,82
1613124068,56,83
1613127638,126,97
1613131239,81,82
1613134835,96,92
1613138435,124,85
1613142038,84,97
1613145634,174,84
1613149234,125,94
1613152835,171,75
1613156439,153,76
1613160038,145,81
1613163661,166,113
1613167234,191,123
1613170869,157,66
1613174468,126,91
1613178035,148,71
1613181661,144,88
1613185238,129,73
1613188838,112,86
1613192470,114,89
1613196039,134,96
1613199670,109,120
1613203236,141,91
1613206862,126,71
1613210435,163,46
1613214068,147,93
1613217640,147,95
1613221268,115,68
1613224838,168,109
1613228464,160,101
1613232039,156,120
1613235664,151,69
1613239236,142,83
1613242870,148,83
1613246440,110,86
1613250034,96,86
1613253658,102,99
1613257240,124,84
1613260869,111,78
1613264434,104,75
1613268035,121,54
1613271659,131,92
1613275270,126,67
1613278870,146,66
1613282468,120,64
1613286039,149,74
1613289663,108,85
1613293263,113,58
1613296839,130,92
1613300439,143,84
1613304034,145,98
1613307639,191,90
1613311270,150,90
1613314865,217,113
1613318438,275,73
1613322064,225,95
1613325638,110,75
1613329238,172,114
1613332838,197,257
1613336470,162,230
1613340039,145,108
1613343635,155,121
1613347269,196,88
1613350864,143,85
1613354465,164,157
1613358037,113,105
1613361638,163,120
1613365240,161,108
1613368835,152,109
1613372439,156,113
1613376038,139,100
1613379640,129,106
1613383236,119,107
1613386872,150,127
1613390440,185,135
1613394036,91,99
1613397641,120,126
1613401271,193,92
1613404841,116,85
1613408473,346,97
1613412041,245,76
1613415640,101,140
1613419237,123,93
1613422842,120,116
1613426474,112,130
