DateTime,Entries,UniqueIPs
1611670886,25588,25588
1611674486,25580,25580
1611678085,25670,25670
1611681687,25683,25683
1611685294,25740,25740
1611688894,25748,25748
1611692492,25755,25755
1611696097,25763,25763
1611699698,25772,25772
1611703294,25759,25759
1611706985,25729,25729
1611710496,25719,25719
1611714085,25694,25694
1611717690,25677,25677
1611721289,25653,25653
1611724883,25625,25625
1611728479,25604,25604
1611732080,25598,25598
1611735679,25575,25575
1611739280,25588,25588
1611742876,25571,25571
1611746486,25591,25591
1611750083,25587,25587
1611753681,25600,25600
1611757291,25607,25607
1611760888,25608,25608
1611764494,25620,25620
1611768087,25657,25657
1611771699,25653,25653
1611775295,25661,25661
1611778896,25685,25685
1611782489,25691,25691
1611786098,25686,25686
1611789690,25701,25701
1611793390,25694,25694
1611796888,25682,25682
1611800494,25670,25670
1611804099,25669,25669
1611807685,25672,25672
1611811285,25680,25680
1611814881,25675,25675
1611818485,25676,25676
1611822086,25682,25682
1611825684,25665,25665
1611829283,25676,25676
1611832883,25657,25657
1611836494,25675,25675
1611840090,25689,25689
1611843700,25704,25704
1611847293,25710,25710
1611850907,25715,25715
1611854505,25717,25717
1611858102,25735,25735
1611861724,25741,25741
1611865317,25740,25740
1611868906,25732,25732
1611872518,25718,25718
1611879811,25729,25729
1611883331,25734,25734
1611886904,25719,25719
1611890509,25695,25695
1611894103,25672,25672
1611897699,25677,25677
1611901297,25668,25668
1611908493,25652,25652
1611912098,25632,25632
1611915695,25636,25636
1611919289,25657,25657
1611922894,25659,25659
1611926494,25659,25659
1611930099,25665,25665
1611933703,25678,25678
1611937296,25694,25694
1611940899,25709,25709
1611944501,25738,25738
1611948103,25722,25722
1611951701,25723,25723
1611955296,25710,25710
1611958892,25724,25724
1611962487,25692,25692
1611966188,25684,25684
1611969687,25662,25662
1611973287,25660,25660
1611976898,25676,25676
1611980493,25711,25711
1611984087,25708,25708
1611987694,25727,25727
1611991286,25722,25722
1611994892,25719,25719
1611998488,25715,25715
1612002095,25714,25714
1612005692,25757,25757
1612009292,25786,25786
1612012898,25826,25826
1612016499,25834,25834
1612020100,25822,25822
1612023701,25818,25818
1612027301,25827,25827
1612030901,25858,25858
1612034504,25866,25866
1612038099,25873,25873
1612041692,25884,25884
1612045299,25906,25906
1612048898,25886,25886
1612052595,25886,25886
1612056101,25868,25868
1612059697,25859,25859
1612063309,25871,25871
1612066900,25875,25875
1612070498,25897,25897
1612074108,25918,25918
1612077701,25904,25904
1612081304,25914,25914
1612084902,25913,25913
1612088499,25932,25932
1612092098,25919,25919
1612095696,25903,25903
1612099298,25887,25887
1612102898,25855,25855
1612106508,25861,25861
1612110103,25844,25844
1612113703,25830,25830
1612117300,25784,25784
1612120899,25721,25721
1612124494,25668,25668
1612128095,25619,25619
1612131685,25616,25616
1612135287,25599,25599
1612138981,25583,25583
1612142493,25568,25568
1612146088,25557,25557
1612149706,25600,25600
1612153319,25597,25597
1612155636,25574,25574
1612159264,25574,25574
1612162835,25552,25552
1612166433,25514,25514
1612170060,25505,25505
1612173636,25500,25500
1612177235,25497,25497
1612180836,25400,25400
1612184464,25500,25500
1612188054,25690,25690
1612191664,25800,25800
1612195236,25945,25945
1612198836,26073,26073
1612202466,26164,26164
1612206055,26275,26275
1612209632,26355,26355
1612213233,26450,26450
1612216837,26543,26543
1612220433,26568,26568
1612224066,26560,26560
1612227651,26483,26483
1612231251,26475,26475
