DateTime,AddedIPs,RemovedIPs
1611658946,2,1
1611662544,1,7
1611666144,1,3
1611669745,1,1
1611673344,1,2
1611676943,0,2
1611680544,12,2
1611684143,1,2
1611687745,1,1
1611691346,1,2
1611694944,11,4
1611698546,1,1
1611702146,3,1
1611705746,0,2
1611709344,0,4
1611712946,4,2
1611716544,2,0
1611723745,0,1
1611727347,2,0
1611730944,11,2
1611734546,3,5
1611738146,2,1
1611741744,3,6
1611745347,11,1
1611748946,5,1
1611752544,0,1
1611756145,3,2
1611759747,3,1
1611763348,4,3
1611766948,7,3
1611770546,1,2
1611774147,9,2
1611777749,22,1
1611781347,10,1
1611784949,6,0
1611788548,6,0
1611792151,3,1
1611795749,20,1
1611799353,18,0
1611802950,5,1
1611806552,4,0
1611810150,1,20
1611813751,6,11
1611817350,2,5
1611820950,4,1
1611824549,8,42
1611828148,12,30
1611831745,0,74
1611835345,3,2
1611838944,1,1
1611842545,3,2
1611846145,2,3
1611849743,2,20
1611853342,2,8
1611856942,1,24
1611860543,2,11
1611864143,11,17
1611867739,2,9
1611871342,6,0
1611874966,3,6
1611878541,10,2
1611882142,4,2
1611885740,5,6
1611889343,2,1
1611892941,10,2
1611896542,4,2
1611900142,0,5
1611903773,2,1
1611907342,6,1
1611910942,4,1
1611914543,2,4
1611918143,15,9
1611921743,4,5
1611925342,2,7
1611928942,1,4
1611932543,3,2
1611936144,3,2
1611939743,3,3
1611943342,2,5
1611946943,1,2
1611950542,1,2
1611954141,5,3
1611957743,7,0
1611961339,5,1
1611964941,3,8
1611968539,2,4
1611972141,5,8
1611975741,5,8
1611979342,6,5
1611982941,2,5
1611986540,6,0
1611990139,3,2
1611993741,5,2
1611997341,5,2
1612000941,3,0
1612004541,4,1
1612008141,5,1
1612011742,1,0
1612015341,1,1
1612018942,0,4
1612022542,1,3
1612026141,3,5
1612029741,4,1
1612033342,2,9
1612036941,2,3
1612040540,2,2
1612044139,2,2
1612047740,3,0
1612051340,1,0
1612054941,1,0
1612058540,2,1
1612062141,0,1
1612065742,3,1
1612076541,2,0
1612080142,1,2
1612083741,2,8
1612087342,0,9
1612090939,1,2
1612094543,0,1
1612098141,0,2
1612101740,2,2
1612105339,2,0
1612108941,2,0
1612112541,0,4
1612116139,1,2
1612119740,1,3
1612130539,1,3
1612134140,0,8
1612137741,2,1
1612141339,0,1
1612144938,0,3
1612148541,2,1
1612152146,3,0
1612155748,3,0
1612159347,2,3
1612162947,4,7
1612166549,0,2
1612170149,1,2
1612173749,2,1
1612177347,2,0
1612180948,2,3
1612184547,3,2
1612188149,2,1
1612191751,0,2
1612195348,3,0
1612198949,4,5
1612202550,3,5
1612206151,0,2
1612209801,3,3
1612213317,4,1
1612216899,6,0
1612220501,4,2
1612224202,5,0
1612227801,3,2
1612231317,3,0
1612234890,3,2
1612238492,1,2
1612242100,1,1
1612245801,2,0
1612249401,2,5
1612252891,4,5
1612256602,5,2
1612260202,2,3
1612263699,3,0
1612267401,3,1
1612271005,5,2
1612274492,5,7
1612278202,5,4
1612281691,4,2
1612285402,1,3
1612289001,1,3
1612292600,2,3
1612296118,10,1
1612299701,29,10
1612303291,4,2
1612306891,6,4
1612310517,3,0
1612314204,0,4
1612317805,0,6
1612321301,2,3
1612325003,1,0
1612328501,4,0
1612332100,2,0
1612335718,4,5
1612339301,5,11
1612342917,5,3
1612346518,3,4
1612350203,4,6
1612353805,0,6
1612357404,13,0
1612360901,2,2
1612364492,6,4
1612368205,3,3
1612371806,4,5
1612375404,5,2
1612379005,3,5
1612382517,3,16
