DateTime,Entries,UniqueIPs
1611658946,1351,1351
1611662544,1345,1345
1611666144,1343,1343
1611669745,1343,1343
1611673344,1342,1342
1611676943,1340,1340
1611680544,1350,1350
1611684143,1349,1349
1611687745,1349,1349
1611691346,1348,1348
1611694944,1355,1355
1611698546,1355,1355
1611702146,1357,1357
1611705746,1355,1355
1611709344,1351,1351
1611712946,1353,1353
1611716544,1355,1355
1611723745,1354,1354
1611727347,1356,1356
1611730944,1365,1365
1611734546,1363,1363
1611738146,1364,1364
1611741744,1361,1361
1611745347,1371,1371
1611748946,1375,1375
1611752544,1374,1374
1611756145,1375,1375
1611759747,1377,1377
1611763348,1378,1378
1611766948,1382,1382
1611770546,1381,1381
1611774147,1388,1388
1611777749,1409,1409
1611781347,1418,1418
1611784949,1424,1424
1611788548,1430,1430
1611792151,1432,1432
1611795749,1451,1451
1611799353,1469,1469
1611802950,1473,1473
1611806552,1477,1477
1611810150,1458,1458
1611813751,1453,1453
1611817350,1450,1450
1611820950,1453,1453
1611824549,1419,1419
1611828148,1401,1401
1611831745,1327,1327
1611835345,1328,1328
1611838944,1328,1328
1611842545,1329,1329
1611846145,1328,1328
1611849743,1310,1310
1611853342,1304,1304
1611856942,1281,1281
1611860543,1272,1272
1611864143,1266,1266
1611867739,1259,1259
1611871342,1265,1265
1611874966,1262,1262
1611878541,1270,1270
1611882142,1272,1272
1611885740,1271,1271
1611889343,1272,1272
1611892941,1280,1280
1611896542,1282,1282
1611900142,1277,1277
1611903773,1278,1278
1611907342,1283,1283
1611910942,1286,1286
1611914543,1284,1284
1611918143,1290,1290
1611921743,1289,1289
1611925342,1284,1284
1611928942,1281,1281
1611932543,1282,1282
1611936144,1283,1283
1611939743,1283,1283
1611943342,1280,1280
1611946943,1279,1279
1611950542,1278,1278
1611954141,1280,1280
1611957743,1287,1287
1611961339,1291,1291
1611964941,1286,1286
1611968539,1284,1284
1611972141,1281,1281
1611975741,1278,1278
1611979342,1279,1279
1611982941,1276,1276
