DateTime,Entries,UniqueIPs
1611743476,6493,6493
1611747076,6484,6484
1611750862,6476,6476
1611754286,6477,6477
1611757879,6465,6465
1611761468,6467,6467
1611765073,6462,6462
1611768675,6448,6448
1611772329,6458,6458
1611777722,6471,6471
1611779484,6467,6467
1611783103,6459,6459
1611799271,6511,6511
1611801087,6459,6459
1611802875,6552,6552
1611804700,6517,6517
1611806478,6459,6459
1611811869,6537,6537
1611815466,6524,6524
1611820899,6506,6506
1611822669,6459,6459
1611824469,6514,6514
1611826304,6479,6479
1611831671,6444,6444
1611833473,6458,6458
1611837085,6459,6459
1611838876,6446,6446
1611840675,6494,6494
1611846080,6461,6461
1611847864,6497,6497
1611851471,6499,6499
1611855075,6450,6450
1611858677,6480,6480
1611862278,6475,6475
1611865919,6492,6492
1611869505,6496,6496
1611873071,6496,6496
1611876671,6476,6476
1611878489,6509,6509
1611880285,6476,6476
1611882066,6509,6509
1611883890,6551,6551
1611889267,6540,6540
1611892886,6527,6527
1611894670,6515,6515
1611898269,6510,6510
1611900101,6510,6510
1611905474,6513,6513
1611909067,6518,6518
1611914507,6523,6523
1611916270,6530,6530
1611919891,6534,6534
1611923502,6532,6532
1611927105,6522,6522
1611930668,6523,6523
1611932550,6521,6521
1611936072,6515,6515
1611941466,6499,6499
1611945084,6499,6499
1611950476,6536,6536
1611952270,6499,6499
1611954096,6519,6519
1611955882,6516,6516
1611959469,6509,6509
1611963084,6525,6525
1611966672,6547,6547
1611970278,6565,6565
1611973893,6571,6571
1611977474,6572,6572
1611982864,6568,6568
1611984668,6549,6549
1611988269,6570,6570
1611991871,6571,6571
1611997276,6553,6553
1611999090,6547,6547
1612002692,6553,6553
1612008064,6565,6565
1612009899,6550,6550
1612011721,6565,6565
1612015264,6551,6551
1612017066,6534,6534
1612018959,6551,6551
1612026096,6546,6546
1612027950,6541,6541
1612031628,6523,6523
1612035071,6541,6541
1612036869,6528,6528
1612042284,6533,6533
1612047674,6524,6524
1612049490,6507,6507
1612051265,6534,6534
1612058474,6573,6573
1612060291,6568,6568
1612063900,6565,6565
1612067475,6553,6553
1612072914,6556,6556
1612076468,6557,6557
1612078268,6557,6557
1612080080,6557,6557
1612081866,6556,6556
1612085465,6563,6563
1612089073,6561,6561
1612092695,6560,6560
1612096272,6557,6557
1612101695,6579,6579
1612103483,6565,6565
1612107085,6552,6552
1612108987,6565,6565
1612110674,6551,6551
1612114270,6517,6517
1612116066,6523,6523
1612119706,6537,6537
1612125066,6520,6520
1612130499,6518,6518
1612132267,6519,6519
1612135945,6515,6515
1612137723,6601,6601
1612143100,6946,6946
1612144876,6938,6938
1612150274,6932,6932
1612155667,6917,6917
1612157469,6917,6917
1612161081,6934,6934
1612164674,6946,6946
1612168294,6946,6946
1612171863,6944,6944
1612173680,6948,6948
1612180866,6956,6956
1612182692,6948,6948
1612184466,6946,6946
1612189884,6936,6936
1612191692,6942,6942
1612197093,6934,6934
1612200701,6924,6924
1612204341,6912,6912
1612207878,6908,6908
1612211472,6904,6904
1612216878,6903,6903
1612218707,6922,6922
1612224069,6930,6930
1612227712,6951,6951
