DateTime,AddedIPs,RemovedIPs
1609253042,69,69
1609256882,237,237
1609268476,145,145
1609279922,96,96
1609287602,215,215
1609291443,215,215
1609295283,998,998
1609310882,792,792
1609322402,462,462
1609329842,334,334
1609341603,222,222
1609356962,146,146
1609364642,113,113
1609384082,217,217
1609391762,998,998
1609399443,698,698
1609415042,442,442
1609422722,230,230
1609438322,211,211
1609453683,160,160
1609457522,109,109
1609469043,296,999
1609476721,918,215
1609492083,557,557
1609495922,359,359
1609507443,237,237
1609511282,237,237
1609515122,237,237
1609526642,195,195
1609534322,123,123
1609545843,140,140
1609553522,33,33
1609557362,995,995
1609565042,73,875
1609568882,875,73
1609572722,776,776
1609580403,455,455
1609596012,285,285
1609599842,194,194
1609603682,194,194
1609607522,194,194
1609611362,157,157
1609622882,98,98
1609634402,195,195
1609642082,108,108
1609645922,996,996
1609661283,661,661
1609668962,387,387
1609672802,92,92
1609676882,92,92
1609680723,157,157
1609684562,109,109
1609688402,109,109
1609692243,225,225
1609696082,75,75
1609699923,75,75
1609703762,75,75
1609707612,159,159
1609719123,87,87
1609726802,1000,1000
1609738322,778,778
1609753682,536,536
1609761362,277,277
1609765203,277,277
1609768877,202,202
1609772642,88,88
1609776723,173,173
1609795921,138,139
1609803603,115,114
1609815121,1000,1000
1609834562,878,878
1609850162,512,512
1609854003,111,111
1609857842,111,111
1609861682,177,177
1609873226,142,142
1609884722,152,152
1609900082,111,111
1609903923,976,976
1609915443,612,612
1609930813,434,434
1609934643,224,224
1609950002,182,182
1609957923,148,148
1609961762,148,148
1609965602,148,148
1609973282,132,132
1609977122,132,132
1609980962,132,132
1609984802,458,997
1609988642,754,215
1610000162,731,731
1610011922,469,469
1610023682,311,311
1610035276,69,69
1610039042,126,126
1610046723,188,188
1610054403,139,139
1610058242,139,139
1610062082,139,139
1610069762,125,125
1610073603,968,968
1610085122,315,315
1610123523,573,573
1610131202,320,320
1610142722,189,189
1610146563,189,189
1610150412,189,189
1610154242,52,52
1610158322,193,996
1610162162,996,193
1610166002,990,990
1610177521,593,593
1610189282,414,414
1610200813,261,261
1610216162,251,251
1610223842,139,139
1610227682,57,57
1610239202,119,119
1610243043,42,42
1610246882,42,42
1610250722,974,974
1610254562,302,876
1610258403,876,302
1610262242,757,757
1610273762,492,492
1610281442,266,266
1610289122,209,209
1610300643,125,125
1610304723,42,42
1610312412,95,95
1610316242,95,95
1610320082,61,61
1610323922,35,35
1610327762,87,87
1610331602,990,990
1610343122,818,818
1610362322,548,548
1610366163,3,3
1610370012,257,257
1610381522,177,177
1610389203,172,172
1610404562,127,127
1610412242,112,112
1610419922,984,984
1610431442,806,806
1610442962,506,506
1610458322,311,311
1610466003,102,102
1610469842,367,367
1610477522,311,311
1610485213,235,235
1610489042,234,234
1610492883,234,234
1610500562,144,144
1610504402,994,994
1610515923,911,911
1610535122,521,521
1610546643,259,259
1610550482,194,194
1610554323,194,194
1610558162,194,194
1610565842,130,130
1610573522,130,130
1610577362,234,234
1610588882,264,1000
1610592722,823,87
1610604242,817,817
1610615762,519,519
1610623686,177,177
1610627522,206,206
1610635203,95,95
1610639043,154,154
1610646723,150,150
1610658242,107,107
1610662082,107,107
1610665923,107,107
1610673842,119,119
1610677683,996,996
1610689202,830,830
1610704562,506,506
1610708412,506,506
1610712242,651,651
1610716082,289,289
1610719923,289,289
1610723762,289,289
1610727603,471,471
1610735282,142,142
1610746802,130,130
1610758323,129,129
1610762162,129,129
1610766013,129,129
1610769843,997,997
1610781362,546,546
1610792883,574,574
1610804403,171,171
1610815922,168,168
1610819763,168,168
1610823843,351,351
1610835362,27,27
1610843043,59,59
1610850722,1000,1000
1610858402,670,670
1610862242,498,498
1610866082,498,498
1610869922,425,425
1610873762,508,508
1610877613,508,508
1610881442,648,648
1610904482,170,170
1610908323,169,169
1610912162,169,169
1610916002,169,169
1610919842,98,98
1610923922,98,98
1610927763,174,174
1610931622,52,52
1610935442,1000,1000
1610951283,623,623
1610958962,384,384
1610970482,296,296
1610985682,210,210
1610993282,147,147
1611012483,115,115
1611016323,64,64
1611024004,1000,1000
1611035522,625,625
1611054724,471,471
1611062403,372,372
1611070083,150,150
1611085682,132,132
1611097212,114,114
1611104882,138,138
1611112562,982,982
1611124083,843,843
1611135602,462,462
1611139442,462,462
1611143282,613,613
1611158642,190,190
1611174243,139,139
1611189603,101,101
1611201122,998,998
1611212642,393,393
1611251283,973,973
1611258962,9,9
1611270483,37,37
1611274323,37,37
1611282002,996,996
1611293522,689,689
1611308883,487,487
1611316563,437,437
1611320412,437,437
1611324243,437,437
1611328083,200,200
1611331922,200,200
1611335762,200,200
1611339602,127,127
1611354962,120,120
1611362643,43,43
1611370562,43,43
1611374642,50,50
1611382562,1000,1000
1611386402,607,607
1611398162,370,370
1611409682,259,259
1611424875,204,204
1611428642,120,120
1611444243,147,147
1611448083,24,24
1611451922,24,24
1611455762,1000,1000
1611459602,473,473
1611463443,473,473
1611467282,803,803
1611474962,663,663
1611478812,438,438
1611482642,467,467
1611490571,267,267
1611498242,232,232
1611509762,117,117
1611513602,179,179
1611517442,179,179
1611521522,179,179
1611525363,305,305
1611536642,240,240
1611540723,971,971
1611552242,795,795
1611563762,592,592
1611575282,248,248
1611590643,139,139
1611598562,142,142
1611610083,109,109
1611621601,256,1000
1611629282,813,69
1611640884,812,812
1611652322,469,469
1611663842,261,261
1611667682,72,72
1611671523,72,72
1611675362,218,218
1611679212,48,48
1611683055,48,48
1611686883,170,170
1611698642,104,104
1611702483,104,104
1611706323,101,1000
1611714002,929,30
1611725522,832,832
1611737043,512,512
1611748562,364,364
1611756242,98,98
1611760083,198,198
1611763922,2,2
1611779284,148,148
1611783122,133,133
1611794643,239,999
1611802322,883,123
1611817922,816,816
1611825602,509,509
1611837122,321,321
1611844802,234,234
1611848642,44,44
1611856322,150,150
1611871682,139,139
1611883202,71,1000
1611887042,948,19
1611898562,788,788
1611910322,464,464
1611921842,423,423
1611937682,151,151
1611945362,125,125
1611957362,144,144
1611969122,119,119
1611980642,982,982
1611992162,704,704
1611999843,397,397
1612015213,316,316
1612022882,264,264
1612026722,1,1
1612034402,141,141
1612046163,144,144
1612057682,179,1000
1612069212,948,127
1612080723,551,551
1612084562,145,145
1612096082,220,220
1612099923,98,98
1612103762,158,158
1612107842,81,81
1612111682,81,81
1612115522,157,157
1612119362,55,55
1612123212,55,55
1612131123,187,187
1612138802,87,87
1612150323,983,983
1612161842,614,614
1612173602,410,410
1612185122,299,299
1612192802,218,218
1612208163,152,152
1612215843,142,142
1612219682,36,36
1612223522,36,36
1612231278,991,991
1612242722,775,775
1612254242,502,502
1612265763,331,331
1612269602,96,96
1612273446,96,96
1612277282,96,96
1612281122,182,182
1612288813,138,138
1612300323,116,116
