DateTime,AddedIPs,RemovedIPs
1612652178,17,12
1612653128,247,2
1612654142,12,15
1612656061,17,8
1612658915,15,10
1612659602,166,3551
1612660837,20,7
1612663043,15,19
1612664645,2,0
1612664920,11,0
1612666898,21,7
1612668781,239,11
1612670670,6,23
1612672327,15,42
1612674768,133,28
1612676165,1,0
1612676714,5,6
1612678595,231,15
1612680498,26,16
1612682479,26,28
1612684339,23,17
1612687233,185,13
1612689176,27,17
1612689302,238,0
1612691067,16,14
1612693002,13,15
1612694968,25,17
1612696846,325,17
1612698752,23,0
1612700709,27,21
1612703547,14,23
1612703702,265,0
1612705477,11,15
1612707672,22,20
1612709553,11,18
1612711484,329,19
1612713128,500,500
1612713391,344,378
1612715344,15,16
1612720125,109,23
1612722098,22,8
1612723987,272,10
1612725860,16,0
1612727800,11,20
1612729749,129,13
1612732610,16,12
1612734504,235,10
1612736422,15,13
1612738374,17,12
1612740260,97,16
1612741685,0,5
1612742180,12,9
1612744131,175,3033
1612746039,17,13
1612747962,12,19
1612750502,334,0
1612752790,12,29
1612753219,1,5
1612754671,21,16
1612756884,23,0
1612757544,16,19
1612759463,125,0
1612761421,9,16
1612764315,230,7
1612764729,0,2
1612766193,14,13
1612768343,31,23
1612770302,358,0
1612771317,26,46
1612773147,18,0
1612773902,147,0
1612775091,21,13
1612777007,12,18
1612777502,115,0
1612780174,17,30
1612781101,124,0
1612783957,9,64
1612784702,193,0
1612785927,7,21
1612788302,144,0
1612788786,16,24
1612790679,14,15
1612791901,151,0
1612793576,24,9
1612795467,19,19
1612795502,174,0
1612797391,16,7
1612799322,160,14
1612801228,10,16
1612802701,169,0
1612803141,17,16
1612804807,739,850
1612805096,15,0
1612806302,141,0
1612807981,14,12
1612810793,125,36
1612813003,11,17
1612813502,188,0
1612814914,16,12
1612816861,10,9
1612817102,142,0
1612818756,16,0
1612820643,16,8
1612820702,150,0
1612822613,12,9
1612824547,140,11
1612825928,2,0
1612826454,20,14
1612827901,112,0
1612828369,12,10
1612831235,13,22
1612833178,14,14
1612835161,11,9
1612836997,195,2960
1612837931,3,0
1612839782,110,12
1612842337,39,39
1612844167,122,15
1612846367,137,23
1612848284,16,6
1612850212,25,0
1612852100,20,28
1612853102,317,0
1612854033,26,19
1612856039,11,33
1612857893,28,25
1612859820,19,21
1612860302,253,0
1612861719,31,20
1612864612,23,11
1612866524,30,0
1612867502,390,0
1612869440,25,15
1612871311,18,9
1612874179,15,10
1612876134,168,16
1612879021,20,12
1612880900,344,25
1612882862,25,20
1612884786,13,18
1612886681,182,10
1612888645,18,14
1612890003,335,0
1612890524,13,14
1612892435,16,10
1612893602,118,0
1612895311,17,13
1612895929,884,733
1612897202,135,0
1612898218,14,9
1612900125,8,9
1612900802,117,0
1612902074,12,11
1612904402,135,0
1612905182,8,24
1612907101,13,16
1612908003,119,0
1612909014,8,10
1612911602,83,0
1612912088,0,2
1612912870,14,27
1612914742,22,0
1612916695,17,17
1612918622,18,13
1612918802,173,3433
1612920534,11,12
1612922416,17,12
1612923604,1,4
1612925286,16,18
1612926002,262,0
1612927280,10,23
1612929151,12,13
1612931064,19,16
1612931292,19,54
1612933024,17,14
1612933202,264,0
1612934922,16,11
1612935126,5,0
1612936831,13,18
1612938766,29,21
1612940684,22,22
1612942581,280,16
1612944537,18,26
1612947414,25,19
1612947603,290,0
1612949311,25,29
1612951233,20,22
1612953171,24,27
1612954802,358,0
1612957939,32,37
1612960824,18,13
1612962789,322,14
1612964686,18,0
1612966584,26,16
1612968562,23,19
1612969202,273,0
1612970431,13,19
1612973819,26,26
1612975716,30,9
1612976402,310,0
1612977660,18,17
1612979583,11,14
1612982530,27,19
1612984502,281,0
1612985345,18,8
1612987236,21,5
1612987934,750,900
1612988102,117,0
1612989206,8,8
1612991077,12,0
1612993041,11,4
1612994922,17,11
1612995302,198,0
1612996878,10,5
1612998743,13,0
1613000667,17,15
1613002581,17,17
1613004530,216,3271
1613006443,161,16
1613008382,18,13
1613010311,16,15
1613012224,19,13
1613013301,225,0
1613014100,19,9
1613016081,32,11
1613017942,19,18
1613019923,13,15
1613020502,193,0
1613022737,20,16
1613023685,0,5
1613024728,42,15
1613026580,27,10
1613027702,263,0
1613028507,29,26
1613030542,21,20
1613032602,21,28
1613034505,23,22
1613036420,135,17
1613038369,12,22
1613038502,247,0
1613040305,12,22
1613044176,15,0
1613046006,192,29
1613047958,12,13
1613049903,19,19
1613050202,507,0
1613052776,25,18
1613053802,214,0
1613054685,16,26
1613057571,163,37
1613059515,18,0
1613061002,147,0
1613062376,19,48
1613064280,15,16
1613066175,16,12
1613068139,27,0
1613068202,251,0
1613070021,20,22
1613071946,8,19
1613073936,23,11
1613075827,272,5
1613077701,14,13
1613078926,813,754
1613079002,112,0
1613079697,13,12
1613081560,11,12
1613083466,15,8
1613085125,1,0
1613085423,12,8
1613086202,172,0
1613087331,11,14
1613089248,13,15
1613091212,20,15
1613093065,19,9
1613094995,196,3224
1613096646,73,0
1613096957,26,18
1613098843,16,17
1613100760,16,17
1613102729,222,11
1613104325,25,52
