DateTime,Entries,UniqueIPs
1612652178,9689,10109
1612653128,9930,10354
1612654142,9927,10351
1612656061,9936,10360
1612658915,9940,10365
1612659602,6675,6980
1612660837,6688,6993
1612663043,6684,6989
1612664645,6686,6991
1612664920,6696,7002
1612666898,6710,7016
1612668781,6922,7244
1612670670,6905,7227
1612672327,6878,7200
1612674768,6979,7305
1612676165,6980,7306
1612676714,6979,7305
1612678595,7171,7521
1612680498,7181,7531
1612682479,7179,7529
1612684339,7185,7535
1612687233,7355,7707
1612689176,7363,7717
1612689302,7591,7955
1612691067,7592,7957
1612693002,7591,7955
1612694968,7601,7963
1612696846,7898,8271
1612698752,7920,8294
1612700709,7926,8300
1612703547,7917,8291
1612703702,8170,8556
1612705477,8165,8552
1612707672,8167,8554
1612709553,8160,8547
1612711484,8464,8857
1612713128,8464,8857
1612713391,8428,8823
1612715344,8427,8822
1612720125,8509,8908
1612722098,8523,8922
1612723987,8778,9184
1612725860,8794,9200
1612727800,8786,9191
1612729749,8899,9307
1612732610,8903,9311
1612734504,9121,9536
1612736422,9122,9538
1612738374,9127,9543
1612740260,9206,9624
1612741685,9201,9619
1612742180,9203,9622
1612744131,6455,6764
1612746039,6458,6768
1612747962,6451,6761
1612750502,6764,7095
1612752790,6747,7078
1612753219,6743,7074
1612754671,6747,7079
1612756884,6770,7102
1612757544,6766,7099
1612759463,6886,7224
1612761421,6879,7217
1612764315,7089,7440
1612764729,7087,7438
1612766193,7089,7439
1612768343,7093,7447
1612770302,7435,7805
1612771317,7414,7785
1612773147,7432,7803
1612773902,7574,7950
1612775091,7582,7958
1612777007,7577,7952
1612777502,7688,8067
1612780174,7674,8054
1612781101,7793,8178
1612783957,7739,8123
1612784702,7928,8316
1612785927,7914,8302
1612788302,8050,8446
1612788786,8041,8438
1612790679,8040,8437
1612791901,8189,8588
1612793576,8206,8603
1612795467,8204,8603
1612795502,8375,8777
1612797391,8384,8786
1612799322,8525,8932
1612801228,8519,8926
1612802701,8685,9095
1612803141,8688,9096
1612804807,8588,8985
1612805096,8602,9000
1612806302,8737,9141
1612807981,8739,9143
1612810793,8824,9232
1612813003,8815,9226
1612813502,8999,9414
1612814914,9003,9418
1612816861,9006,9419
1612817102,9143,9561
1612818756,9159,9577
1612820643,9167,9585
1612820702,9313,9735
1612822613,9317,9738
1612824547,9446,9867
1612825928,9448,9869
1612826454,9455,9875
1612827901,9561,9987
1612828369,9563,9989
1612831235,9558,9980
1612833178,9558,9980
1612835161,9557,9982
1612836997,6892,7217
1612837931,6895,7220
1612839782,6989,7318
1612842337,6991,7318
1612844167,7086,7425
1612846367,7192,7539
1612848284,7202,7549
1612850212,7227,7574
1612852100,7218,7566
1612853102,7525,7883
1612854033,7532,7890
1612856039,7510,7868
1612857893,7514,7871
1612859820,7513,7869
1612860302,7756,8122
1612861719,7765,8133
1612864612,7776,8145
1612866524,7805,8175
1612867502,8188,8565
1612869440,8199,8575
1612871311,8208,8584
1612874179,8213,8589
1612876134,8353,8741
1612879021,8361,8749
1612880900,8668,9068
1612882862,8672,9073
1612884786,8667,9068
1612886681,8831,9240
1612888645,8835,9244
1612890003,9166,9579
1612890524,9166,9578
1612892435,9171,9584
1612893602,9288,9702
1612895311,9292,9706
1612895929,9442,9857
1612897202,9570,9992
1612898218,9575,9997
1612900125,9576,9996
1612900802,9686,10113
1612902074,9688,10114
1612904402,9814,10249
1612905182,9797,10233
1612907101,9794,10230
1612908003,9908,10349
1612909014,9906,10347
1612911602,9989,10430
1612912088,9987,10428
1612912870,9974,10415
1612914742,9996,10437
1612916695,9996,10437
1612918622,10001,10442
1612918802,6860,7182
1612920534,6859,7181
1612922416,6862,7186
1612923604,6859,7183
1612925286,6856,7181
1612926002,7103,7443
1612927280,7090,7430
1612929151,7088,7429
1612931064,7091,7432
1612931292,7056,7397
1612933024,7059,7400
1612933202,7311,7664
1612934922,7315,7669
1612935126,7320,7674
1612936831,7316,7669
1612938766,7324,7677
1612940684,7324,7677
1612942581,7581,7941
1612944537,7573,7933
1612947414,7581,7939
1612947603,7865,8229
1612949311,7861,8225
1612951233,7859,8223
1612953171,7855,8220
1612954802,8202,8578
1612957939,8197,8573
1612960824,8203,8578
1612962789,8504,8886
1612964686,8522,8904
1612966584,8531,8914
1612968562,8533,8918
1612969202,8802,9191
1612970431,8796,9185
1612973819,8799,9185
1612975716,8819,9206
1612976402,9115,9516
1612977660,9116,9517
1612979583,9113,9514
1612982530,9123,9522
1612984502,9386,9803
1612985345,9396,9813
1612987236,9411,9829
1612987934,9262,9679
1612988102,9376,9796
1612989206,9376,9796
1612991077,9387,9808
1612993041,9394,9815
1612994922,9400,9821
1612995302,9593,10019
1612996878,9598,10024
1612998743,9611,10037
1613000667,9613,10039
1613002581,9614,10039
1613004530,6672,6984
1613006443,6803,7129
1613008382,6808,7134
1613010311,6809,7135
1613012224,6813,7141
1613013301,7015,7366
1613014100,7024,7376
1613016081,7047,7397
1613017942,7047,7398
1613019923,7049,7396
1613020502,7234,7589
1613022737,7238,7593
1613023685,7233,7588
1613024728,7260,7615
1613026580,7277,7632
1613027702,7533,7895
1613028507,7536,7898
1613030542,7538,7899
1613032602,7531,7892
1613034505,7531,7893
1613036420,7644,8011
1613038369,7632,8001
1613038502,7874,8248
1613040305,7864,8238
1613044176,7878,8253
1613046006,8035,8416
1613047958,8034,8415
1613049903,8035,8415
1613050202,8534,8922
1613052776,8541,8929
1613053802,8745,9143
1613054685,8737,9133
1613057571,8855,9259
1613059515,8873,9277
1613061002,9020,9424
1613062376,8992,9395
1613064280,8990,9394
1613066175,8994,9398
1613068139,9019,9425
1613068202,9268,9676
1613070021,9266,9674
1613071946,9255,9663
1613073936,9266,9675
1613075827,9533,9942
1613077701,9536,9943
1613078926,9598,10002
1613079002,9705,10114
1613079697,9706,10115
1613081560,9705,10114
1613083466,9711,10121
1613085125,9712,10122
1613085423,9716,10126
1613086202,9884,10298
1613087331,9881,10295
1613089248,9879,10293
1613091212,9885,10298
1613093065,9894,10308
1613094995,6959,7280
1613096646,7029,7353
1613096957,7036,7361
1613098843,7034,7360
1613100760,7033,7359
1613102729,7235,7570
1613104325,7208,7543
1613104584,7219,7553
1613106741,7223,7558
1613108165,7374,7711
1613108687,7389,7726
1613108702,7554,7901
1613110603,7566,7912
1613112729,7688,8043
1613114668,7693,8049
1613115902,7782,8142
1613116663,7771,8131
1613118496,7757,8118
1613120472,7769,8129
1613122327,7764,8123
1613123102,8023,8395
1613125272,8017,8390
1613127136,8027,8399
1613130034,8045,8418
1613130302,8342,8717
1613131954,8339,8714
1613133902,8338,8713
1613135788,8476,8862
1613138947,8474,8860
1613140824,8471,8857
1613141102,8817,9216
1613142758,8825,9225
1613144714,8834,9232
1613147574,8835,9233
1613148302,9042,9450
1613149477,9044,9453
1613151406,9047,9457
1613153312,9044,9454
1613155241,9038,9446
1613157209,9204,9618
1613159092,9209,9623
1613159102,9414,9835
1613161017,9401,9822
1613162911,9405,9825
1613164836,9397,9817
1613166768,9594,10017
1613167202,9696,10124
1613168659,9697,10126
1613170368,9711,10138
1613170899,9701,10129
1613172749,9824,10262
1613173928,9824,10262
1613174734,6669,6989
1613176570,6678,6997
1613178002,6786,7110
1613178745,6790,7113
1613180659,6789,7112
1613181602,6904,7239
1613182612,6899,7234
1613184508,6904,7239
1613185446,6905,7240
1613186445,6905,7236
1613188384,6915,7246
1613189288,7195,7536
1613190267,7197,7538
1613192196,7196,7537
1613194168,7193,7534
1613196105,7190,7529
1613196964,7411,7757
1613198919,7402,7748
1613201780,7359,7705
1613203967,7612,7964
1613205867,7615,7967
1613207815,7603,7955
1613209699,7598,7950
1613210402,7798,8159
1613211657,7814,8175
1613216423,7807,8167
1613218352,8079,8446
1613220307,8067,8434
1613224124,8075,8443
1613226049,8326,8708
1613227946,8340,8723
1613229302,8689,9077
1613229861,8692,9080
1613231817,8701,9088
1613233717,8718,9105
1613235662,8721,9109
1613236503,9039,9433
1613237598,9036,9427
1613239494,9045,9435
1613241437,9037,9428
1613243316,9042,9433
1613243702,9231,9629
1613245738,9211,9607
1613247637,9216,9612
1613249549,9217,9613
1613251583,9354,9751
1613253679,9346,9743
1613255542,9489,9888
1613257715,9477,9876
1613259659,9478,9877
1613261567,9482,9888
1613263547,9612,10019
1613265390,9593,10000
1613266202,6564,6859
1613267326,6562,6857
1613269269,6565,6860
1613271142,6564,6859
1613273086,6566,6861
1613274011,6740,7048
1613275021,6740,7048
1613276909,6741,7047
1613278844,6747,7053
1613280780,6753,7060
1613281685,6923,7243
1613282675,6920,7240
1613284575,6935,7255
1613286533,6934,7254
1613288417,7205,7540
1613290362,7230,7567
1613292283,7235,7572
1613294166,7258,7598
1613296088,7556,7908
1613298053,7545,7897
1613299502,7676,8040
1613299931,7670,8034
1613301875,7687,8052
1613303102,7811,8182
1613304781,7792,8162
1613306708,7796,8166
1613308596,7906,8283
1613310549,7982,8368
1613313422,7992,8377
1613315295,7982,8366
1613317502,8207,8594
1613318202,8198,8585
1613320129,8175,8562
1613322071,8180,8566
1613323952,8201,8587
1613324702,8413,8810
1613326828,8389,8787
1613328739,8390,8787
1613330701,8390,8787
1613332597,8626,9030
1613335464,8625,9029
1613337398,8627,9030
1613341498,8717,9121
1613343386,8728,9132
1613345303,8958,9371
1613346967,8956,9369
1613347292,8959,9373
1613349151,8962,9376
1613351066,9024,9443
1613352732,9120,9537
1613353032,9134,9551
1613353502,6657,6952
1613354940,6667,6963
1613356817,6671,6967
1613358808,6666,6962
1613360673,6669,6965
1613361602,6946,7263
1613362328,6926,7244
1613363549,6911,7226
1613365478,7073,7392
1613368802,7257,7586
1613369298,7239,7567
1613371235,7250,7577
1613372402,7344,7679
1613373171,7336,7672
1613375060,7326,7661
1613377004,7311,7645
1613379602,7643,7988
1613380827,7616,7961
1613383061,7619,7967
1613387111,7615,7964
1613389957,7879,8246
1613391970,7886,8254
1613394149,7895,8263
1613396212,8179,8557
1613398397,8178,8556
1613400268,8185,8563
1613401202,8446,8836
1613402196,8454,8844
1613404130,8471,8861
1613406017,8479,8869
1613408909,8625,9016
1613412772,8792,9191
1613414701,8792,9191
1613416603,8918,9320
1613418746,8919,9321
1613420102,9284,9692
1613420681,9277,9685
1613422578,9278,9687
1613424538,9284,9693
1613426429,9307,9716
1613427301,9562,9982
1613429551,9564,9984
1613431448,9610,10032
1613432426,9599,10019
1613434376,9601,10021
1613434502,7369,7668
1613436267,7370,7668
1613438664,7372,7670
1613440845,7371,7669
1613442883,7682,8001
1613443688,7701,8026
1613444171,7609,7932
1613445836,7612,7935
1613447385,7655,7982
1613447778,7650,7977
1613449718,7840,8176
1613451665,7844,8180
1613453401,8124,8476
1613454538,8127,8479
1613455258,8124,8476
1613456466,8132,8485
1613458327,8141,8494
1613460602,8373,8748
1613462215,8340,8715
1613464100,8340,8715
1613466048,8358,8733
1613467951,8364,8738
1613470820,8601,8984
1613472775,8621,9004
1613474688,8631,9014
