DateTime,AddedIPs,RemovedIPs
1611782154,24,39
1611783122,130,129
1611788641,314,317
1611793226,54,53
1611794643,236,971
1611799577,515,521
1611802322,873,120
1611804244,18,26
1611810241,367,370
1611815462,24,27
1611817922,801,806
1611821041,357,354
1611825602,505,496
1611826557,26,22
1611831841,332,324
1611837122,315,318
1611837570,22,25
1611842863,278,540
1611844802,229,232
1611848642,70,67
1611853441,285,281
1611856322,143,150
1611859570,20,35
1611864367,281,280
1611870650,22,28
1611871682,129,139
1611875041,305,307
1611878779,22,21
1611881764,24,23
1611883202,71,966
1611885951,542,544
1611887042,930,19
1611892739,13,36
1611896641,370,370
1611898562,781,775
1611903746,19,32
1611907441,324,324
1611910322,458,456
1611914835,28,16
1611918241,367,363
1611921842,414,420
1611925829,15,28
1611929041,264,532
1611936881,14,18
1611937682,150,148
1611939841,290,305
1611945362,113,121
1611947960,20,27
1611950641,291,293
1611957362,141,137
1611959007,22,22
1611961441,384,388
1611965772,27,89
1611969122,115,115
1611970135,16,36
1611972267,654,654
1611980642,961,946
1611981106,19,23
1611983041,359,362
1611992162,725,720
1611993841,370,377
1611999843,395,387
1612003178,20,30
1612004641,382,383
1612012808,254,0
1612014297,24,26
1612015213,312,313
1612015441,266,267
1612022882,259,262
1612025526,12,14
1612026382,267,271
1612026722,1,1
1612034402,140,141
1612034718,254,0
1612036642,19,23
1612037041,236,239
1612046163,142,144
1612047552,13,24
1612047841,234,236
1612051280,19,29
1612057682,169,968
1612058656,23,28
1612058874,437,437
1612069212,898,121
1612069701,429,497
1612080241,621,628
1612080723,386,482
1612084562,141,97
1612091247,306,310
1612096082,216,146
1612099923,93,70
1612102338,270,536
1612102503,254,0
1612103762,155,138
1612107842,76,70
1612111682,70,76
1612112764,225,463
1612113402,20,12
1612115522,151,138
1612119362,55,47
1612123212,47,55
1612123441,229,227
1612124622,19,17
1612131123,184,169
1612134241,205,202
1612135594,37,38
1612138276,21,27
1612138802,85,82
1612145041,434,437
1612146690,23,28
1612150323,892,927
1612155841,319,324
1612157671,22,15
1612161842,610,530
1612166641,349,346
1612168764,21,19
1612173602,399,401
1612177441,360,359
1612179815,32,31
1612185122,296,293
1612188241,337,593
1612190790,31,25
1612192802,211,216
1612197380,0,227
1612199195,275,271
1612201941,37,25
1612208163,152,150
1612209841,274,273
1612212958,31,49
1612215843,138,141
1612219682,36,36
1612220641,285,277
1612223522,33,36
1612224085,29,283
1612225398,15,269
1612231278,981,961
1612231441,459,467
1612235021,27,21
1612242303,390,387
1612242722,758,762
1612246206,29,17
1612253365,381,381
1612254242,495,492
1612257314,28,24
1612263841,368,370
1612265763,327,318
1612268231,25,22
1612269602,96,95
1612273446,95,96
1612274993,326,329
1612277282,96,95
1612279072,20,7
1612280258,0,704
1612281122,176,181
1612285441,314,321
1612288813,133,135
1612289803,21,26
1612296241,286,292
1612300323,111,113
1612300785,31,25
1612307192,264,266
1612312083,143,154
1612317841,489,493
1612322867,22,30
1612323843,951,949
1612328641,390,401
1612333843,19,17
1612335362,674,645
1612339659,389,387
1612344946,32,24
1612347122,375,374
1612350241,352,347
1612350962,374,375
1612354548,245,0
1612354802,543,544
1612355843,34,20
1612359953,0,506
1612361041,339,339
1612366322,195,197
1612366818,17,16
1612371841,283,288
1612376468,0,251
1612377842,181,162
1612382641,271,272
1612383702,0,234
1612385522,102,109
1612388841,22,22
1612393441,278,280
1612397043,101,104
1612397471,29,33
1612399951,23,26
1612404241,446,449
1612404722,981,960
1612410962,34,27
1612415249,414,414
1612420323,822,823
1612421895,29,18
1612426012,357,357
1612431843,458,456
1612432959,38,26
1612436641,349,362
1612443362,432,435
1612443873,23,57
1612444503,0,254
1612447441,317,315
1612449057,250,0
1612454882,236,278
1612458241,288,285
1612458722,70,69
1612465900,18,45
1612469041,248,254
1612470242,162,163
1612476914,25,50
1612479841,379,378
1612481763,94,97
1612483889,14,19
1612487965,28,64
1612490770,586,586
1612493282,970,960
1612499033,23,43
1612501609,463,456
1612504813,812,798
1612510058,30,25
1612512472,386,381
1612516323,490,492
1612521118,19,38
1612523041,301,291
1612527842,331,337
1612532150,27,37
1612533841,267,1016
1612539362,261,264
1612543148,38,28
1612544641,317,304
1612550882,167,170
1612554210,24,36
1612555580,294,292
1612562413,119,118
1612565306,27,19
1612566241,419,417
1612569711,29,17
1612573923,112,110
1612576326,27,20
1612577041,737,742
1612585443,983,970
1612587322,12,15
1612587841,405,403
1612596962,622,615
1612598388,33,19
1612598742,426,427
1612608722,426,423
1612609441,26,33
1612610185,380,380
1612616413,286,286
1612620242,50,51
1612620420,327,350
1612624083,51,305
1612627922,50,51
1612631557,317,323
1612632003,187,195
1612635842,67,65
1612639682,65,67
1612640770,0,510
1612642427,21,40
1612643524,164,165
1612646523,0,246
1612653399,25,41
1612655043,125,129
1612656980,20,41
1612657807,0,255
1612664330,33,61
1612666877,296,974
1612675413,25,54
1612678321,928,240
1612686320,21,56
1612689842,568,562
1612697077,14,75
1612701362,356,355
1612708076,21,72
1612709042,230,230
1612711187,253,0
1612716722,68,71
1612718855,25,62
1612724412,188,187
1612729899,22,61
1612731668,0,255
1612736162,160,161
1612740930,21,76
1612742481,16,26
1612743842,114,116
1612751522,977,982
1612751993,14,68
1612763042,831,870
1612774071,20,103
1612774564,501,500
1612785157,27,104
1612789923,308,308
1612793041,895,885
1612796077,22,107
1612797602,281,280
1612801445,1,1
1612805523,1,1
1612807262,16,116
1612809363,163,164
1612814641,2827,2801
1612818157,10,125
1612820883,94,94
1612825581,904,902
1612829312,21,122
1612830604,22,30
1612832882,110,113
1612836241,548,556
1612840581,986,1095
1612847041,393,388
1612851610,27,97
1612852084,664,658
1612858178,363,363
1612862645,21,100
1612863603,448,444
1612868641,350,340
1612872380,0,511
1612873689,18,105
1612875123,294,294
1612878962,294,294
1612879441,288,305
1612882813,294,294
1612884754,23,121
1612886643,211,213
1612890241,305,304
1612891248,0,256
1612895751,26,125
1612898163,171,173
1612901182,342,338
1612906800,18,161
1612909923,134,150
1612911841,373,408
1612916191,55,18
1612917601,12,146
1612921442,132,941
1612922781,566,574
1612925282,916,73
1612928604,24,135
1612933441,522,514
1612936812,804,795
1612939658,19,121
1612944241,426,410
1612948323,509,499
1612950621,18,213
1612952162,154,154
