DateTime,AddedIPs,RemovedIPs
1613000523,1,0
1613000524,5,0
1613001723,1,0
1613004123,21,0
1613005324,3,1
1613005924,1,0
1613007182,5,0
1613007724,4,0
1613008924,4,0
1613009524,1,0
1613010124,1,0
1613011323,1,0
1613012524,1,0
1613013724,3,0
1613014381,3,1
1613014924,1,0
1613016124,1,0
1613016724,1,0
1613017323,4,0
1613020924,2,0
1613021581,3,0
1613022123,2,0
1613023324,3,0
1613023924,1,0
1613025723,5,0
1613026924,1,0
1613029324,2,0
1613030524,3,1
1613031123,3,0
1613031723,4,0
1613032923,3,0
1613034123,1,0
1613035324,1,0
1613037123,7,0
1613037723,5,0
1613038924,1,0
1613041324,9,1
1613042524,2,0
1613043724,1,0
1613044924,1,0
1613046123,3,0
1613047324,3,0
1613047924,1,0
1613048524,2,0
1613049724,2,0
1613050923,1,0
1613052123,3,0
1613052723,1,0
1613053323,1,0
1613054524,2,0
1613055123,1,0
1613055724,1,0
1613056323,1,0
1613056923,3,0
1613057524,1,0
1613058123,2,0
1613059323,1,1
1613059924,1,0
1613060523,1,0
1613061724,3,0
1613062924,1,0
1613063523,1,0
1613064124,2,0
1613065324,2,0
1613065923,3,0
1613067124,2,0
1613067724,6,0
1613068381,1,0
1613068924,2,0
1613070123,2,0
1613071324,1,0
1613072524,2,0
1613073724,3,0
1613074324,1,0
1613075581,3,0
1613077323,5,0
1613078523,3,0
1613079723,1,0
1613080923,1,0
1613082724,5,1
1613083323,4,0
1613084523,5,0
1613085723,7,0
1613086381,2,0
1613086924,5,0
1613088124,5,0
1613090524,8,0
1613091123,1,0
1613091724,1,0
1613092323,5,0
1613093581,1,0
1613094123,4,1
1613095924,4,0
1613096524,1,0
1613097724,7,0
1613098324,2,0
1613100123,3,0
1613102524,6,0
1613103723,3,0
1613104924,3,0
1613106124,1,0
1613107324,7,1
1613108524,5,0
1613109724,4,0
1613110324,5,0
1613110924,3,0
1613112124,2,0
1613113323,6,0
1613113924,3,0
1613114524,3,0
1613115724,2,1
1613116924,2,0
1613117524,5,0
1613118124,1,1
1613118782,1,0
1613119324,2,0
1613119924,1,0
1613120523,3,0
1613121724,1,0
1613122924,3,0
1613123523,1,0
1613124724,1,0
1613125981,2,0
1613126524,3,0
1613127123,2,0
1613127724,1,0
1613128324,3,0
1613128924,2,0
1613130123,3,0
1613130723,3,0
1613131324,1,0
1613131924,3,0
1613132524,3,0
1613133724,1,0
1613134923,3,0
1613136123,3,0
1613137324,4,1
1613137923,3,0
1613138524,5,0
1613140324,3,0
1613140923,5,0
1613141523,1,0
1613143324,5,2
1613143925,1,0
1613144524,2,0
1613145124,1,0
1613147581,1,0
1613148123,2,0
1613148723,1,0
1613149323,8,1
1613149924,3,0
1613150524,1,0
1613151181,1,0
1613151724,19,0
1613152924,2,0
1613154123,1,0
1613155324,3,0
1613155924,3,0
1613156524,5,0
1613157124,2,0
1613157724,6,0
1613158924,2,0
1613160124,5,0
1613160724,4,0
1613161324,1,0
1613161981,6,0
1613162523,3,0
1613163724,9,0
1613164924,1,0
1613166124,3,0
1613167323,7,0
1613168524,1,0
1613169724,7,0
1613170924,5,0
1613172123,4,0
1613173324,1,0
1613174524,8,0
1613175124,1,0
1613176923,3,0
1613178124,6,0
1613178724,2,0
1613179324,4,0
1613180524,4,0
1613181724,2,0
1613182324,2,0
1613184124,2,0
1613185324,2,0
1613186524,7,0
1613187723,1,0
1613189524,5,0
1613190124,2,0
1613190781,1,0
1613191324,3,1
1613192524,1,0
1613193124,3,0
1613195524,0,1
1613197324,0,1
1613198524,1,0
1613199724,3,0
1613200924,2,0
1613202124,3,0
1613203924,1,0
1613205181,1,0
1613205724,5,0
1613206924,2,0
1613208123,1,0
1613209324,2,0
1613209924,3,0
1613210524,0,1
1613211124,1,0
1613212381,1,0
1613214124,2,0
1613214724,1,0
1613215982,0,1
1613216524,7,0
1613217724,3,0
1613218324,3,0
1613218924,2,0
1613220724,6,1
1613221324,4,0
1613221924,1,0
1613222524,1,0
1613223724,1,0
1613224324,3,0
1613224924,2,0
1613225524,2,0
1613226125,2,0
1613226725,8,0
1613228524,2,0
1613229724,3,0
1613230924,4,0
1613232124,1,0
1613232724,1,0
1613233324,2,0
1613233981,3,0
1613234524,1,0
1613236324,1,0
1613236924,2,0
1613238124,2,0
1613239324,4,0
1613239924,1,0
1613240524,1,0
1613241181,6,0
1613241724,6,0
1613242324,3,0
1613242924,2,0
1613244124,1,0
1613245324,1,0
1613246524,2,1
1613247724,4,0
1613248381,7,0
1613248924,1,0
1613250124,1,0
1613250725,5,0
1613253724,2,0
1613254924,3,0
1613255582,3,0
1613256124,8,0
1613257325,2,0
1613257925,2,0
1613259125,4,0
1613259181,1,0
1613260324,1,0
1613260924,4,1
1613261524,1,0
1613262124,1,0
1613263923,2,0
1613264524,5,0
1613266381,0,1
1613266924,2,0
1613269324,1,0
1613269981,1,0
1613271724,26,0
1613272324,2,0
1613274124,6,0
1613275324,2,0
1613276524,6,0
1613277181,4,0
1613277724,1,0
1613278924,4,0
1613279524,2,0
1613280123,1,0
1613281324,2,0
1613283724,4,0
1613286125,4,0
1613287324,1,0
1613287981,16,0
1613288524,5,0
1613289725,7,0
1613290325,2,0
1613292124,1,0
1613292724,3,0
1613293324,1,0
1613294523,4,0
1613295724,8,0
1613296324,5,0
1613296924,2,0
1613297524,1,0
1613298782,2,0
1613299323,1,0
1613299924,2,0
1613300524,1,0
1613301723,1,0
1613302381,2,0
1613302924,4,0
1613304123,4,0
1613305324,6,0
1613306524,2,0
1613307124,7,0
1613308324,2,0
1613308924,3,0
1613311324,3,0
1613311924,6,0
1613313724,5,0
1613314924,3,0
1613315524,2,0
1613317324,6,0
1613318524,4,0
1613320924,2,0
1613322124,2,0
1613323324,3,0
1613323924,2,0
1613323982,4,0
1613326324,3,0
1613326924,1,0
1613327581,5,0
1613328124,4,0
1613329324,3,0
1613331181,1,0
1613331723,5,0
1613332324,2,0
1613334124,6,0
1613335324,1,1
1613335924,4,1
1613337124,1,0
1613337724,6,0
1613338382,1,0
1613338924,1,0
1613339523,6,0
1613340124,1,0
1613341324,3,0
1613342524,9,0
1613343124,2,0
1613343724,3,0
1613344324,2,0
1613344924,4,0
1613345581,1,0
1613346124,4,0
1613346724,3,0
1613347324,2,0
1613347924,3,0
1613348524,6,0
1613349182,2,0
1613349724,2,0
1613350925,10,0
1613351524,4,0
1613352124,6,0
1613353324,2,0
1613354524,3,1
1613355724,1,0
1613356381,3,0
1613356924,1,0
1613358125,4,1
1613358725,6,0
1613359325,1,0
1613359982,1,1
1613360524,2,0
1613361124,2,0
1613361724,1,0
1613364124,3,0
1613364724,1,0
1613365324,3,0
1613365924,2,0
1613366524,2,0
1613367724,3,1
1613368324,1,0
1613368924,5,0
1613370124,2,0
1613371324,5,0
1613372524,1,1
1613373125,6,0
1613373724,3,0
1613374381,6,0
1613375524,1,0
1613376125,7,0
1613376724,3,0
1613378524,5,0
1613379124,5,0
1613380323,3,0
1613380924,3,0
1613381582,1,0
1613382124,1,0
1613382724,1,0
1613383324,1,0
1613383925,2,0
1613385724,3,0
1613386324,1,0
1613387524,1,0
1613388124,3,0
1613389324,2,0
1613389924,6,0
1613390524,3,0
1613391124,2,0
1613391724,1,0
1613392924,4,0
1613394124,4,0
1613394724,3,0
1613395325,2,0
1613395982,1,0
1613396525,1,0
1613397124,1,0
1613397724,11,0
1613398924,3,1
1613400124,2,0
1613400724,1,0
1613401325,16,0
1613401925,5,0
1613402524,1,1
1613403181,1,0
1613403724,17,0
1613404924,11,0
1613405524,1,1
1613406782,5,0
1613407324,1,0
1613407924,1,0
1613408524,5,0
1613409724,4,0
1613410924,6,0
1613412125,2,0
1613413982,5,0
1613414524,5,0
1613415724,3,0
1613416924,2,0
1613418125,4,0
1613418724,3,0
1613419324,1,0
1613419925,4,0
1613422924,3,0
1613423525,4,0
1613424124,2,0
1613425323,2,0
1613425924,3,0
1613426524,1,0
1613427124,3,0
1613427724,6,0
1613428382,2,0
1613428924,1,1
1613430124,3,0
1613430724,7,0
1613431982,1,0
1613432524,2,0
1613433124,3,0
1613433724,3,0
1613434324,8,0
1613434924,3,0
1613435581,6,0
1613436124,11,0
1613436724,3,0
1613437324,1,0
1613437924,8,0
1613439724,11,0
1613440324,2,0
1613441524,6,0
1613442782,4,0
1613443324,3,0
1613443924,6,0
1613444524,13,0
1613445724,6,0
1613446924,19,0
1613447524,6,0
1613448124,4,0
1613449324,2,0
1613450524,4,0
1613451124,4,0
1613451724,12,1
1613452324,5,0
1613452925,2,0
1613453581,5,0
1613454724,3,0
1613455324,5,0
1613457181,9,0
1613457724,3,0
1613458324,6,0
1613459524,6,0
1613460782,5,0
1613461324,9,0
1613461924,2,0
1613462525,3,0
1613463724,5,0
1613464381,4,0
1613466124,5,0
1613467324,5,0
1613468525,6,0
1613469725,11,0
1613470324,3,0
1613470924,3,0
1613472124,3,0
1613472724,2,0
1613473924,5,0
1613474524,1,0
