DateTime,AddedIPs,RemovedIPs
1612502681,85,38
1612504567,82,47
1612506484,82,40
1612508453,98,40
1612510329,85,48
1612512256,74,54
1612514201,84,60
1612516090,68,42
1612518004,80,55
1612519963,82,65
1612521849,55,54
1612523765,81,3822
1612525724,108,82
1612527605,1744,0
1612529529,83,95
1612531479,108,69
1612533365,117,103
1612535530,92,72
1612537460,80,65
1612539399,88,65
1612541318,93,76
1612543225,113,87
1612545177,95,60
1612547082,77,63
1612548986,112,68
1612550942,120,76
1612552841,137,55
1612554764,96,77
1612556692,114,71
1612558605,147,83
1612560742,133,60
1612562697,85,77
1612564611,101,80
1612566522,87,72
1612568434,138,94
1612570389,1388,0
1612572257,87,67
1612574187,63,51
1612576165,52,74
1612578035,87,60
1612579926,70,52
1612581882,71,35
1612583764,79,64
1612585930,71,64
1612587854,58,42
1612589799,94,59
1612591685,57,42
1612593849,61,66
1612595765,62,43
1612597722,54,53
1612599605,76,64
1612601525,57,70
1612603482,49,56
1612605364,75,62
1612607282,64,74
1612609250,65,4355
1612611122,91,94
1612613055,2002,0
1612615000,86,119
1612616887,69,118
1612618803,88,85
1612620759,106,93
1612622648,117,80
1612624566,107,78
1612626526,93,77
1612628403,86,78
1612630323,102,72
1612632278,77,70
1612634162,96,90
1612637042,151,115
1612638961,134,102
1612640919,142,75
1612642800,122,67
1612644760,131,75
1612646640,92,78
1612648561,115,94
1612650518,119,75
1612652417,126,93
1612654329,82,89
1612656291,1592,0
1612658164,63,80
1612660329,124,92
1612662492,81,75
1612664443,214,58
1612666324,58,59
1612668246,61,49
1612670202,87,54
1612672086,57,65
1612674013,68,45
1612675961,54,63
1612677855,57,61
1612679764,77,66
1612681721,69,72
1612683602,52,67
1612685523,59,71
1612687444,55,49
1612689365,76,86
1612691321,52,63
1612693202,62,77
1612695122,57,72
1612697083,50,4134
1612698964,50,119
1612701129,1717,0
1612703110,44,83
1612704963,42,63
1612707139,231,92
1612709050,70,96
1612710969,43,80
1612712921,85,76
1612714807,47,58
1612716767,150,76
1612718646,184,73
1612720562,81,95
1612722520,60,64
1612724418,108,76
1612726324,105,67
1612728295,162,71
1612730168,116,68
1612732330,84,81
1612734246,95,68
1612736199,139,86
1612738083,131,62
1612740004,165,92
1612741960,116,112
1612743847,1495,0
1612745762,87,64
1612747719,67,51
1612749612,93,58
1612751529,91,74
1612753488,78,55
1612755365,59,75
1612757285,74,41
1612759242,73,60
1612761126,95,54
1612763055,69,75
1612765000,89,55
1612766885,78,52
1612768804,71,59
1612770759,83,66
1612772649,79,55
1612774568,77,73
1612776515,82,60
1612778418,92,73
1612780322,55,61
1612782288,77,4296
1612784164,91,64
1612786095,1764,0
1612788048,99,95
1612789930,80,120
1612791878,83,67
1612793763,113,108
1612795719,103,67
1612797603,80,77
1612799522,84,79
1612801483,86,66
1612803364,110,77
1612805529,134,82
1612807451,75,69
1612809403,104,89
1612811280,116,79
1612813334,137,64
1612815162,94,64
1612817084,83,70
1612818963,111,88
1612820884,98,54
1612823079,144,88
1612825423,127,68
1612827819,109,67
1612830301,1484,0
1612832569,72,114
1612835161,112,78
1612836997,91,60
1612839782,104,82
1612842337,109,89
1612844167,90,45
1612846367,62,71
1612848283,70,57
1612850212,75,60
1612852099,55,69
1612854033,102,75
1612856038,56,48
1612857893,68,55
1612859820,93,65
1612861719,58,57
1612863639,79,74
1612865771,92,79
1612867686,52,57
1612869612,73,4118
1612871560,99,76
1612873448,1906,0
1612875398,76,93
1612877286,86,69
1612879208,105,76
1612881169,117,119
1612883057,72,71
1612884968,85,66
1612887167,95,91
1612889049,107,67
1612890965,107,112
1612893044,130,89
1612894932,80,77
1612896854,80,86
1612898917,104,72
1612900811,113,96
1612902757,82,71
1612904655,83,68
1612906597,76,94
1612908610,112,89
1612910526,95,60
1612912560,107,96
1612914483,108,65
1612916436,1594,0
1612918325,87,62
1612920244,75,54
1612922197,72,73
1612924082,54,87
1612926019,101,75
1612927960,67,44
1612929855,63,59
1612931763,107,65
1612933722,54,86
1612935603,71,62
1612937522,81,87
1612939485,82,74
1612941361,72,69
1612943285,69,58
1612945236,70,90
1612947122,79,55
1612949044,77,62
1612950996,62,78
1612952882,77,62
1612954814,80,4112
1612956727,80,71
1612958654,1842,0
1612960596,118,86
1612962486,81,78
1612964402,101,79
1612966361,105,104
1612968247,97,83
1612970170,101,90
1612972390,123,91
1612974245,76,85
1612976164,102,71
1612978116,96,74
1612980013,130,75
1612981921,98,57
1612983891,114,85
1612985768,109,76
1612987928,94,99
1612989877,103,65
1612991763,108,87
1612993717,95,67
1612995601,74,81
1612997554,92,80
1612999445,70,59
1613001365,97,102
1613003287,1553,0
1613005253,80,61
1613007124,61,61
1613009055,74,61
1613011000,69,75
1613012887,87,62
1613014805,52,69
1613016756,58,79
1613018646,56,45
1613020563,62,73
1613022517,61,55
1613024403,46,57
1613026324,71,73
1613028280,55,63
1613030164,68,62
1613032084,55,85
1613034046,68,69
1613035926,56,65
1613037854,53,66
1613039798,74,73
1613041688,82,3926
1613043603,94,97
1613045557,1819,0
1613047445,79,89
1613049364,119,75
1613051320,84,64
1613053204,110,41
1613055127,117,102
1613057080,72,72
1613058964,97,104
1613060920,108,74
1613062816,83,75
1613064724,114,88
1613066690,80,72
1613068570,88,83
1613070486,83,62
1613072440,104,80
1613074330,61,69
1613076248,67,75
1613078200,96,79
1613080083,89,57
1613082002,102,74
1613083958,87,91
1613085848,93,67
1613087766,80,123
1613089723,1559,0
1613091632,80,71
1613093524,72,51
