DateTime,Entries,UniqueIPs
1612502681,8285,8285
1612504567,8320,8320
1612506484,8362,8362
1612508453,8420,8420
1612510329,8457,8457
1612512256,8477,8477
1612514201,8501,8501
1612516090,8527,8527
1612518004,8552,8552
1612519963,8569,8569
1612521849,8570,8570
1612523765,4829,4829
1612525724,4855,4855
1612527605,6599,6599
1612529529,6587,6587
1612531479,6626,6626
1612533365,6640,6640
1612535530,6660,6660
1612537460,6675,6675
1612539399,6698,6698
1612541318,6715,6715
1612543225,6741,6741
1612545177,6776,6776
1612547082,6790,6790
1612548986,6834,6834
1612550942,6878,6878
1612552841,6960,6960
1612554764,6979,6979
1612556692,7022,7022
1612558605,7086,7086
1612560742,7159,7159
1612562697,7167,7167
1612564611,7188,7188
1612566522,7203,7203
1612568434,7247,7247
1612570389,8635,8635
1612572257,8655,8655
1612574187,8667,8667
1612576165,8645,8645
1612578035,8672,8672
1612579926,8690,8690
1612581882,8726,8726
1612583764,8741,8741
1612585930,8748,8748
1612587854,8764,8764
1612589799,8799,8799
1612591685,8814,8814
1612593849,8809,8809
1612595765,8828,8828
1612597722,8829,8829
1612599605,8841,8841
1612601525,8828,8828
1612603482,8821,8821
1612605364,8834,8834
1612607282,8824,8824
1612609250,4534,4534
1612611122,4531,4531
1612613055,6533,6533
1612615000,6500,6500
1612616887,6451,6451
1612618803,6454,6454
1612620759,6467,6467
1612622648,6504,6504
1612624566,6533,6533
1612626526,6549,6549
1612628403,6557,6557
1612630323,6587,6587
1612632278,6594,6594
1612634162,6600,6600
1612637042,6636,6636
1612638961,6668,6668
1612640919,6735,6735
1612642800,6790,6790
1612644760,6846,6846
1612646640,6860,6860
1612648561,6881,6881
1612650518,6925,6925
1612652417,6958,6958
1612654329,6951,6951
1612656291,8543,8543
1612658164,8526,8526
1612660329,8558,8558
1612662492,8564,8564
1612664443,8720,8720
1612666324,8719,8719
1612668246,8731,8731
1612670202,8764,8764
1612672086,8756,8756
1612674013,8779,8779
1612675961,8770,8770
1612677855,8766,8766
1612679764,8777,8777
1612681721,8774,8774
1612683602,8759,8759
1612685523,8747,8747
1612687444,8753,8753
1612689365,8743,8743
1612691321,8732,8732
1612693202,8717,8717
1612695122,8702,8702
1612697083,4618,4618
1612698964,4549,4549
1612701129,6266,6266
1612703110,6227,6227
1612704963,6206,6206
1612707139,6345,6345
1612709050,6319,6319
1612710969,6282,6282
1612712921,6291,6291
1612714807,6280,6280
1612716767,6354,6354
1612718646,6465,6465
1612720562,6451,6451
1612722520,6447,6447
1612724418,6479,6479
1612726324,6517,6517
1612728295,6608,6608
1612730168,6656,6656
1612732330,6659,6659
1612734246,6686,6686
1612736199,6739,6739
1612738083,6808,6808
1612740004,6881,6881
1612741960,6885,6885
1612743847,8380,8380
1612745762,8403,8403
1612747719,8419,8419
1612749612,8454,8454
1612751529,8471,8471
1612753488,8494,8494
1612755365,8478,8478
1612757285,8511,8511
1612759242,8524,8524
1612761126,8565,8565
1612763055,8559,8559
1612765000,8593,8593
1612766885,8619,8619
1612768804,8631,8631
1612770759,8648,8648
1612772649,8672,8672
1612774568,8676,8676
1612776515,8698,8698
1612778418,8717,8717
1612780322,8711,8711
1612782288,4492,4492
1612784164,4519,4519
1612786095,6283,6283
1612788048,6287,6287
1612789930,6247,6247
1612791878,6263,6263
1612793763,6268,6268
1612795719,6304,6304
1612797603,6307,6307
1612799522,6312,6312
1612801483,6332,6332
1612803364,6365,6365
1612805529,6417,6417
1612807451,6423,6423
1612809403,6438,6438
1612811280,6475,6475
1612813334,6548,6548
1612815162,6578,6578
1612817084,6591,6591
1612818963,6614,6614
1612820884,6658,6658
1612823079,6714,6714
1612825423,6773,6773
1612827819,6815,6815
1612830301,8299,8299
1612832569,8257,8257
1612835161,8291,8291
1612836997,8322,8322
1612839782,8344,8344
1612842337,8364,8364
1612844167,8409,8409
1612846367,8400,8400
1612848283,8413,8413
1612850212,8428,8428
1612852099,8414,8414
1612854033,8441,8441
1612856038,8449,8449
1612857893,8462,8462
1612859820,8490,8490
1612861719,8491,8491
1612863639,8496,8496
1612865771,8509,8509
1612867686,8504,8504
1612869612,4459,4459
1612871560,4482,4482
1612873448,6388,6388
1612875398,6371,6371
1612877286,6388,6388
1612879208,6417,6417
1612881169,6415,6415
1612883057,6416,6416
1612884968,6435,6435
1612887167,6439,6439
1612889049,6479,6479
1612890965,6474,6474
1612893044,6515,6515
1612894932,6518,6518
1612896854,6512,6512
1612898917,6544,6544
1612900811,6561,6561
1612902757,6572,6572
1612904655,6587,6587
