DateTime,Entries,UniqueIPs
1612126804,9697,9697
1612129504,9707,9707
1612132203,9444,9444
1612134904,8964,8964
1612137604,8213,8213
1612140303,7802,7802
1612143003,7050,7050
1612145703,6848,6848
1612148403,6699,6699
1612151104,6758,6758
1612153804,6125,6125
1612156504,5778,5778
1612159204,5782,5782
1612161904,5347,5347
1612164604,5119,5119
1612167305,5007,5007
1612170004,4169,4169
1612172704,3961,3961
1612175404,3721,3721
1612178104,4067,4067
1612180804,4296,4296
1612183504,4670,4670
1612186204,5265,5265
1612188904,5785,5785
1612191604,6390,6390
1612194304,6916,6916
1612197004,7426,7426
1612199704,8922,8922
1612202404,9595,9595
1612205104,10467,10467
1612207804,11111,11111
1612210504,11380,11380
1612213204,11739,11739
1612215903,11850,11850
1612218603,12023,12023
1612221303,12001,12001
1612224003,12001,12001
1612226703,11969,11969
1612229404,11939,11939
1612232104,11845,11845
1612234803,11692,11692
1612237503,11532,11532
1612240203,11333,11333
1612242903,10628,10628
1612245603,10355,10355
1612248303,10511,10511
1612251003,10447,10447
1612253703,10621,10621
1612256403,10675,10675
1612259103,10545,10545
1612261803,10524,10524
1612264502,11110,11110
1612267204,11448,11448
1612269902,11878,11878
1612272604,11873,11873
1612275303,11643,11643
1612278003,11301,11301
1612280703,10930,10930
1612283403,10875,10875
1612286103,10780,10780
1612288803,10336,10336
1612291504,10275,10275
1612294203,9779,9779
1612296903,8889,8889
1612299603,8608,8608
1612302303,8274,8274
1612305003,8312,8312
1612307703,7845,7845
1612310403,7539,7539
1612313102,6893,6893
1612315802,6534,6534
1612318502,6451,6451
1612321202,6286,6286
1612323902,6286,6286
1612326602,6066,6066
1612329302,5768,5768
1612332001,5691,5691
1612334701,5339,5339
1612337401,4774,4774
1612340101,4724,4724
1612342802,4865,4865
1612345502,4890,4890
1612348202,4859,4859
1612350901,4682,4682
1612353602,4574,4574
1612356302,4809,4809
1612359001,4978,4978
1612361702,5243,5243
1612364401,5793,5793
1612367101,6622,6622
1612369802,7155,7155
1612372501,7578,7578
1612375201,8017,8017
1612377902,8682,8682
1612380602,9003,9003
1612383302,9382,9382
1612386002,9677,9677
1612388702,9920,9920
1612391402,10140,10140
1612394102,10117,10117
1612396801,10034,10034
1612399502,10099,10099
1612402202,10324,10324
1612404902,10343,10343
1612407602,9963,9963
1612410302,9518,9518
1612413001,9176,9176
1612415702,9019,9019
1612418402,8534,8534
1612421102,8400,8400
1612423802,8393,8393
1612426502,8407,8407
1612429202,8249,8249
1612431902,8179,8179
1612434602,8360,8360
1612437303,8855,8855
1612440002,9410,9410
1612442702,9772,9772
1612445403,10174,10174
1612448102,10295,10295
1612450802,10729,10729
1612453504,10874,10874
1612456204,11853,11853
1612458903,11767,11767
1612461604,12686,12686
1612464304,13018,13018
1612467004,13114,13114
1612469704,12909,12909
1612472404,13035,13035
1612475104,13001,13001
1612477804,12055,12055
1612480504,10930,10930
1612483204,11071,11071
1612485904,11507,11507
1612488604,11538,11538
1612491304,11550,11550
1612494004,10947,10947
1612496703,10853,10853
1612499403,10271,10271
1612502103,10021,10021
1612504803,9490,9490
1612507504,9294,9294
1612510203,9371,9371
1612512903,9042,9042
1612515603,9053,9053
1612518303,9170,9170
1612521003,9607,9607
1612523703,10018,10018
1612526403,11117,11117
