DateTime,AddedIPs,RemovedIPs
1613039524,1,3
1613040723,9,1
1613041324,3,8
1613042524,5,0
1613043724,3,4
1613044924,2,0
1613046123,4,5
1613047324,7,3
1613047924,5,0
1613048524,4,0
1613049724,5,4
1613050324,2,0
1613051523,1,0
1613052123,5,0
1613053323,7,0
1613054524,4,1
1613055123,2,0
1613055724,2,0
1613056323,1,0
1613056923,2,1
1613057524,3,0
1613058123,3,14
1613059323,2,25
1613059924,2,0
1613060523,2,0
1613061724,7,6
1613062924,2,0
1613063523,3,3
1613064124,4,0
1613064724,0,2
1613065324,3,7
1613065923,6,4
1613067124,4,0
1613067724,6,0
1613068324,4,1
1613069523,2,3
1613070123,7,0
1613070723,3,0
1613071324,3,2
1613072524,2,0
1613073724,4,1
1613074324,5,6
1613075525,3,16
1613076124,4,0
1613077323,5,25
1613078523,8,3
1613079723,2,5
1613080324,1,0
1613080923,1,3
1613082124,4,0
1613082724,5,1
1613083323,4,0
1613083923,2,8
1613085124,6,0
1613085723,4,0
1613086924,9,5
1613088124,5,0
1613088723,2,0
1613089923,3,1
1613090524,8,2
1613091724,3,0
1613092323,6,0
1613093525,3,4
1613094123,5,0
1613095324,1,6
1613095924,5,1
1613096524,2,0
1613097724,8,0
1613098324,2,1
1613099523,5,2
1613100123,3,0
1613101323,3,23
1613102524,8,0
1613103723,10,0
1613104924,7,7
1613105523,1,1
1613107324,12,10
1613108524,9,0
1613109724,6,1
1613110324,13,1
1613110924,5,1
1613112124,1,0
1613112724,7,1
1613113924,7,12
1613114524,1,9
1613115724,3,1
1613116924,3,3
1613117524,7,2
1613118124,2,6
1613118725,3,0
1613119324,5,5
1613120523,4,0
1613121124,2,0
1613121724,4,0
1613122924,3,10
1613123523,1,0
1613124124,0,1
1613125324,5,1
1613126524,4,0
1613127123,2,1
1613127724,1,4
1613128324,5,0
1613128924,6,4
1613130123,7,24
1613130723,4,0
1613131324,2,7
1613131924,5,0
1613132524,4,4
1613133724,5,1
1613134323,2,5
1613134923,6,0
1613136123,7,8
1613136725,5,0
1613137923,5,2
1613138524,9,6
1613139724,3,1
1613140324,3,2
1613140923,6,1
1613142723,2,4
1613143324,4,1
1613143925,2,2
1613144524,6,0
1613145124,1,0
1613145724,1,0
1613146324,1,2
1613147524,3,9
1613148723,2,19
1613149323,10,10
1613149924,4,0
1613151124,2,1
1613151724,1,3
1613152924,5,2
1613154123,2,0
1613154725,5,0
1613155324,7,2
1613155924,1,1
1613156524,7,0
1613157124,2,0
1613157724,6,1
1613158924,4,0
1613160124,6,0
1613160724,2,0
1613161324,3,4
1613161925,4,0
1613162523,7,4
1613163724,9,17
1613164924,4,0
1613166124,5,25
1613167323,1,0
1613167925,2,12
1613169124,7,0
1613169724,4,1
1613170324,7,0
1613172123,6,2
1613173324,3,0
1613174524,10,4
1613175124,1,15
1613175724,1,0
1613176923,4,16
1613178124,11,6
1613178724,2,0
1613179324,9,9
1613180524,4,12
1613181724,2,0
1613182324,5,4
1613183524,1,4
1613184124,1,0
1613185324,7,3
1613186524,11,4
1613187723,2,2
1613188924,1,0
1613189524,7,0
1613190124,3,0
1613190725,2,2
1613191324,7,0
1613192524,1,18
1613193124,4,0
1613194324,0,17
1613194923,1,4
1613197324,2,6
1613198524,4,0
1613199724,9,21
1613200324,3,0
1613201525,3,1
1613202124,1,2
1613203324,0,11
1613203924,1,5
1613205124,2,16
1613205724,7,0
1613206924,3,5
1613208123,2,1
1613209324,3,3
1613209924,5,10
1613210524,2,13
1613211124,3,0
1613212924,2,1
1613214124,6,11
1613214724,2,0
1613215925,1,1
1613216524,9,2
1613217724,4,8
1613218324,6,3
1613218924,4,2
1613219524,7,8
1613221324,3,3
1613221924,4,0
1613222524,6,8
1613223724,3,0
1613224324,4,0
1613225524,4,4
1613226125,5,0
1613226725,9,3
1613227324,1,2
1613227924,1,11
1613228524,6,12
1613229724,6,4
1613230924,7,5
1613232124,2,13
1613233324,8,1
1613233924,5,3
1613234524,4,0
1613235723,4,10
1613236324,3,6
1613236924,3,2
1613238124,3,1
1613239324,8,0
1613240524,2,3
