DateTime,AddedIPs,RemovedIPs
1612912323,0,3
1612913524,2,1
1612914724,1,1
1612917723,0,1
1612918323,1,5
1612920725,1,1
1612921924,3,22
1612923124,2,1
1612924924,0,6
1612926124,1,0
1612926724,1,2
1612927324,0,1
1612928524,0,1
1612929724,0,1
1612930324,1,0
1612931524,0,4
1612933324,6,2
1612934524,3,2
1612936323,4,2
1612936924,1,1
1612939324,0,2
1612940524,3,3
1612941124,1,0
1612942324,2,3
1612944124,2,0
1612945324,1,4
1612946524,0,2
1612947124,0,4
1612948324,0,1
1612949525,4,1
1612950724,3,2
1612951924,2,4
1612953124,3,1
1612954924,1,0
1612955524,2,4
1612956724,4,0
1612957324,1,1
1612958523,1,0
1612959124,0,3
1612960924,3,0
1612962123,1,2
1612963924,2,1
1612964524,1,0
1612966324,2,0
1612967524,2,0
1612968724,1,1
1612969923,3,1
1612971124,0,4
1612971724,1,0
1612972924,1,4
1612975323,2,0
1612976524,1,2
1612977723,2,1
1612978324,0,4
1612979524,1,1
1612980723,2,1
1612981324,1,2
1612982523,0,3
1612983723,3,0
1612984324,0,1
1612984923,1,0
1612986123,6,8
1612989124,0,3
1612990923,2,3
1612992124,4,1
1612993324,0,2
1612993923,1,6
1612995123,1,1
1612996324,2,0
1612996924,14,2
1612998123,1,1
1612999324,2,3
1613000523,1,0
1613001723,0,4
1613002324,1,6
1613003524,19,1
1613004723,0,3
1613005924,0,1
1613008924,0,3
1613010724,1,4
1613011323,2,0
1613011924,1,2
1613013724,1,4
1613015523,0,1
1613016724,0,1
1613018523,1,0
1613019724,0,1
1613020324,0,3
1613022123,4,2
1613023324,1,4
1613023924,1,5
1613025723,5,0
1613026924,1,3
1613027523,1,2
1613028724,0,2
1613030524,1,2
1613031123,0,2
1613034123,1,6
1613035323,1,1
1613037123,0,6
1613038323,0,7
1613040124,0,1
1613040723,0,4
1613041324,0,4
1613042524,4,1
1613043724,1,2
1613044324,1,2
1613046123,1,1
1613047324,2,3
1613047924,1,0
1613048524,1,0
1613050324,0,6
1613051523,2,0
1613052723,3,0
1613053323,0,3
1613054524,0,4
1613055724,0,2
1613056323,1,2
1613056923,3,0
1613057524,1,0
1613058123,0,5
1613059323,0,2
1613059924,2,0
