DateTime,AddedIPs,RemovedIPs
1613024523,5,5
1613025723,25,25
1613026924,15,15
1613027523,15,15
1613028724,27,27
1613029324,7,7
1613030524,16,16
1613031123,6,6
1613031723,12,12
1613032923,15,15
1613034123,27,27
1613035323,14,14
1613035924,13,13
1613037123,13,13
1613038323,14,14
1613038924,10,10
1613040124,10,10
1613040723,12,12
1613041324,5,5
1613042524,14,14
1613043124,7,7
1613043724,6,6
1613044324,9,9
1613044924,7,7
1613046123,15,15
1613047324,17,17
1613047924,6,6
1613048524,8,8
1613049123,7,7
1613050324,12,12
1613050923,11,11
1613051523,9,9
1613052723,21,21
1613053323,6,6
1613053924,9,9
1613054524,6,6
1613055123,5,5
1613055724,10,10
1613056323,5,5
1613056923,9,9
1613057524,10,10
1613058123,12,12
1613058723,7,7
1613059323,6,6
1613059924,8,8
1613061124,16,16
1613061724,11,11
1613062924,9,9
1613063523,5,5
1613064123,9,9
1613064724,15,15
1613065324,8,8
1613065923,15,15
1613066523,9,9
1613067123,11,11
1613068924,47,47
1613069523,24,24
1613070123,6,6
1613070723,14,14
1613071324,16,16
1613072524,46,46
1613074324,55,55
1613075524,18,18
1613076124,25,25
1613077323,53,53
1613077924,23,23
1613078523,26,26
1613080324,44,44
1613081523,23,23
1613082124,28,28
1613082724,16,16
1613083323,9,9
1613084523,38,38
1613085124,6,6
1613086324,25,25
1613086924,8,8
1613088124,13,13
1613088723,17,17
1613089923,10,10
1613091123,18,18
1613091724,10,10
1613092323,9,9
1613093525,13,13
1613094123,10,10
1613095324,31,31
1613095924,3,3
1613097124,18,18
1613097724,9,9
1613098924,24,24
1613099523,46,46
1613100123,30,30
1613100724,12,12
1613101323,28,28
1613102524,51,51
1613103723,49,49
1613104924,25,25
1613106124,72,72
1613106723,29,29
1613108524,28,28
1613109724,43,43
1613110324,33,33
1613110924,6,6
1613111524,24,24
1613112124,10,10
1613113323,31,31
1613114523,65,65
1613115724,16,16
1613116924,43,43
1613117524,31,31
1613118725,40,40
1613119924,78,78
1613120523,31,31
1613121724,45,45
1613122924,75,75
1613124124,67,67
1613124724,27,27
1613125324,14,14
1613126524,51,51
1613127123,14,14
1613127724,16,16
1613128324,8,8
1613128924,3,3
1613129524,16,16
1613130123,13,13
1613130723,20,20
1613131324,12,12
1613131924,26,26
1613132524,20,20
1613133724,36,36
1613134323,15,15
1613134923,19,19
1613135524,11,11
1613136123,25,25
1613137324,32,32
1613137923,9,9
1613139124,24,24
1613139724,10,10
1613140324,12,12
1613140923,24,24
1613141523,28,28
1613142124,16,16
1613142723,29,29
1613143324,12,12
1613143925,8,8
1613144524,25,25
1613145124,24,24
1613146324,28,28
1613146924,15,15
1613148123,22,22
1613149323,35,35
1613149924,8,8
1613150524,15,15
1613151723,72,72
1613152924,66,66
1613154123,37,37
