DateTime,AddedIPs,RemovedIPs
1611239581,3,0
1611250382,1,0
1611253981,2,0
1611257581,2,0
1611261181,2,0
1611264782,2,0
1611271981,1,0
1611275582,1,0
1611279181,3,0
1611282781,2,0
1611286382,5,0
1611289982,3,0
1611293581,3,0
1611297181,1,0
1611300781,1,0
1611304381,2,0
1611307981,2,0
1611311581,2,0
1611315181,4,0
1611322381,5,0
1611325981,3,0
1611329581,1,0
1611336781,2,0
1611340382,2,0
1611343981,2,0
1611347581,2,0
1611351181,1,0
1611354781,3,0
1611358381,4,0
1611365581,2,0
1611372781,3,0
1611376382,2,0
1611379982,1,0
1611383582,2,0
1611387181,1,0
1611390781,6,0
1611394381,1,0
1611397981,1,0
1611401581,1,0
1611408782,2,0
1611412381,1,0
1611415981,4,0
1611423181,2,0
1611426781,2,0
1611430381,6,0
1611433982,1,0
1611437582,1,0
1611441181,1,0
1611444781,4,0
1611448381,3,0
1611459182,2,0
1611462782,1,0
1611466381,1,0
1611469981,3,0
1611473581,1,0
1611477181,2,0
1611480781,2,0
1611484381,2,0
1611487981,2,0
1611491581,1,0
1611495181,2,0
1611498781,1,0
1611502381,4,0
1611505982,1,0
1611513182,2,0
1611516781,3,0
1611520381,3,0
1611523981,1,0
1611527581,1,0
1611531181,1,0
1611538381,2,0
1611545582,2,0
1611552781,1,0
1611556381,1,0
1611559982,4,0
1611563581,1,0
1611567181,2,16
1611570781,0,2
1611574382,1,3
1611577981,2,0
1611581581,1,7
1611585181,2,4
1611588782,1,0
1611592381,2,6
1611599581,0,2
1611603181,0,2
1611606781,1,2
1611610381,0,1
1611613981,2,2
1611617582,3,2
1611621181,2,0
1611628381,0,1
1611631982,0,3
1611635581,0,1
1611642781,0,3
1611646381,1,2
1611653581,1,3
1611657182,1,0
1611660781,3,1
1611664381,2,0
1611667982,0,2
1611671581,1,2
1611675181,0,1
1611678781,1,2
1611682381,0,1
1611685982,2,1
1611689581,1,0
1611696781,1,0
1611707582,3,0
1611711182,3,0
1611714781,0,4
1611718381,2,2
1611721981,0,1
1611725581,3,0
1611729181,1,1
1611732781,2,0
1611736381,2,2
1611739981,2,0
1611743581,2,2
1611747182,0,6
1611750782,0,1
1611761581,3,0
1611765182,1,1
1611768782,1,3
1611772381,1,1
1611775981,1,0
1611779581,1,3
1611786781,1,1
1611790381,1,2
1611793981,6,2
1611797581,2,2
1611801181,1,0
1611804782,2,3
1611808381,1,3
1611811981,1,1
1611815581,6,0
1611819182,2,1
1611822781,1,4
1611826381,2,4
1611829982,3,1
1611833581,2,0
1611837181,1,1
1611840781,2,0
1611844381,5,1
1611847981,3,1
1611855182,1,2
1611858781,1,2
1611862381,1,0
1611865982,1,1
1611869581,1,1
1611873181,1,2
1611876781,4,0
1611880381,1,1
1611883982,3,0
1611887581,2,1
1611894781,0,3
1611898381,4,0
1611901981,1,2
1611905581,1,1
1611909182,0,1
1611912781,1,0
1611916382,3,2
1611919981,2,4
1611923581,7,0
1611927182,1,6
1611930781,4,1
1611934381,1,1
1611937981,1,0
1611941581,1,4
1611945182,0,3
1611948781,0,2
1611952382,0,1
1611955981,1,0
1611959581,2,1
1611963182,1,0
1611970381,1,1
1611977581,0,1
1611981181,0,4
1611984782,2,0
1611988381,2,0
1611991981,1,1
1611995582,1,0
1611999182,1,1
1612006382,3,0
1612009982,1,0
1612017181,1,4
1612020781,3,0
1612024382,1,1
1612027982,2,0
1612031581,1,7
1612035182,2,0
1612038901,0,4
1612051275,4,5
1612057260,1,0
1612064461,1,1
1612068039,0,4
1612069831,0,2
1612077131,1,2
1612091414,1,4
1612095014,1,1
1612100414,0,1
1612107182,2,2
1612114381,1,1
1612117982,1,5
1612121582,0,4
1612125181,1,0
1612128781,1,4
1612135982,0,1
1612139582,0,1
1612143182,1,0
1612146781,1,1
1612150381,1,0
1612153981,0,6
1612157581,0,2
1612161181,2,3
1612164782,1,5
1612171981,0,3
1612175581,1,3
1612179181,0,1
1612182781,1,3
1612186381,0,7
1612189981,5,0
1612193581,3,5
1612197182,3,0
1612200781,0,5
1612207981,0,1
1612211581,1,1
1612215181,1,0
1612218782,1,3
1612222381,3,0
1612225981,0,3
1612229581,1,3
1612233181,1,0
1612236781,2,0
1612240382,1,1
1612243982,1,0
1612247581,1,0
1612251182,1,0
1612254781,2,6
1612258381,1,0
1612261981,1,3
1612265581,1,0
1612269181,2,1
1612276381,1,1
1612279981,0,7
1612283581,1,0
1612287182,2,5
1612290781,2,2
1612294381,1,3
1612297981,1,0
